"","batch.id","response_type","value"
"154","X-011.LEE011","angle","NA"
"155","X-011.LEE011","abc","NA"
"156","X-011.LEE011","TGI","NA"
"157","X-011.LEE011 + everolimus","angle","NA"
"158","X-011.LEE011 + everolimus","abc","NA"
"159","X-011.LEE011 + everolimus","TGI","NA"
"160","X-011.LJM716","angle","NA"
"161","X-011.LJM716","abc","NA"
"162","X-011.LJM716","TGI","NA"
"163","X-011.LJM716 + trastuzumab","angle","NA"
"164","X-011.LJM716 + trastuzumab","abc","NA"
"165","X-011.LJM716 + trastuzumab","TGI","NA"
"166","X-011.LLM871","angle","NA"
"167","X-011.LLM871","abc","NA"
"168","X-011.LLM871","TGI","NA"
"169","X-011.trastuzumab","angle","NA"
"170","X-011.trastuzumab","abc","NA"
"171","X-011.trastuzumab","TGI","NA"
"172","X-015.BGJ398","angle","-1.6732"
"173","X-015.BGJ398","abc","-303.3250"
"174","X-015.BGJ398","TGI","34.7273"
"175","X-015.binimetinib","angle","153.5263"
"176","X-015.binimetinib","abc","502.5093"
"177","X-015.binimetinib","TGI","-57.2662"
"178","X-015.BKM120","angle","-0.2687"
"179","X-015.BKM120","abc","-94.7048"
"180","X-015.BKM120","TGI","3.6336"
"181","X-015.BYL719","angle","8.0014"
"182","X-015.BYL719","abc","198.7912"
"183","X-015.BYL719","TGI","-23.4566"
"184","X-015.BYL719 + HSP990","angle","3.4895"
"185","X-015.BYL719 + HSP990","abc","82.5767"
"186","X-015.BYL719 + HSP990","TGI","-11.2990"
"187","X-015.BYL719 + LJM716","angle","165.2197"
"188","X-015.BYL719 + LJM716","abc","286.1554"
"189","X-015.BYL719 + LJM716","TGI","-51.9531"
"190","X-015.CLR457","angle","0.6214"
"191","X-015.CLR457","abc","32.6805"
"192","X-015.CLR457","TGI","5.1420"
"193","X-015.everolimus","angle","0.4943"
"194","X-015.everolimus","abc","-93.7520"
"195","X-015.everolimus","TGI","0.1773"
"196","X-015.figitumumab","angle","2.9474"
"197","X-015.figitumumab","abc","76.6973"
"198","X-015.figitumumab","TGI","-1.0167"
"199","X-015.HDM201","angle","-3.9034"
"200","X-015.HDM201","abc","-390.3917"
"201","X-015.HDM201","TGI","6.7771"
"202","X-015.HSP990","angle","-0.5916"
"203","X-015.HSP990","abc","-127.6093"
"204","X-015.HSP990","TGI","4.5658"
"205","X-015.INC280","angle","-2.9980"
"206","X-015.INC280","abc","-307.3861"
"207","X-015.INC280","TGI","311.6250"
"208","X-015.INC280 + trastuzumab","angle","-3.3144"
"209","X-015.INC280 + trastuzumab","abc","-356.6039"
"210","X-015.INC280 + trastuzumab","TGI","127.6000"
"211","X-015.LEE011","angle","0.2692"
"212","X-015.LEE011","abc","-69.8339"
"213","X-015.LEE011","TGI","0.8623"
"214","X-015.LEE011 + everolimus","angle","9.6763"
"215","X-015.LEE011 + everolimus","abc","59.5151"
"216","X-015.LEE011 + everolimus","TGI","-15.7964"
"217","X-015.LJM716","angle","-2.7824"
"218","X-015.LJM716","abc","-171.3910"
"219","X-015.LJM716","TGI","10.5501"
"220","X-015.LJM716 + trastuzumab","angle","-0.3991"
"221","X-015.LJM716 + trastuzumab","abc","-35.4299"
"222","X-015.LJM716 + trastuzumab","TGI","4.3710"
"223","X-015.LLM871","angle","-1.7236"
"224","X-015.LLM871","abc","-177.2037"
"225","X-015.LLM871","TGI","15.1277"
"226","X-015.trastuzumab","angle","1.6695"
"227","X-015.trastuzumab","abc","111.2619"
"228","X-015.trastuzumab","TGI","-43.0000"
"229","X-017.BGJ398","angle","18.3861"
"230","X-017.BGJ398","abc","445.0764"
"231","X-017.BGJ398","TGI","1.5360"
"232","X-017.binimetinib","angle","1.1249"
"233","X-017.binimetinib","abc","340.3198"
"234","X-017.binimetinib","TGI","1.4740"
"235","X-017.BKM120","angle","1.1248"
"236","X-017.BKM120","abc","363.6890"
"237","X-017.BKM120","TGI","1.2377"
"238","X-017.BYL719","angle","26.1892"
"239","X-017.BYL719","abc","477.1024"
"240","X-017.BYL719","TGI","1.6651"
"241","X-017.BYL719 + HSP990","angle","6.8192"
"242","X-017.BYL719 + HSP990","abc","422.3667"
"243","X-017.BYL719 + HSP990","TGI","1.3518"
"244","X-017.BYL719 + LJM716","angle","39.4042"
"245","X-017.BYL719 + LJM716","abc","465.2294"
"246","X-017.BYL719 + LJM716","TGI","1.9187"
"247","X-017.CLR457","angle","6.3981"
"248","X-017.CLR457","abc","385.7000"
"249","X-017.CLR457","TGI","1.5083"
"250","X-017.everolimus","angle","5.9435"
"251","X-017.everolimus","abc","400.4601"
"252","X-017.everolimus","TGI","1.2989"
"253","X-017.figitumumab","angle","-0.7544"
"254","X-017.figitumumab","abc","299.4925"
"255","X-017.figitumumab","TGI","0.9779"
"256","X-017.HDM201","angle","8.2359"
"257","X-017.HDM201","abc","407.0698"
"258","X-017.HDM201","TGI","1.6159"
"259","X-017.HSP990","angle","-3.7116"
"260","X-017.HSP990","abc","-346.6588"
"261","X-017.HSP990","TGI","-2.6941"
"262","X-017.INC280","angle","-0.2294"
"263","X-017.INC280","abc","325.8462"
"264","X-017.INC280","TGI","0.8385"
"265","X-017.INC280 + trastuzumab","angle","-1.2307"
"266","X-017.INC280 + trastuzumab","abc","125.6500"
"267","X-017.INC280 + trastuzumab","TGI","-0.2286"
"268","X-017.LEE011","angle","0.9968"
"269","X-017.LEE011","abc","375.1547"
"270","X-017.LEE011","TGI","0.7324"
"271","X-017.LJM716","angle","-3.6666"
"272","X-017.LJM716","abc","130.0179"
"273","X-017.LJM716","TGI","0.5423"
"274","X-017.LJM716 + trastuzumab","angle","-0.4563"
"275","X-017.LJM716 + trastuzumab","abc","170.6685"
"276","X-017.LJM716 + trastuzumab","TGI","0.0048"
"277","X-017.LLM871","angle","10.5042"
"278","X-017.LLM871","abc","407.1683"
"279","X-017.LLM871","TGI","1.5657"
"280","X-017.trastuzumab","angle","-4.0136"
"281","X-017.trastuzumab","abc","-200.8950"
"282","X-017.trastuzumab","TGI","-2.9099"
"283","X-020.BGJ398","angle","-0.4570"
"284","X-020.BGJ398","abc","-50.0742"
"285","X-020.BGJ398","TGI","-3.5835"
"286","X-020.binimetinib","angle","11.7841"
"287","X-020.binimetinib","abc","185.5556"
"288","X-020.binimetinib","TGI","3.9705"
"289","X-020.BKM120","angle","-6.6326"
"290","X-020.BKM120","abc","-0.2624"
"291","X-020.BKM120","TGI","-3.5862"
"292","X-020.BYL719","angle","1.7157"
"293","X-020.BYL719","abc","268.8637"
"294","X-020.BYL719","TGI","1.4524"
"295","X-020.BYL719 + HSP990","angle","-0.3038"
"296","X-020.BYL719 + HSP990","abc","226.9617"
"297","X-020.BYL719 + HSP990","TGI","1.5730"
"298","X-020.BYL719 + LJM716","angle","154.3657"
"299","X-020.BYL719 + LJM716","abc","438.0076"
"300","X-020.BYL719 + LJM716","TGI","4.1457"
"301","X-020.CLR457","angle","90.8498"
"302","X-020.CLR457","abc","288.3138"
"303","X-020.CLR457","TGI","4.6047"
"304","X-020.everolimus","angle","-5.8383"
"305","X-020.everolimus","abc","-99.5947"
"306","X-020.everolimus","TGI","-6.1540"
"307","X-020.figitumumab","angle","-0.6850"
"308","X-020.figitumumab","abc","-36.5828"
"309","X-020.figitumumab","TGI","-3.3970"
"310","X-020.HDM201","angle","-5.8224"
"311","X-020.HDM201","abc","66.7522"
"312","X-020.HDM201","TGI","-0.5201"
"313","X-020.HSP990","angle","-5.7527"
"314","X-020.HSP990","abc","101.6229"
"315","X-020.HSP990","TGI","-1.2794"
"316","X-020.INC280","angle","-0.5460"
"317","X-020.INC280","abc","164.0974"
"318","X-020.INC280","TGI","1.6662"
"319","X-020.INC280 + trastuzumab","angle","-10.1221"
"320","X-020.INC280 + trastuzumab","abc","57.3397"
"321","X-020.INC280 + trastuzumab","TGI","-2.8220"
"322","X-020.LEE011","angle","-5.1137"
"323","X-020.LEE011","abc","91.6689"
"324","X-020.LEE011","TGI","-0.1987"
"325","X-020.LEE011 + everolimus","angle","134.1039"
"326","X-020.LEE011 + everolimus","abc","393.3617"
"327","X-020.LEE011 + everolimus","TGI","3.3622"
"328","X-020.LJM716","angle","-4.6430"
"329","X-020.LJM716","abc","62.7199"
"330","X-020.LJM716","TGI","0.6348"
"331","X-020.LJM716 + trastuzumab","angle","8.9048"
"332","X-020.LJM716 + trastuzumab","abc","272.7536"
"333","X-020.LJM716 + trastuzumab","TGI","1.9602"
"334","X-020.LLM871","angle","-5.4558"
"335","X-020.LLM871","abc","4.0394"
"336","X-020.LLM871","TGI","-4.9261"
"337","X-020.trastuzumab","angle","-4.9280"
"338","X-020.trastuzumab","abc","146.6849"
"339","X-020.trastuzumab","TGI","-1.1307"
"340","X-023.BYL719","angle","143.0470"
"341","X-023.BYL719","abc","238.7153"
"342","X-023.BYL719","TGI","15.9621"
"343","X-023.BYL719 + HSP990","angle","150.5355"
"344","X-023.BYL719 + HSP990","abc","223.8961"
"345","X-023.BYL719 + HSP990","TGI","57.3619"
"346","X-023.BYL719 + LJM716","angle","136.0622"
"347","X-023.BYL719 + LJM716","abc","43.6786"
"348","X-023.BYL719 + LJM716","TGI","2.3780"
"349","X-023.everolimus","angle","162.9575"
"350","X-023.everolimus","abc","336.8446"
"351","X-023.everolimus","TGI","9.4611"
"352","X-023.HSP990","angle","-0.7811"
"353","X-023.HSP990","abc","25.8360"
"354","X-023.HSP990","TGI","3.7234"
"355","X-023.LEE011","angle","8.2909"
"356","X-023.LEE011","abc","94.0981"
"357","X-023.LEE011","TGI","226.7500"
"358","X-023.LEE011 + everolimus","angle","148.9818"
"359","X-023.LEE011 + everolimus","abc","197.2219"
"360","X-023.LEE011 + everolimus","TGI","54.8596"
"361","X-023.LJM716","angle","-1.2679"
"362","X-023.LJM716","abc","-132.0629"
"363","X-023.LJM716","TGI","-0.7670"
"364","X-024.BYL719","angle","7.9353"
"365","X-024.BYL719","abc","278.9145"
"366","X-024.BYL719","TGI","-17.8878"
"367","X-024.BYL719 + HSP990","angle","168.0459"
"368","X-024.BYL719 + HSP990","abc","467.0129"
"369","X-024.BYL719 + HSP990","TGI","-37.5960"
"370","X-024.BYL719 + LJM716","angle","2.6100"
"371","X-024.BYL719 + LJM716","abc","172.0306"
"372","X-024.BYL719 + LJM716","TGI","-7.0057"
"373","X-024.everolimus","angle","67.5157"
"374","X-024.everolimus","abc","426.3065"
"375","X-024.everolimus","TGI","25.8875"
"376","X-024.HSP990","angle","1.6952"
"377","X-024.HSP990","abc","110.6836"
"378","X-024.HSP990","TGI","-6.4859"
"379","X-024.LEE011","angle","3.8291"
"380","X-024.LEE011","abc","261.9801"
"381","X-024.LEE011","TGI","-36.1429"
"382","X-024.LEE011 + everolimus","angle","147.7467"
"383","X-024.LEE011 + everolimus","abc","454.2226"
"384","X-024.LEE011 + everolimus","TGI","66.4000"
"385","X-024.LJM716","angle","3.0067"
"386","X-024.LJM716","abc","242.4871"
"387","X-024.LJM716","TGI","-321.8333"
"388","X-025.BGJ398","angle","135.0975"
"389","X-025.BGJ398","abc","205.2371"
"390","X-025.BGJ398","TGI","-215.0877"
"391","X-025.binimetinib","angle","144.4058"
"392","X-025.binimetinib","abc","204.1566"
"393","X-025.binimetinib","TGI","-15.5527"
"394","X-025.BKM120","angle","153.6488"
"395","X-025.BKM120","abc","64.0139"
"396","X-025.BKM120","TGI","-1.9302"
"397","X-025.BYL719","angle","35.7335"
"398","X-025.BYL719","abc","139.2788"
"399","X-025.BYL719","TGI","-19.2096"
"400","X-025.BYL719 + HSP990","angle","116.8247"
"401","X-025.BYL719 + HSP990","abc","176.9248"
"402","X-025.BYL719 + HSP990","TGI","-62.3333"
"403","X-025.BYL719 + LJM716","angle","8.3032"
"404","X-025.BYL719 + LJM716","abc","64.3548"
"405","X-025.BYL719 + LJM716","TGI","-6.1183"
"406","X-025.CLR457","angle","91.2662"
"407","X-025.CLR457","abc","128.2526"
"408","X-025.CLR457","TGI","-10.1546"
"409","X-025.everolimus","angle","25.9597"
"410","X-025.everolimus","abc","120.8682"
"411","X-025.everolimus","TGI","-25.3927"
"412","X-025.figitumumab","angle","3.3574"
"413","X-025.figitumumab","abc","35.5197"
"414","X-025.figitumumab","TGI","-2.4381"
"415","X-025.HDM201","angle","22.1390"
"416","X-025.HDM201","abc","11.2936"
"417","X-025.HDM201","TGI","-4.0697"
"418","X-025.HSP990","angle","0.2114"
"419","X-025.HSP990","abc","-61.5072"
"420","X-025.HSP990","TGI","0.6337"
"421","X-025.INC280","angle","-0.5312"
"422","X-025.INC280","abc","-122.8296"
"423","X-025.INC280","TGI","1.1233"
"424","X-025.INC280 + trastuzumab","angle","9.6869"
"425","X-025.INC280 + trastuzumab","abc","80.6448"
"426","X-025.INC280 + trastuzumab","TGI","-11.4346"
"427","X-025.LEE011","angle","65.8588"
"428","X-025.LEE011","abc","162.2582"
"429","X-025.LEE011","TGI","-106.7634"
"430","X-025.LEE011 + everolimus","angle","98.3022"
"431","X-025.LEE011 + everolimus","abc","94.1400"
"432","X-025.LEE011 + everolimus","TGI","-12.1144"
"433","X-025.LJM716","angle","14.4762"
"434","X-025.LJM716","abc","118.4282"
"435","X-025.LJM716","TGI","-10.1890"
"436","X-025.LJM716 + trastuzumab","angle","16.4953"
"437","X-025.LJM716 + trastuzumab","abc","134.1248"
"438","X-025.LJM716 + trastuzumab","TGI","-25.9605"
"439","X-025.trastuzumab","angle","-3.2600"
"440","X-025.trastuzumab","abc","-238.8952"
"441","X-025.trastuzumab","TGI","3.3117"
"442","X-027.BKM120","angle","NA"
"443","X-027.BKM120","abc","NA"
"444","X-027.BKM120","TGI","NA"
"445","X-027.BYL719","angle","NA"
"446","X-027.BYL719","abc","NA"
"447","X-027.BYL719","TGI","NA"
"448","X-027.BYL719 + HSP990","angle","NA"
"449","X-027.BYL719 + HSP990","abc","NA"
"450","X-027.BYL719 + HSP990","TGI","NA"
"451","X-027.CLR457","angle","NA"
"452","X-027.CLR457","abc","NA"
"453","X-027.CLR457","TGI","NA"
"454","X-027.figitumumab","angle","NA"
"455","X-027.figitumumab","abc","NA"
"456","X-027.figitumumab","TGI","NA"
"457","X-027.HDM201","angle","NA"
"458","X-027.HDM201","abc","NA"
"459","X-027.HDM201","TGI","NA"
"460","X-027.LEE011","angle","NA"
"461","X-027.LEE011","abc","NA"
"462","X-027.LEE011","TGI","NA"
"463","X-027.LJM716","angle","NA"
"464","X-027.LJM716","abc","NA"
"465","X-027.LJM716","TGI","NA"
"466","X-027.LLM871","angle","NA"
"467","X-027.LLM871","abc","NA"
"468","X-027.LLM871","TGI","NA"
"469","X-027.trastuzumab","angle","NA"
"470","X-027.trastuzumab","abc","NA"
"471","X-027.trastuzumab","TGI","NA"
"472","X-028.BGJ398","angle","NA"
"473","X-028.BGJ398","abc","NA"
"474","X-028.BGJ398","TGI","NA"
"475","X-028.binimetinib","angle","NA"
"476","X-028.binimetinib","abc","NA"
"477","X-028.binimetinib","TGI","NA"
"478","X-028.BKM120","angle","NA"
"479","X-028.BKM120","abc","NA"
"480","X-028.BKM120","TGI","NA"
"481","X-028.BYL719","angle","NA"
"482","X-028.BYL719","abc","NA"
"483","X-028.BYL719","TGI","NA"
"484","X-028.BYL719 + HSP990","angle","NA"
"485","X-028.BYL719 + HSP990","abc","NA"
"486","X-028.BYL719 + HSP990","TGI","NA"
"487","X-028.BYL719 + LJM716","angle","NA"
"488","X-028.BYL719 + LJM716","abc","NA"
"489","X-028.BYL719 + LJM716","TGI","NA"
"490","X-028.CLR457","angle","NA"
"491","X-028.CLR457","abc","NA"
"492","X-028.CLR457","TGI","NA"
"493","X-028.everolimus","angle","NA"
"494","X-028.everolimus","abc","NA"
"495","X-028.everolimus","TGI","NA"
"496","X-028.figitumumab","angle","NA"
"497","X-028.figitumumab","abc","NA"
"498","X-028.figitumumab","TGI","NA"
"499","X-028.HDM201","angle","NA"
"500","X-028.HDM201","abc","NA"
"501","X-028.HDM201","TGI","NA"
"502","X-028.HSP990","angle","NA"
"503","X-028.HSP990","abc","NA"
"504","X-028.HSP990","TGI","NA"
"505","X-028.INC280","angle","NA"
"506","X-028.INC280","abc","NA"
"507","X-028.INC280","TGI","NA"
"508","X-028.INC280 + trastuzumab","angle","NA"
"509","X-028.INC280 + trastuzumab","abc","NA"
"510","X-028.INC280 + trastuzumab","TGI","NA"
"511","X-028.LEE011","angle","NA"
"512","X-028.LEE011","abc","NA"
"513","X-028.LEE011","TGI","NA"
"514","X-028.LEE011 + everolimus","angle","NA"
"515","X-028.LEE011 + everolimus","abc","NA"
"516","X-028.LEE011 + everolimus","TGI","NA"
"517","X-028.LJM716","angle","NA"
"518","X-028.LJM716","abc","NA"
"519","X-028.LJM716","TGI","NA"
"520","X-028.LJM716 + trastuzumab","angle","NA"
"521","X-028.LJM716 + trastuzumab","abc","NA"
"522","X-028.LJM716 + trastuzumab","TGI","NA"
"523","X-028.LLM871","angle","NA"
"524","X-028.LLM871","abc","NA"
"525","X-028.LLM871","TGI","NA"
"526","X-028.trastuzumab","angle","NA"
"527","X-028.trastuzumab","abc","NA"
"528","X-028.trastuzumab","TGI","NA"
"529","X-029.BGJ398","angle","NA"
"530","X-029.BGJ398","abc","NA"
"531","X-029.BGJ398","TGI","NA"
"532","X-029.binimetinib","angle","NA"
"533","X-029.binimetinib","abc","NA"
"534","X-029.binimetinib","TGI","NA"
"535","X-029.BKM120","angle","NA"
"536","X-029.BKM120","abc","NA"
"537","X-029.BKM120","TGI","NA"
"538","X-029.BYL719","angle","NA"
"539","X-029.BYL719","abc","NA"
"540","X-029.BYL719","TGI","NA"
"541","X-029.BYL719 + HSP990","angle","NA"
"542","X-029.BYL719 + HSP990","abc","NA"
"543","X-029.BYL719 + HSP990","TGI","NA"
"544","X-029.BYL719 + LJM716","angle","NA"
"545","X-029.BYL719 + LJM716","abc","NA"
"546","X-029.BYL719 + LJM716","TGI","NA"
"547","X-029.CLR457","angle","NA"
"548","X-029.CLR457","abc","NA"
"549","X-029.CLR457","TGI","NA"
"550","X-029.everolimus","angle","NA"
"551","X-029.everolimus","abc","NA"
"552","X-029.everolimus","TGI","NA"
"553","X-029.figitumumab","angle","NA"
"554","X-029.figitumumab","abc","NA"
"555","X-029.figitumumab","TGI","NA"
"556","X-029.HDM201","angle","NA"
"557","X-029.HDM201","abc","NA"
"558","X-029.HDM201","TGI","NA"
"559","X-029.HSP990","angle","NA"
"560","X-029.HSP990","abc","NA"
"561","X-029.HSP990","TGI","NA"
"562","X-029.INC280","angle","NA"
"563","X-029.INC280","abc","NA"
"564","X-029.INC280","TGI","NA"
"565","X-029.INC280 + trastuzumab","angle","NA"
"566","X-029.INC280 + trastuzumab","abc","NA"
"567","X-029.INC280 + trastuzumab","TGI","NA"
"568","X-029.LEE011","angle","NA"
"569","X-029.LEE011","abc","NA"
"570","X-029.LEE011","TGI","NA"
"571","X-029.LJM716 + trastuzumab","angle","NA"
"572","X-029.LJM716 + trastuzumab","abc","NA"
"573","X-029.LJM716 + trastuzumab","TGI","NA"
"574","X-029.LLM871","angle","NA"
"575","X-029.LLM871","abc","NA"
"576","X-029.LLM871","TGI","NA"
"577","X-029.trastuzumab","angle","NA"
"578","X-029.trastuzumab","abc","NA"
"579","X-029.trastuzumab","TGI","NA"
"580","X-031.BGJ398","angle","-94.4225"
"581","X-031.BGJ398","abc","-645.7652"
"582","X-031.BGJ398","TGI","9.7007"
"583","X-031.binimetinib","angle","-24.8912"
"584","X-031.binimetinib","abc","-204.5930"
"585","X-031.binimetinib","TGI","4.1333"
"586","X-031.BKM120","angle","-13.3703"
"587","X-031.BKM120","abc","-183.7853"
"588","X-031.BKM120","TGI","1.2968"
"589","X-031.BYL719","angle","-5.2413"
"590","X-031.BYL719","abc","-90.7363"
"591","X-031.BYL719","TGI","1.4653"
"592","X-031.BYL719 + HSP990","angle","-56.5484"
"593","X-031.BYL719 + HSP990","abc","-485.5886"
"594","X-031.BYL719 + HSP990","TGI","7.2996"
"595","X-031.CLR457","angle","15.4326"
"596","X-031.CLR457","abc","-108.6395"
"597","X-031.CLR457","TGI","0.5365"
"598","X-031.everolimus","angle","-18.4478"
"599","X-031.everolimus","abc","-193.9047"
"600","X-031.everolimus","TGI","2.5054"
"601","X-031.figitumumab","angle","-95.0059"
"602","X-031.figitumumab","abc","-656.6217"
"603","X-031.figitumumab","TGI","9.2496"
"604","X-031.HDM201","angle","-26.0544"
"605","X-031.HDM201","abc","-381.5686"
"606","X-031.HDM201","TGI","4.3638"
"607","X-031.HSP990","angle","-57.0583"
"608","X-031.HSP990","abc","-482.8949"
"609","X-031.HSP990","TGI","10.4197"
"610","X-031.INC280","angle","-23.7533"
"611","X-031.INC280","abc","-244.0935"
"612","X-031.INC280","TGI","6.1533"
"613","X-031.INC280 + trastuzumab","angle","-94.8038"
"614","X-031.INC280 + trastuzumab","abc","-375.1179"
"615","X-031.INC280 + trastuzumab","TGI","7.2278"
"616","X-031.LEE011","angle","-18.5378"
"617","X-031.LEE011","abc","-162.8488"
"618","X-031.LEE011","TGI","2.7859"
