"","batch.name","model.id","type"
"143","X-1298.HDM201","X.1298.HD01","treatment"
"144","X-1298.HDM201","X.1298.uned","control"
"145","X-1298.INC424","X.1298.IN24","treatment"
"146","X-1298.INC424","X.1298.uned","control"
"147","X-1298.LEE011","X.1298.LE11","treatment"
"148","X-1298.LEE011","X.1298.uned","control"
"149","X-1298.LEE011 + everolimus","X.1298.LE11.evus","treatment"
"150","X-1298.LEE011 + everolimus","X.1298.uned","control"
"151","X-1298.LFA102","X.1298.LF02","treatment"
"152","X-1298.LFA102","X.1298.uned","control"
"153","X-1298.LFW527 + everolimus","X.1298.LF27.evus","treatment"
"154","X-1298.LFW527 + everolimus","X.1298.uned","control"
"155","X-1298.LJM716","X.1298.LJ16","treatment"
"156","X-1298.LJM716","X.1298.uned","control"
"157","X-1298.LJM716 + trastuzumab","X.1298.LJ16.trab","treatment"
"158","X-1298.LJM716 + trastuzumab","X.1298.uned","control"
"159","X-1298.LKA136","X.1298.LK36","treatment"
"160","X-1298.LKA136","X.1298.uned","control"
"161","X-1298.LLM871","X.1298.LL71","treatment"
"162","X-1298.LLM871","X.1298.uned","control"
"163","X-1298.paclitaxel","X.1298.pael","treatment"
"164","X-1298.paclitaxel","X.1298.uned","control"
"165","X-1298.tamoxifen","X.1298.taen","treatment"
"166","X-1298.tamoxifen","X.1298.uned","control"
"167","X-1298.trastuzumab","X.1298.trab","treatment"
"168","X-1298.trastuzumab","X.1298.uned","control"
"169","X-1349.LFW527 + everolimus","X.1349.LF27.evus","treatment"
"170","X-1371.BGJ398","X.1371.BG98","treatment"
"171","X-1371.BGJ398","X.1371.uned","control"
"172","X-1371.binimetinib","X.1371.biib","treatment"
"173","X-1371.binimetinib","X.1371.uned","control"
"174","X-1371.BKM120","X.1371.BK20","treatment"
"175","X-1371.BKM120","X.1371.uned","control"
"176","X-1371.BYL719","X.1371.BY19","treatment"
"177","X-1371.BYL719","X.1371.uned","control"
"178","X-1371.BYL719 + LEE011","X.1371.BY19.LE11","treatment"
"179","X-1371.BYL719 + LEE011","X.1371.uned","control"
"180","X-1371.BYL719 + LJM716","X.1371.BY19.LJ16","treatment"
"181","X-1371.BYL719 + LJM716","X.1371.uned","control"
"182","X-1371.CGM097","X.1371.CG97","treatment"
"183","X-1371.CGM097","X.1371.uned","control"
"184","X-1371.CLR457","X.1371.CL57","treatment"
"185","X-1371.CLR457","X.1371.uned","control"
"186","X-1371.HDM201","X.1371.HD01","treatment"
"187","X-1371.HDM201","X.1371.uned","control"
"188","X-1371.INC424","X.1371.IN24","treatment"
"189","X-1371.INC424","X.1371.uned","control"
"190","X-1371.LEE011","X.1371.LE11","treatment"
"191","X-1371.LEE011","X.1371.uned","control"
"192","X-1371.LFA102","X.1371.LF02","treatment"
"193","X-1371.LFA102","X.1371.uned","control"
"194","X-1371.LFW527 + everolimus","X.1371.LF27.evus","treatment"
"195","X-1371.LFW527 + everolimus","X.1371.uned","control"
"196","X-1371.LJM716","X.1371.LJ16","treatment"
"197","X-1371.LJM716","X.1371.uned","control"
"198","X-1371.LJM716 + trastuzumab","X.1371.LJ16.trab","treatment"
"199","X-1371.LJM716 + trastuzumab","X.1371.uned","control"
"200","X-1371.LKA136","X.1371.LK36","treatment"
"201","X-1371.LKA136","X.1371.uned","control"
"202","X-1371.LLM871","X.1371.LL71","treatment"
"203","X-1371.LLM871","X.1371.uned","control"
"204","X-1371.paclitaxel","X.1371.pael","treatment"
"205","X-1371.paclitaxel","X.1371.uned","control"
"206","X-1371.tamoxifen","X.1371.taen","treatment"
"207","X-1371.tamoxifen","X.1371.uned","control"
"208","X-1371.trastuzumab","X.1371.trab","treatment"
"209","X-1371.trastuzumab","X.1371.uned","control"
"210","X-1383.BGJ398","X.1383.BG98","treatment"
"211","X-1383.BGJ398","X.1383.uned","control"
"212","X-1383.binimetinib","X.1383.biib","treatment"
"213","X-1383.binimetinib","X.1383.uned","control"
"214","X-1383.BKM120","X.1383.BK20","treatment"
"215","X-1383.BKM120","X.1383.uned","control"
"216","X-1383.BYL719","X.1383.BY19","treatment"
"217","X-1383.BYL719","X.1383.uned","control"
"218","X-1383.BYL719 + LEE011","X.1383.BY19.LE11","treatment"
"219","X-1383.BYL719 + LEE011","X.1383.uned","control"
"220","X-1383.BYL719 + LJM716","X.1383.BY19.LJ16","treatment"
"221","X-1383.BYL719 + LJM716","X.1383.uned","control"
"222","X-1383.CGM097","X.1383.CG97","treatment"
"223","X-1383.CGM097","X.1383.uned","control"
"224","X-1383.CLR457","X.1383.CL57","treatment"
"225","X-1383.CLR457","X.1383.uned","control"
"226","X-1383.HDM201","X.1383.HD01","treatment"
"227","X-1383.HDM201","X.1383.uned","control"
"228","X-1383.INC424","X.1383.IN24","treatment"
"229","X-1383.INC424","X.1383.uned","control"
"230","X-1383.LEE011","X.1383.LE11","treatment"
"231","X-1383.LEE011","X.1383.uned","control"
"232","X-1383.LEE011 + everolimus","X.1383.LE11.evus","treatment"
"233","X-1383.LEE011 + everolimus","X.1383.uned","control"
"234","X-1383.LFA102","X.1383.LF02","treatment"
"235","X-1383.LFA102","X.1383.uned","control"
"236","X-1383.LFW527 + everolimus","X.1383.LF27.evus","treatment"
"237","X-1383.LFW527 + everolimus","X.1383.uned","control"
"238","X-1383.LJM716","X.1383.LJ16","treatment"
"239","X-1383.LJM716","X.1383.uned","control"
"240","X-1383.LJM716 + trastuzumab","X.1383.LJ16.trab","treatment"
"241","X-1383.LJM716 + trastuzumab","X.1383.uned","control"
"242","X-1383.LKA136","X.1383.LK36","treatment"
"243","X-1383.LKA136","X.1383.uned","control"
"244","X-1383.LLM871","X.1383.LL71","treatment"
"245","X-1383.LLM871","X.1383.uned","control"
"246","X-1383.paclitaxel","X.1383.pael","treatment"
"247","X-1383.paclitaxel","X.1383.uned","control"
"248","X-1383.tamoxifen","X.1383.taen","treatment"
"249","X-1383.tamoxifen","X.1383.uned","control"
"250","X-1383.trastuzumab","X.1383.trab","treatment"
"251","X-1383.trastuzumab","X.1383.uned","control"
"252","X-1407.BGJ398","X.1407.BG98","treatment"
"253","X-1407.BGJ398","X.1407.uned","control"
"254","X-1407.binimetinib","X.1407.biib","treatment"
"255","X-1407.binimetinib","X.1407.uned","control"
"256","X-1407.BKM120","X.1407.BK20","treatment"
"257","X-1407.BKM120","X.1407.uned","control"
"258","X-1407.BYL719","X.1407.BY19","treatment"
"259","X-1407.BYL719","X.1407.uned","control"
"260","X-1407.BYL719 + LEE011","X.1407.BY19.LE11","treatment"
"261","X-1407.BYL719 + LEE011","X.1407.uned","control"
"262","X-1407.BYL719 + LJM716","X.1407.BY19.LJ16","treatment"
"263","X-1407.BYL719 + LJM716","X.1407.uned","control"
"264","X-1407.CGM097","X.1407.CG97","treatment"
"265","X-1407.CGM097","X.1407.uned","control"
"266","X-1407.CLR457","X.1407.CL57","treatment"
"267","X-1407.CLR457","X.1407.uned","control"
"268","X-1407.HDM201","X.1407.HD01","treatment"
"269","X-1407.HDM201","X.1407.uned","control"
"270","X-1407.INC424","X.1407.IN24","treatment"
"271","X-1407.INC424","X.1407.uned","control"
"272","X-1407.LEE011","X.1407.LE11","treatment"
"273","X-1407.LEE011","X.1407.uned","control"
"274","X-1407.LEE011 + everolimus","X.1407.LE11.evus","treatment"
"275","X-1407.LEE011 + everolimus","X.1407.uned","control"
"276","X-1407.LFA102","X.1407.LF02","treatment"
"277","X-1407.LFA102","X.1407.uned","control"
"278","X-1407.LFW527 + everolimus","X.1407.LF27.evus","treatment"
"279","X-1407.LFW527 + everolimus","X.1407.uned","control"
"280","X-1407.LJM716","X.1407.LJ16","treatment"
"281","X-1407.LJM716","X.1407.uned","control"
"282","X-1407.LJM716 + trastuzumab","X.1407.LJ16.trab","treatment"
"283","X-1407.LJM716 + trastuzumab","X.1407.uned","control"
"284","X-1407.LKA136","X.1407.LK36","treatment"
"285","X-1407.LKA136","X.1407.uned","control"
"286","X-1407.LLM871","X.1407.LL71","treatment"
"287","X-1407.LLM871","X.1407.uned","control"
"288","X-1407.paclitaxel","X.1407.pael","treatment"
"289","X-1407.paclitaxel","X.1407.uned","control"
"290","X-1407.tamoxifen","X.1407.taen","treatment"
"291","X-1407.tamoxifen","X.1407.uned","control"
"292","X-1407.trastuzumab","X.1407.trab","treatment"
"293","X-1407.trastuzumab","X.1407.uned","control"
"294","X-1468.BGJ398","X.1468.BG98","treatment"
"295","X-1468.BGJ398","X.1468.uned","control"
"296","X-1468.binimetinib","X.1468.biib","treatment"
"297","X-1468.binimetinib","X.1468.uned","control"
"298","X-1468.BKM120","X.1468.BK20","treatment"
"299","X-1468.BKM120","X.1468.uned","control"
"300","X-1468.BYL719","X.1468.BY19","treatment"
"301","X-1468.BYL719","X.1468.uned","control"
"302","X-1468.BYL719 + LEE011","X.1468.BY19.LE11","treatment"
"303","X-1468.BYL719 + LEE011","X.1468.uned","control"
"304","X-1468.BYL719 + LJM716","X.1468.BY19.LJ16","treatment"
"305","X-1468.BYL719 + LJM716","X.1468.uned","control"
"306","X-1468.CGM097","X.1468.CG97","treatment"
"307","X-1468.CGM097","X.1468.uned","control"
"308","X-1468.CLR457","X.1468.CL57","treatment"
"309","X-1468.CLR457","X.1468.uned","control"
"310","X-1468.HDM201","X.1468.HD01","treatment"
"311","X-1468.HDM201","X.1468.uned","control"
"312","X-1468.INC424","X.1468.IN24","treatment"
"313","X-1468.INC424","X.1468.uned","control"
"314","X-1468.LEE011","X.1468.LE11","treatment"
"315","X-1468.LEE011","X.1468.uned","control"
"316","X-1468.LEE011 + everolimus","X.1468.LE11.evus","treatment"
"317","X-1468.LEE011 + everolimus","X.1468.uned","control"
"318","X-1468.LFA102","X.1468.LF02","treatment"
"319","X-1468.LFA102","X.1468.uned","control"
"320","X-1468.LFW527 + everolimus","X.1468.LF27.evus","treatment"
"321","X-1468.LFW527 + everolimus","X.1468.uned","control"
"322","X-1468.LJM716","X.1468.LJ16","treatment"
"323","X-1468.LJM716","X.1468.uned","control"
"324","X-1468.LJM716 + trastuzumab","X.1468.LJ16.trab","treatment"
"325","X-1468.LJM716 + trastuzumab","X.1468.uned","control"
"326","X-1468.LKA136","X.1468.LK36","treatment"
"327","X-1468.LKA136","X.1468.uned","control"
"328","X-1468.LLM871","X.1468.LL71","treatment"
"329","X-1468.LLM871","X.1468.uned","control"
"330","X-1468.paclitaxel","X.1468.pael","treatment"
"331","X-1468.paclitaxel","X.1468.uned","control"
"332","X-1468.tamoxifen","X.1468.taen","treatment"
"333","X-1468.tamoxifen","X.1468.uned","control"
"334","X-1468.trastuzumab","X.1468.trab","treatment"
"335","X-1468.trastuzumab","X.1468.uned","control"
"336","X-1600.BGJ398","X.1600.BG98","treatment"
"337","X-1600.BGJ398","X.1600.uned","control"
"338","X-1600.binimetinib","X.1600.biib","treatment"
"339","X-1600.binimetinib","X.1600.uned","control"
"340","X-1600.BKM120","X.1600.BK20","treatment"
"341","X-1600.BKM120","X.1600.uned","control"
"342","X-1600.BYL719","X.1600.BY19","treatment"
"343","X-1600.BYL719","X.1600.uned","control"
"344","X-1600.BYL719 + LEE011","X.1600.BY19.LE11","treatment"
"345","X-1600.BYL719 + LEE011","X.1600.uned","control"
"346","X-1600.BYL719 + LJM716","X.1600.BY19.LJ16","treatment"
"347","X-1600.BYL719 + LJM716","X.1600.uned","control"
"348","X-1600.CGM097","X.1600.CG97","treatment"
"349","X-1600.CGM097","X.1600.uned","control"
"350","X-1600.CLR457","X.1600.CL57","treatment"
"351","X-1600.CLR457","X.1600.uned","control"
"352","X-1600.HDM201","X.1600.HD01","treatment"
"353","X-1600.HDM201","X.1600.uned","control"
"354","X-1600.INC424","X.1600.IN24","treatment"
"355","X-1600.INC424","X.1600.uned","control"
"356","X-1600.LEE011","X.1600.LE11","treatment"
"357","X-1600.LEE011","X.1600.uned","control"
"358","X-1600.LEE011 + everolimus","X.1600.LE11.evus","treatment"
"359","X-1600.LEE011 + everolimus","X.1600.uned","control"
"360","X-1600.LFA102","X.1600.LF02","treatment"
"361","X-1600.LFA102","X.1600.uned","control"
"362","X-1600.LFW527 + everolimus","X.1600.LF27.evus","treatment"
"363","X-1600.LFW527 + everolimus","X.1600.uned","control"
"364","X-1600.LJM716","X.1600.LJ16","treatment"
"365","X-1600.LJM716","X.1600.uned","control"
"366","X-1600.LJM716 + trastuzumab","X.1600.LJ16.trab","treatment"
"367","X-1600.LJM716 + trastuzumab","X.1600.uned","control"
"368","X-1600.LKA136","X.1600.LK36","treatment"
"369","X-1600.LKA136","X.1600.uned","control"
"370","X-1600.LLM871","X.1600.LL71","treatment"
"371","X-1600.LLM871","X.1600.uned","control"
"372","X-1600.paclitaxel","X.1600.pael","treatment"
"373","X-1600.paclitaxel","X.1600.uned","control"
"374","X-1600.tamoxifen","X.1600.taen","treatment"
"375","X-1600.tamoxifen","X.1600.uned","control"
"376","X-1600.trastuzumab","X.1600.trab","treatment"
"377","X-1600.trastuzumab","X.1600.uned","control"
"378","X-1631.BGJ398","X.1631.BG98","treatment"
"379","X-1631.BGJ398","X.1631.uned","control"
"380","X-1631.binimetinib","X.1631.biib","treatment"
"381","X-1631.binimetinib","X.1631.uned","control"
"382","X-1631.BKM120","X.1631.BK20","treatment"
"383","X-1631.BKM120","X.1631.uned","control"
"384","X-1631.BYL719","X.1631.BY19","treatment"
"385","X-1631.BYL719","X.1631.uned","control"
"386","X-1631.BYL719 + LEE011","X.1631.BY19.LE11","treatment"
"387","X-1631.BYL719 + LEE011","X.1631.uned","control"
"388","X-1631.BYL719 + LJM716","X.1631.BY19.LJ16","treatment"
"389","X-1631.BYL719 + LJM716","X.1631.uned","control"
"390","X-1631.CGM097","X.1631.CG97","treatment"
"391","X-1631.CGM097","X.1631.uned","control"
"392","X-1631.CLR457","X.1631.CL57","treatment"
"393","X-1631.CLR457","X.1631.uned","control"
"394","X-1631.HDM201","X.1631.HD01","treatment"
"395","X-1631.HDM201","X.1631.uned","control"
"396","X-1631.LEE011","X.1631.LE11","treatment"
"397","X-1631.LEE011","X.1631.uned","control"
"398","X-1631.LEE011 + everolimus","X.1631.LE11.evus","treatment"
"399","X-1631.LEE011 + everolimus","X.1631.uned","control"
"400","X-1631.LFA102","X.1631.LF02","treatment"
"401","X-1631.LFA102","X.1631.uned","control"
"402","X-1631.LJM716","X.1631.LJ16","treatment"
"403","X-1631.LJM716","X.1631.uned","control"
"404","X-1631.LJM716 + trastuzumab","X.1631.LJ16.trab","treatment"
"405","X-1631.LJM716 + trastuzumab","X.1631.uned","control"
"406","X-1631.LKA136","X.1631.LK36","treatment"
"407","X-1631.LKA136","X.1631.uned","control"
"408","X-1631.LLM871","X.1631.LL71","treatment"
"409","X-1631.LLM871","X.1631.uned","control"
"410","X-1631.paclitaxel","X.1631.pael","treatment"
"411","X-1631.paclitaxel","X.1631.uned","control"
"412","X-1631.tamoxifen","X.1631.taen","treatment"
"413","X-1631.tamoxifen","X.1631.uned","control"
"414","X-1631.trastuzumab","X.1631.trab","treatment"
"415","X-1631.trastuzumab","X.1631.uned","control"
"416","X-1828.BGJ398","X.1828.BG98","treatment"
"417","X-1828.BGJ398","X.1828.uned","control"
"418","X-1828.binimetinib","X.1828.biib","treatment"
"419","X-1828.binimetinib","X.1828.uned","control"
"420","X-1828.BKM120","X.1828.BK20","treatment"
"421","X-1828.BKM120","X.1828.uned","control"
"422","X-1828.BYL719","X.1828.BY19","treatment"
"423","X-1828.BYL719","X.1828.uned","control"
"424","X-1828.BYL719 + LEE011","X.1828.BY19.LE11","treatment"
"425","X-1828.BYL719 + LEE011","X.1828.uned","control"
"426","X-1828.BYL719 + LJM716","X.1828.BY19.LJ16","treatment"
"427","X-1828.BYL719 + LJM716","X.1828.uned","control"
"428","X-1828.CGM097","X.1828.CG97","treatment"
"429","X-1828.CGM097","X.1828.uned","control"
"430","X-1828.CLR457","X.1828.CL57","treatment"
"431","X-1828.CLR457","X.1828.uned","control"
"432","X-1828.HDM201","X.1828.HD01","treatment"
"433","X-1828.HDM201","X.1828.uned","control"
"434","X-1828.INC424","X.1828.IN24","treatment"
"435","X-1828.INC424","X.1828.uned","control"
"436","X-1828.LEE011","X.1828.LE11","treatment"
"437","X-1828.LEE011","X.1828.uned","control"
"438","X-1828.LEE011 + everolimus","X.1828.LE11.evus","treatment"
"439","X-1828.LEE011 + everolimus","X.1828.uned","control"
"440","X-1828.LFA102","X.1828.LF02","treatment"
"441","X-1828.LFA102","X.1828.uned","control"
"442","X-1828.LJM716","X.1828.LJ16","treatment"
"443","X-1828.LJM716","X.1828.uned","control"
"444","X-1828.LJM716 + trastuzumab","X.1828.LJ16.trab","treatment"
"445","X-1828.LJM716 + trastuzumab","X.1828.uned","control"
"446","X-1828.LKA136","X.1828.LK36","treatment"
"447","X-1828.LKA136","X.1828.uned","control"
"448","X-1828.LLM871","X.1828.LL71","treatment"
"449","X-1828.LLM871","X.1828.uned","control"
"450","X-1828.paclitaxel","X.1828.pael","treatment"
"451","X-1828.paclitaxel","X.1828.uned","control"
"452","X-1828.tamoxifen","X.1828.taen","treatment"
"453","X-1828.tamoxifen","X.1828.uned","control"
"454","X-1828.trastuzumab","X.1828.trab","treatment"
"455","X-1828.trastuzumab","X.1828.uned","control"
"456","X-1832.BGJ398","X.1832.BG98","treatment"
"457","X-1832.BGJ398","X.1832.uned","control"
"458","X-1832.binimetinib","X.1832.biib","treatment"
"459","X-1832.binimetinib","X.1832.uned","control"
"460","X-1832.BKM120","X.1832.BK20","treatment"
"461","X-1832.BKM120","X.1832.uned","control"
"462","X-1832.BYL719","X.1832.BY19","treatment"
"463","X-1832.BYL719","X.1832.uned","control"
"464","X-1832.BYL719 + LEE011","X.1832.BY19.LE11","treatment"
"465","X-1832.BYL719 + LEE011","X.1832.uned","control"
"466","X-1832.BYL719 + LJM716","X.1832.BY19.LJ16","treatment"
"467","X-1832.BYL719 + LJM716","X.1832.uned","control"
"468","X-1832.CGM097","X.1832.CG97","treatment"
"469","X-1832.CGM097","X.1832.uned","control"
"470","X-1832.CLR457","X.1832.CL57","treatment"
"471","X-1832.CLR457","X.1832.uned","control"
"472","X-1832.HDM201","X.1832.HD01","treatment"
"473","X-1832.HDM201","X.1832.uned","control"
"474","X-1832.INC424","X.1832.IN24","treatment"
"475","X-1832.INC424","X.1832.uned","control"
"476","X-1832.LEE011","X.1832.LE11","treatment"
"477","X-1832.LEE011","X.1832.uned","control"
"478","X-1832.LEE011 + everolimus","X.1832.LE11.evus","treatment"
"479","X-1832.LEE011 + everolimus","X.1832.uned","control"
"480","X-1832.LFA102","X.1832.LF02","treatment"
"481","X-1832.LFA102","X.1832.uned","control"
"482","X-1832.LFW527 + everolimus","X.1832.LF27.evus","treatment"
"483","X-1832.LFW527 + everolimus","X.1832.uned","control"
"484","X-1832.LJM716","X.1832.LJ16","treatment"
"485","X-1832.LJM716","X.1832.uned","control"
"486","X-1832.LJM716 + trastuzumab","X.1832.LJ16.trab","treatment"
"487","X-1832.LJM716 + trastuzumab","X.1832.uned","control"
"488","X-1832.LKA136","X.1832.LK36","treatment"
"489","X-1832.LKA136","X.1832.uned","control"
"490","X-1832.LLM871","X.1832.LL71","treatment"
"491","X-1832.LLM871","X.1832.uned","control"
"492","X-1832.paclitaxel","X.1832.pael","treatment"
"493","X-1832.paclitaxel","X.1832.uned","control"
"494","X-1832.tamoxifen","X.1832.taen","treatment"
"495","X-1832.tamoxifen","X.1832.uned","control"
"496","X-1832.trastuzumab","X.1832.trab","treatment"
"497","X-1832.trastuzumab","X.1832.uned","control"
"498","X-1916.BGJ398","X.1916.BG98","treatment"
"499","X-1916.BGJ398","X.1916.uned","control"
"500","X-1916.binimetinib","X.1916.biib","treatment"
"501","X-1916.binimetinib","X.1916.uned","control"
"502","X-1916.BKM120","X.1916.BK20","treatment"
"503","X-1916.BKM120","X.1916.uned","control"
"504","X-1916.BYL719","X.1916.BY19","treatment"
