"","drug","model.id","response_type","value"
"44","figitumumab","X.007.fiab","AUC","586.9550"
"45","figitumumab","X.007.fiab","survival","10.0000"
"46","HDM201","X.007.HD01","mRECIST",NA
"47","HDM201","X.007.HD01","best.average.response","NA"
"48","HDM201","X.007.HD01","slope","89.3588"
"49","HDM201","X.007.HD01","AUC","808.7045"
"50","HDM201","X.007.HD01","survival","11.0000"
"51","HSP990","X.007.HS90","mRECIST","SD"
"52","HSP990","X.007.HS90","best.average.response","-21.8302"
"53","HSP990","X.007.HS90","slope","70.8744"
"54","HSP990","X.007.HS90","AUC","243.8345"
"55","HSP990","X.007.HS90","survival","29.0000"
"56","INC280","X.007.IN80","mRECIST",NA
"57","INC280","X.007.IN80","best.average.response","NA"
"58","INC280","X.007.IN80","slope","89.4103"
"59","INC280","X.007.IN80","AUC","916.6462"
"60","INC280","X.007.IN80","survival","13.0000"
"61","INC280 + trastuzumab","X.007.IN80.trab","mRECIST","PD"
"62","INC280 + trastuzumab","X.007.IN80.trab","best.average.response","142.3501"
"63","INC280 + trastuzumab","X.007.IN80.trab","slope","88.4065"
"64","INC280 + trastuzumab","X.007.IN80.trab","AUC","871.1333"
"65","INC280 + trastuzumab","X.007.IN80.trab","survival","30.0000"
"66","LEE011","X.007.LE11","mRECIST",NA
"67","LEE011","X.007.LE11","best.average.response","NA"
"68","LEE011","X.007.LE11","slope","89.4766"
"69","LEE011","X.007.LE11","AUC","928.1545"
"70","LEE011","X.007.LE11","survival","11.0000"
"71","LEE011 + everolimus","X.007.LE11.evus","mRECIST","PD"
"72","LEE011 + everolimus","X.007.LE11.evus","best.average.response","32.2234"
"73","LEE011 + everolimus","X.007.LE11.evus","slope","82.5709"
"74","LEE011 + everolimus","X.007.LE11.evus","AUC","383.9038"
"75","LEE011 + everolimus","X.007.LE11.evus","survival","13.0000"
"76","LJM716","X.007.LJ16","mRECIST",NA
"77","LJM716","X.007.LJ16","best.average.response","NA"
"78","LJM716","X.007.LJ16","slope","89.5038"
"79","LJM716","X.007.LJ16","AUC","919.9577"
"80","LJM716","X.007.LJ16","survival","13.0000"
"81","LJM716 + trastuzumab","X.007.LJ16.trab","mRECIST",NA
"82","LJM716 + trastuzumab","X.007.LJ16.trab","best.average.response","NA"
"83","LJM716 + trastuzumab","X.007.LJ16.trab","slope","89.5404"
"84","LJM716 + trastuzumab","X.007.LJ16.trab","AUC","1137.2385"
"85","LJM716 + trastuzumab","X.007.LJ16.trab","survival","13.0000"
"86","LLM871","X.007.LL71","mRECIST",NA
"87","LLM871","X.007.LL71","best.average.response","NA"
"88","LLM871","X.007.LL71","slope","89.4629"
"89","LLM871","X.007.LL71","AUC","834.8091"
"90","LLM871","X.007.LL71","survival","11.0000"
"91","trastuzumab","X.007.trab","mRECIST","PD"
"92","trastuzumab","X.007.trab","best.average.response","51.1615"
"93","trastuzumab","X.007.trab","slope","87.7155"
"94","trastuzumab","X.007.trab","AUC","591.1774"
"95","trastuzumab","X.007.trab","survival","31.0000"
"96","BGJ398","X.010.BG98","mRECIST","SD"
"97","BGJ398","X.010.BG98","best.average.response","17.9083"
"98","BGJ398","X.010.BG98","slope","7.1075"
"99","BGJ398","X.010.BG98","AUC","243.3767"
"100","BGJ398","X.010.BG98","survival","157.0000"
"101","binimetinib","X.010.biib","mRECIST","PD"
"102","binimetinib","X.010.biib","best.average.response","60.1602"
"103","binimetinib","X.010.biib","slope","82.8474"
"104","binimetinib","X.010.biib","AUC","571.3500"
"105","binimetinib","X.010.biib","survival","58.0000"
"106","BKM120","X.010.BK20","mRECIST","SD"
"107","BKM120","X.010.BK20","best.average.response","18.7845"
"108","BKM120","X.010.BK20","slope","81.4974"
"109","BKM120","X.010.BK20","AUC","448.5233"
"110","BKM120","X.010.BK20","survival","77.0000"
"111","BYL719","X.010.BY19","mRECIST","SD"
"112","BYL719","X.010.BY19","best.average.response","12.6692"
"113","BYL719","X.010.BY19","slope","85.6331"
"114","BYL719","X.010.BY19","AUC","409.8105"
"115","BYL719","X.010.BY19","survival","38.0000"
"116","BYL719 + HSP990","X.010.BY19.HS90","mRECIST","SD"
"117","BYL719 + HSP990","X.010.BY19.HS90","best.average.response","-7.2736"
"118","BYL719 + HSP990","X.010.BY19.HS90","slope","50.2492"
"119","BYL719 + HSP990","X.010.BY19.HS90","AUC","252.0457"
"120","BYL719 + HSP990","X.010.BY19.HS90","survival","91.0000"
"121","BYL719 + LJM716","X.010.BY19.LJ16","mRECIST","PD"
"122","BYL719 + LJM716","X.010.BY19.LJ16","best.average.response","89.0662"
"123","BYL719 + LJM716","X.010.BY19.LJ16","slope","88.9472"
"124","BYL719 + LJM716","X.010.BY19.LJ16","AUC","879.4524"
"125","BYL719 + LJM716","X.010.BY19.LJ16","survival","21.0000"
"126","CLR457","X.010.CL57","mRECIST","SD"
"127","CLR457","X.010.CL57","best.average.response","26.5112"
"128","CLR457","X.010.CL57","slope","76.3337"
"129","CLR457","X.010.CL57","AUC","307.2600"
"130","CLR457","X.010.CL57","survival","30.0000"
"131","everolimus","X.010.evus","mRECIST","PD"
"132","everolimus","X.010.evus","best.average.response","33.3333"
"133","everolimus","X.010.evus","slope","86.1725"
"134","everolimus","X.010.evus","AUC","493.1868"
"135","everolimus","X.010.evus","survival","38.0000"
"136","figitumumab","X.010.fiab","mRECIST","SD"
"137","figitumumab","X.010.fiab","best.average.response","3.7904"
"138","figitumumab","X.010.fiab","slope","86.5691"
"139","figitumumab","X.010.fiab","AUC","442.8956"
"140","figitumumab","X.010.fiab","survival","34.0000"
"141","HDM201","X.010.HD01","mRECIST","PD"
"142","HDM201","X.010.HD01","best.average.response","14.3063"
"143","HDM201","X.010.HD01","slope","86.8198"
"144","HDM201","X.010.HD01","AUC","562.0476"
"145","HDM201","X.010.HD01","survival","42.0000"
"146","HSP990","X.010.HS90","mRECIST","PD"
"147","HSP990","X.010.HS90","best.average.response","88.2145"
"148","HSP990","X.010.HS90","slope","89.1274"
"149","HSP990","X.010.HS90","AUC","671.3107"
"150","HSP990","X.010.HS90","survival","14.0000"
"151","INC280","X.010.IN80","mRECIST","PD"
"152","INC280","X.010.IN80","best.average.response","28.1973"
"153","INC280","X.010.IN80","slope","87.7208"
"154","INC280","X.010.IN80","AUC","440.8286"
"155","INC280","X.010.IN80","survival","21.0000"
"156","INC280 + trastuzumab","X.010.IN80.trab","mRECIST","SD"
"157","INC280 + trastuzumab","X.010.IN80.trab","best.average.response","10.9103"
"158","INC280 + trastuzumab","X.010.IN80.trab","slope","87.3077"
"159","INC280 + trastuzumab","X.010.IN80.trab","AUC","465.5242"
"160","INC280 + trastuzumab","X.010.IN80.trab","survival","31.0000"
"161","LEE011","X.010.LE11","mRECIST","SD"
"162","LEE011","X.010.LE11","best.average.response","4.1017"
"163","LEE011","X.010.LE11","slope","72.1488"
"164","LEE011","X.010.LE11","AUC","366.2814"
"165","LEE011","X.010.LE11","survival","111.0000"
"166","LEE011 + everolimus","X.010.LE11.evus","mRECIST","SD"
"167","LEE011 + everolimus","X.010.LE11.evus","best.average.response","-26.7222"
"168","LEE011 + everolimus","X.010.LE11.evus","slope","-60.8228"
"169","LEE011 + everolimus","X.010.LE11.evus","AUC","151.7379"
"170","LEE011 + everolimus","X.010.LE11.evus","survival","118.0000"
"171","LJM716","X.010.LJ16","mRECIST","PD"
"172","LJM716","X.010.LJ16","best.average.response","103.3845"
"173","LJM716","X.010.LJ16","slope","88.7347"
"174","LJM716","X.010.LJ16","AUC","791.7976"
"175","LJM716","X.010.LJ16","survival","21.0000"
"176","LJM716 + trastuzumab","X.010.LJ16.trab","mRECIST","PD"
"177","LJM716 + trastuzumab","X.010.LJ16.trab","best.average.response","38.9021"
"178","LJM716 + trastuzumab","X.010.LJ16.trab","slope","87.2056"
"179","LJM716 + trastuzumab","X.010.LJ16.trab","AUC","642.3802"
"180","LJM716 + trastuzumab","X.010.LJ16.trab","survival","48.0000"
"181","LLM871","X.010.LL71","mRECIST","CR"
"182","LLM871","X.010.LL71","best.average.response","-45.8662"
"183","LLM871","X.010.LL71","slope","-77.3568"
"184","LLM871","X.010.LL71","AUC","101.4754"
"185","LLM871","X.010.LL71","survival","155.0000"
"186","trastuzumab","X.010.trab","mRECIST","PD"
"187","trastuzumab","X.010.trab","best.average.response","21.0185"
"188","trastuzumab","X.010.trab","slope","87.3317"
"189","trastuzumab","X.010.trab","AUC","644.5522"
"190","trastuzumab","X.010.trab","survival","46.0000"
"191","untreated","X.010.uned","mRECIST","SD"
"192","untreated","X.010.uned","best.average.response","19.2971"
"193","untreated","X.010.uned","slope","88.0676"
"194","untreated","X.010.uned","AUC","647.5955"
"195","untreated","X.010.uned","survival","33.0000"
"196","BGJ398","X.011.BG98","mRECIST","PD"
"197","BGJ398","X.011.BG98","best.average.response","36.3292"
"198","BGJ398","X.011.BG98","slope","86.9864"
"199","BGJ398","X.011.BG98","AUC","397.4792"
"200","BGJ398","X.011.BG98","survival","24.0000"
"201","binimetinib","X.011.biib","mRECIST","PD"
"202","binimetinib","X.011.biib","best.average.response","14.1516"
"203","binimetinib","X.011.biib","slope","82.2105"
"204","binimetinib","X.011.biib","AUC","420.0552"
"205","binimetinib","X.011.biib","survival","68.0000"
"206","BKM120","X.011.BK20","mRECIST","PD"
"207","BKM120","X.011.BK20","best.average.response","28.7060"
"208","BKM120","X.011.BK20","slope","86.8665"
"209","BKM120","X.011.BK20","AUC","723.7350"
"210","BKM120","X.011.BK20","survival","60.0000"
"211","BYL719","X.011.BY19","mRECIST","PD"
"212","BYL719","X.011.BY19","best.average.response","40.2544"
"213","BYL719","X.011.BY19","slope","86.7145"
"214","BYL719","X.011.BY19","AUC","710.8250"
"215","BYL719","X.011.BY19","survival","60.0000"
"216","BYL719 + HSP990","X.011.BY19.HS90","mRECIST","SD"
"217","BYL719 + HSP990","X.011.BY19.HS90","best.average.response","10.5431"
"218","BYL719 + HSP990","X.011.BY19.HS90","slope","82.7591"
"219","BYL719 + HSP990","X.011.BY19.HS90","AUC","457.3250"
"220","BYL719 + HSP990","X.011.BY19.HS90","survival","69.0000"
"221","BYL719 + LJM716","X.011.BY19.LJ16","mRECIST","SD"
"222","BYL719 + LJM716","X.011.BY19.LJ16","best.average.response","7.0242"
"223","BYL719 + LJM716","X.011.BY19.LJ16","slope","72.1715"
"224","BYL719 + LJM716","X.011.BY19.LJ16","AUC","263.7540"
"225","BYL719 + LJM716","X.011.BY19.LJ16","survival","25.0000"
"226","CLR457","X.011.CL57","mRECIST","SD"
"227","CLR457","X.011.CL57","best.average.response","-9.8933"
"228","CLR457","X.011.CL57","slope","-37.1034"
"229","CLR457","X.011.CL57","AUC","189.3383"
"230","CLR457","X.011.CL57","survival","30.0000"
"231","everolimus","X.011.evus","mRECIST","PD"
"232","everolimus","X.011.evus","best.average.response","20.2619"
"233","everolimus","X.011.evus","slope","81.8043"
"234","everolimus","X.011.evus","AUC","325.6724"
"235","everolimus","X.011.evus","survival","29.0000"
"236","figitumumab","X.011.fiab","mRECIST","PD"
"237","figitumumab","X.011.fiab","best.average.response","19.3266"
"238","figitumumab","X.011.fiab","slope","85.1276"
"239","figitumumab","X.011.fiab","AUC","336.1692"
"240","figitumumab","X.011.fiab","survival","26.0000"
"241","HDM201","X.011.HD01","mRECIST","PD"
"242","HDM201","X.011.HD01","best.average.response","40.7854"
"243","HDM201","X.011.HD01","slope","85.3049"
"244","HDM201","X.011.HD01","AUC","387.8096"
"245","HDM201","X.011.HD01","survival","26.0000"
"246","HSP990","X.011.HS90","mRECIST","PD"
"247","HSP990","X.011.HS90","best.average.response","86.1463"
"248","HSP990","X.011.HS90","slope","88.5651"
"249","HSP990","X.011.HS90","AUC","675.3104"
"250","HSP990","X.011.HS90","survival","24.0000"
"251","INC280","X.011.IN80","mRECIST","PD"
"252","INC280","X.011.IN80","best.average.response","34.2174"
"253","INC280","X.011.IN80","slope","86.6841"
"254","INC280","X.011.IN80","AUC","426.2133"
"255","INC280","X.011.IN80","survival","30.0000"
"256","INC280 + trastuzumab","X.011.IN80.trab","mRECIST","PD"
"257","INC280 + trastuzumab","X.011.IN80.trab","best.average.response","34.4748"
"258","INC280 + trastuzumab","X.011.IN80.trab","slope","83.8530"
"259","INC280 + trastuzumab","X.011.IN80.trab","AUC","410.6117"
"260","INC280 + trastuzumab","X.011.IN80.trab","survival","30.0000"
"261","LEE011","X.011.LE11","mRECIST","PD"
"262","LEE011","X.011.LE11","best.average.response","24.7591"
"263","LEE011","X.011.LE11","slope","84.4320"
"264","LEE011","X.011.LE11","AUC","317.0333"
"265","LEE011","X.011.LE11","survival","24.0000"
"266","LEE011 + everolimus","X.011.LE11.evus","mRECIST","PD"
"267","LEE011 + everolimus","X.011.LE11.evus","best.average.response","33.9049"
"268","LEE011 + everolimus","X.011.LE11.evus","slope","84.6232"
"269","LEE011 + everolimus","X.011.LE11.evus","AUC","440.2369"
"270","LEE011 + everolimus","X.011.LE11.evus","survival","42.0000"
"271","LJM716","X.011.LJ16","mRECIST","PD"
"272","LJM716","X.011.LJ16","best.average.response","36.6751"
"273","LJM716","X.011.LJ16","slope","87.0397"
"274","LJM716","X.011.LJ16","AUC","471.6450"
"275","LJM716","X.011.LJ16","survival","30.0000"
"276","LJM716 + trastuzumab","X.011.LJ16.trab","mRECIST","PD"
"277","LJM716 + trastuzumab","X.011.LJ16.trab","best.average.response","28.7847"
"278","LJM716 + trastuzumab","X.011.LJ16.trab","slope","86.3213"
"279","LJM716 + trastuzumab","X.011.LJ16.trab","AUC","424.0500"
"280","LJM716 + trastuzumab","X.011.LJ16.trab","survival","30.0000"
"281","LLM871","X.011.LL71","mRECIST","PD"
"282","LLM871","X.011.LL71","best.average.response","101.2924"
"283","LLM871","X.011.LL71","slope","88.8068"
"284","LLM871","X.011.LL71","AUC","811.8125"
"285","LLM871","X.011.LL71","survival","24.0000"
"286","trastuzumab","X.011.trab","mRECIST","PD"
"287","trastuzumab","X.011.trab","best.average.response","85.1692"
"288","trastuzumab","X.011.trab","slope","88.6416"
"289","trastuzumab","X.011.trab","AUC","714.7667"
"290","trastuzumab","X.011.trab","survival","24.0000"
"291","BGJ398","X.015.BG98","mRECIST","PD"
"292","BGJ398","X.015.BG98","best.average.response","31.3440"
"293","BGJ398","X.015.BG98","slope","87.7306"
"294","BGJ398","X.015.BG98","AUC","794.5760"
"295","BGJ398","X.015.BG98","survival","48.0000"
"296","binimetinib","X.015.biib","mRECIST","PR"
"297","binimetinib","X.015.biib","best.average.response","-55.6000"
"298","binimetinib","X.015.biib","slope","-67.4033"
"299","binimetinib","X.015.biib","AUC","110.4500"
"300","binimetinib","X.015.biib","survival","105.0000"
"301","BKM120","X.015.BK20","mRECIST","PD"
"302","BKM120","X.015.BK20","best.average.response","11.9272"
"303","BKM120","X.015.BK20","slope","86.4010"
"304","BKM120","X.015.BK20","AUC","633.7038"
"305","BKM120","X.015.BK20","survival","52.0000"
"306","BYL719","X.015.BY19","mRECIST","SD"
"307","BYL719","X.015.BY19","best.average.response","7.3829"
"308","BYL719","X.015.BY19","slope","78.1308"
"309","BYL719","X.015.BY19","AUC","340.2078"
"310","BYL719","X.015.BY19","survival","67.0000"
"311","BYL719 + HSP990","X.015.BY19.HS90","mRECIST","PD"
"312","BYL719 + HSP990","X.015.BY19.HS90","best.average.response","31.4161"
"313","BYL719 + HSP990","X.015.BY19.HS90","slope","82.6427"
"314","BYL719 + HSP990","X.015.BY19.HS90","AUC","456.4223"
"315","BYL719 + HSP990","X.015.BY19.HS90","survival","61.0000"
"316","BYL719 + LJM716","X.015.BY19.LJ16","mRECIST","CR"
"317","BYL719 + LJM716","X.015.BY19.LJ16","best.average.response","-45.9233"
"318","BYL719 + LJM716","X.015.BY19.LJ16","slope","-80.0731"
"319","BYL719 + LJM716","X.015.BY19.LJ16","AUC","118.4000"
"320","BYL719 + LJM716","X.015.BY19.LJ16","survival","136.0000"
"321","CLR457","X.015.CL57","mRECIST","SD"
"322","CLR457","X.015.CL57","best.average.response","2.4930"
"323","CLR457","X.015.CL57","slope","84.6641"
"324","CLR457","X.015.CL57","AUC","401.0646"
"325","CLR457","X.015.CL57","survival","41.0000"
"326","everolimus","X.015.evus","mRECIST","PD"
"327","everolimus","X.015.evus","best.average.response","28.0921"
"328","everolimus","X.015.evus","slope","85.6379"
"329","everolimus","X.015.evus","AUC","632.7510"
"330","everolimus","X.015.evus","survival","52.0000"
"331","figitumumab","X.015.fiab","mRECIST","SD"
"332","figitumumab","X.015.fiab","best.average.response","-22.7231"
"333","figitumumab","X.015.fiab","slope","83.1849"
"334","figitumumab","X.015.fiab","AUC","462.3017"
"335","figitumumab","X.015.fiab","survival","75.0000"
"336","HDM201","X.015.HD01","mRECIST",NA
"337","HDM201","X.015.HD01","best.average.response","NA"
"338","HDM201","X.015.HD01","slope","89.0398"
"339","HDM201","X.015.HD01","AUC","644.2417"
"340","HDM201","X.015.HD01","survival","12.0000"
"341","HSP990","X.015.HS90","mRECIST","PD"
"342","HSP990","X.015.HS90","best.average.response","25.1388"
"343","HSP990","X.015.HS90","slope","86.7147"
"344","HSP990","X.015.HS90","AUC","740.5686"
"345","HSP990","X.015.HS90","survival","63.0000"
"346","INC280","X.015.IN80","mRECIST","PD"
"347","INC280","X.015.IN80","best.average.response","97.7375"
"348","INC280","X.015.IN80","slope","88.0171"
"349","INC280","X.015.IN80","AUC","652.3629"
"350","INC280","X.015.IN80","survival","31.0000"
"351","INC280 + trastuzumab","X.015.IN80.trab","mRECIST","PD"
"352","INC280 + trastuzumab","X.015.IN80.trab","best.average.response","71.8077"
"353","INC280 + trastuzumab","X.015.IN80.trab","slope","88.3336"
"354","INC280 + trastuzumab","X.015.IN80.trab","AUC","701.5806"
"355","INC280 + trastuzumab","X.015.IN80.trab","survival","31.0000"
"356","LEE011","X.015.LE11","mRECIST","PD"
"357","LEE011","X.015.LE11","best.average.response","26.9624"
"358","LEE011","X.015.LE11","slope","85.8538"
"359","LEE011","X.015.LE11","AUC","682.7932"
"360","LEE011","X.015.LE11","survival","63.0000"
"361","LEE011 + everolimus","X.015.LE11.evus","mRECIST","SD"
"362","LEE011 + everolimus","X.015.LE11.evus","best.average.response","24.1469"
"363","LEE011 + everolimus","X.015.LE11.evus","slope","75.3428"
"364","LEE011 + everolimus","X.015.LE11.evus","AUC","285.4617"
"365","LEE011 + everolimus","X.015.LE11.evus","survival","30.0000"
"366","LJM716","X.015.LJ16","mRECIST","PD"
"367","LJM716","X.015.LJ16","best.average.response","34.3194"
"368","LJM716","X.015.LJ16","slope","87.2890"
"369","LJM716","X.015.LJ16","AUC","485.2222"
"370","LJM716","X.015.LJ16","survival","27.0000"
"371","LJM716 + trastuzumab","X.015.LJ16.trab","mRECIST","SD"
"372","LJM716 + trastuzumab","X.015.LJ16.trab","best.average.response","2.0049"
"373","LJM716 + trastuzumab","X.015.LJ16.trab","slope","84.9058"
"374","LJM716 + trastuzumab","X.015.LJ16.trab","AUC","349.2611"
"375","LJM716 + trastuzumab","X.015.LJ16.trab","survival","27.0000"
"376","LLM871","X.015.LL71","mRECIST","PD"
"377","LLM871","X.015.LL71","best.average.response","31.9175"
"378","LLM871","X.015.LL71","slope","87.0091"
"379","LLM871","X.015.LL71","AUC","610.9488"
"380","LLM871","X.015.LL71","survival","42.0000"
"381","trastuzumab","X.015.trab","mRECIST","SD"
"382","trastuzumab","X.015.trab","best.average.response","1.5823"
"383","trastuzumab","X.015.trab","slope","84.4536"
"384","trastuzumab","X.015.trab","AUC","501.6975"
"385","trastuzumab","X.015.trab","survival","94.0000"
"386","untreated","X.015.uned","mRECIST","PD"
"387","untreated","X.015.uned","best.average.response","24.3700"
"388","untreated","X.015.uned","slope","86.1230"
"389","untreated","X.015.uned","AUC","612.9593"
"390","untreated","X.015.uned","survival","71.0000"
"391","BGJ398","X.017.BG98","mRECIST","SD"
"392","BGJ398","X.017.BG98","best.average.response","-16.5256"
"393","BGJ398","X.017.BG98","slope","66.2965"
"394","BGJ398","X.017.BG98","AUC","281.4233"
"395","BGJ398","X.017.BG98","survival","177.0000"
"396","binimetinib","X.017.biib","mRECIST","SD"
"397","binimetinib","X.017.biib","best.average.response","9.8263"
"398","binimetinib","X.017.biib","slope","79.4195"
"399","binimetinib","X.017.biib","AUC","376.0652"
"400","binimetinib","X.017.biib","survival","61.0000"
"401","BKM120","X.017.BK20","mRECIST","PD"
"402","BKM120","X.017.BK20","best.average.response","15.2348"
"403","BKM120","X.017.BK20","slope","78.3437"
"404","BKM120","X.017.BK20","AUC","356.3364"
"405","BKM120","X.017.BK20","survival","111.0000"
"406","BYL719","X.017.BY19","mRECIST","SD"
"407","BYL719","X.017.BY19","best.average.response","2.2457"
"408","BYL719","X.017.BY19","slope","57.4611"
"409","BYL719","X.017.BY19","AUC","242.9466"
"410","BYL719","X.017.BY19","survival","125.0000"
"411","BYL719 + HSP990","X.017.BY19.HS90","mRECIST","SD"
"412","BYL719 + HSP990","X.017.BY19.HS90","best.average.response","-12.3010"
"413","BYL719 + HSP990","X.017.BY19.HS90","slope","72.4933"
"414","BYL719 + HSP990","X.017.BY19.HS90","AUC","303.4144"
"415","BYL719 + HSP990","X.017.BY19.HS90","survival","97.0000"
"416","BYL719 + LJM716","X.017.BY19.LJ16","mRECIST","SD"
"417","BYL719 + LJM716","X.017.BY19.LJ16","best.average.response","-5.4109"
"418","BYL719 + LJM716","X.017.BY19.LJ16","slope","48.0480"
"419","BYL719 + LJM716","X.017.BY19.LJ16","AUC","253.4195"
"420","BYL719 + LJM716","X.017.BY19.LJ16","survival","87.0000"
"421","CLR457","X.017.CL57","mRECIST","SD"
"422","CLR457","X.017.CL57","best.average.response","0.7794"
"423","CLR457","X.017.CL57","slope","74.1822"
"424","CLR457","X.017.CL57","AUC","330.8580"
"425","CLR457","X.017.CL57","survival","102.0000"
"426","everolimus","X.017.evus","mRECIST","SD"
"427","everolimus","X.017.evus","best.average.response","9.5291"
"428","everolimus","X.017.evus","slope","75.3795"
"429","everolimus","X.017.evus","AUC","329.3703"
"430","everolimus","X.017.evus","survival","141.0000"
"431","figitumumab","X.017.fiab","mRECIST","PD"
"432","figitumumab","X.017.fiab","best.average.response","25.7450"
"433","figitumumab","X.017.fiab","slope","81.2574"
"434","figitumumab","X.017.fiab","AUC","426.1379"
"435","figitumumab","X.017.fiab","survival","119.0000"
"436","HDM201","X.017.HD01","mRECIST","PD"
"437","HDM201","X.017.HD01","best.average.response","20.6380"
"438","HDM201","X.017.HD01","slope","71.0755"
"439","HDM201","X.017.HD01","AUC","305.6621"
"440","HDM201","X.017.HD01","survival","105.0000"
"441","HSP990","X.017.HS90","mRECIST","PD"
"442","HSP990","X.017.HS90","best.average.response","104.3287"
"443","HSP990","X.017.HS90","slope","88.5981"
"444","HSP990","X.017.HS90","AUC","941.6088"
"445","HSP990","X.017.HS90","survival","34.0000"
"446","INC280","X.017.IN80","mRECIST","SD"
"447","INC280","X.017.IN80","best.average.response","1.4066"
"448","INC280","X.017.IN80","slope","80.8203"
"449","INC280","X.017.IN80","AUC","396.3205"
"450","INC280","X.017.IN80","survival","75.0000"
"451","INC280 + trastuzumab","X.017.IN80.trab","mRECIST","PD"
"452","INC280 + trastuzumab","X.017.IN80.trab","best.average.response","52.2573"
"453","INC280 + trastuzumab","X.017.IN80.trab","slope","86.1172"
"454","INC280 + trastuzumab","X.017.IN80.trab","AUC","469.3000"
"455","INC280 + trastuzumab","X.017.IN80.trab","survival","32.0000"
"456","LEE011","X.017.LE11","mRECIST","SD"
"457","LEE011","X.017.LE11","best.average.response","11.2531"
"458","LEE011","X.017.LE11","slope","80.3524"
"459","LEE011","X.017.LE11","AUC","362.0198"
"460","LEE011","X.017.LE11","survival","105.0000"
"461","LJM716","X.017.LJ16","mRECIST","PD"
"462","LJM716","X.017.LJ16","best.average.response","73.2331"
"463","LJM716","X.017.LJ16","slope","85.8874"
"464","LJM716","X.017.LJ16","AUC","547.6321"
"465","LJM716","X.017.LJ16","survival","42.0000"
"466","LJM716 + trastuzumab","X.017.LJ16.trab","mRECIST","PD"
"467","LJM716 + trastuzumab","X.017.LJ16.trab","best.average.response","38.6372"
"468","LJM716 + trastuzumab","X.017.LJ16.trab","slope","85.3428"
"469","LJM716 + trastuzumab","X.017.LJ16.trab","AUC","424.2815"
"470","LJM716 + trastuzumab","X.017.LJ16.trab","survival","27.0000"
"471","LLM871","X.017.LL71","mRECIST","SD"
"472","LLM871","X.017.LL71","best.average.response","12.1951"
"473","LLM871","X.017.LL71","slope","67.3870"
"474","LLM871","X.017.LL71","AUC","310.5227"
"475","LLM871","X.017.LL71","survival","196.0000"
"476","trastuzumab","X.017.trab","mRECIST","PD"
"477","trastuzumab","X.017.trab","best.average.response","74.4740"
"478","trastuzumab","X.017.trab","slope","88.9001"
"479","trastuzumab","X.017.trab","AUC","795.8450"
"480","trastuzumab","X.017.trab","survival","20.0000"
"481","untreated","X.017.uned","mRECIST","SD"
"482","untreated","X.017.uned","best.average.response","12.7013"
"483","untreated","X.017.uned","slope","80.5152"
"484","untreated","X.017.uned","AUC","711.1245"
"485","untreated","X.017.uned","survival","130.0000"
"486","BGJ398","X.020.BG98","mRECIST","PD"
"487","BGJ398","X.020.BG98","best.average.response","35.8765"
"488","BGJ398","X.020.BG98","slope","87.6700"
