"","batch.id","model.id","type"
"39","X-010.HDM201","X.010.HD01","treatment"
"40","X-010.HSP990","X.010.uned","control"
"41","X-010.HSP990","X.010.HS90","treatment"
"42","X-010.INC280","X.010.uned","control"
"43","X-010.INC280","X.010.IN80","treatment"
"44","X-010.INC280 + trastuzumab","X.010.uned","control"
"45","X-010.INC280 + trastuzumab","X.010.IN80.trab","treatment"
"46","X-010.LEE011","X.010.uned","control"
"47","X-010.LEE011","X.010.LE11","treatment"
"48","X-010.LEE011 + everolimus","X.010.uned","control"
"49","X-010.LEE011 + everolimus","X.010.LE11.evus","treatment"
"50","X-010.LJM716","X.010.uned","control"
"51","X-010.LJM716","X.010.LJ16","treatment"
"52","X-010.LJM716 + trastuzumab","X.010.uned","control"
"53","X-010.LJM716 + trastuzumab","X.010.LJ16.trab","treatment"
"54","X-010.LLM871","X.010.uned","control"
"55","X-010.LLM871","X.010.LL71","treatment"
"56","X-010.trastuzumab","X.010.uned","control"
"57","X-010.trastuzumab","X.010.trab","treatment"
"58","X-011.BGJ398","X.011.BG98","treatment"
"59","X-011.binimetinib","X.011.biib","treatment"
"60","X-011.BKM120","X.011.BK20","treatment"
"61","X-011.BYL719","X.011.BY19","treatment"
"62","X-011.BYL719 + HSP990","X.011.BY19.HS90","treatment"
"63","X-011.BYL719 + LJM716","X.011.BY19.LJ16","treatment"
"64","X-011.CLR457","X.011.CL57","treatment"
"65","X-011.everolimus","X.011.evus","treatment"
"66","X-011.figitumumab","X.011.fiab","treatment"
"67","X-011.HDM201","X.011.HD01","treatment"
"68","X-011.HSP990","X.011.HS90","treatment"
"69","X-011.INC280","X.011.IN80","treatment"
"70","X-011.INC280 + trastuzumab","X.011.IN80.trab","treatment"
"71","X-011.LEE011","X.011.LE11","treatment"
"72","X-011.LEE011 + everolimus","X.011.LE11.evus","treatment"
"73","X-011.LJM716","X.011.LJ16","treatment"
"74","X-011.LJM716 + trastuzumab","X.011.LJ16.trab","treatment"
"75","X-011.LLM871","X.011.LL71","treatment"
"76","X-011.trastuzumab","X.011.trab","treatment"
"77","X-015.BGJ398","X.015.uned","control"
"78","X-015.BGJ398","X.015.BG98","treatment"
"79","X-015.binimetinib","X.015.uned","control"
"80","X-015.binimetinib","X.015.biib","treatment"
"81","X-015.BKM120","X.015.uned","control"
"82","X-015.BKM120","X.015.BK20","treatment"
"83","X-015.BYL719","X.015.uned","control"
"84","X-015.BYL719","X.015.BY19","treatment"
"85","X-015.BYL719 + HSP990","X.015.uned","control"
"86","X-015.BYL719 + HSP990","X.015.BY19.HS90","treatment"
"87","X-015.BYL719 + LJM716","X.015.uned","control"
"88","X-015.BYL719 + LJM716","X.015.BY19.LJ16","treatment"
"89","X-015.CLR457","X.015.uned","control"
"90","X-015.CLR457","X.015.CL57","treatment"
"91","X-015.everolimus","X.015.uned","control"
"92","X-015.everolimus","X.015.evus","treatment"
"93","X-015.figitumumab","X.015.uned","control"
"94","X-015.figitumumab","X.015.fiab","treatment"
"95","X-015.HDM201","X.015.uned","control"
"96","X-015.HDM201","X.015.HD01","treatment"
"97","X-015.HSP990","X.015.uned","control"
"98","X-015.HSP990","X.015.HS90","treatment"
"99","X-015.INC280","X.015.uned","control"
"100","X-015.INC280","X.015.IN80","treatment"
"101","X-015.INC280 + trastuzumab","X.015.uned","control"
"102","X-015.INC280 + trastuzumab","X.015.IN80.trab","treatment"
"103","X-015.LEE011","X.015.uned","control"
"104","X-015.LEE011","X.015.LE11","treatment"
"105","X-015.LEE011 + everolimus","X.015.uned","control"
"106","X-015.LEE011 + everolimus","X.015.LE11.evus","treatment"
"107","X-015.LJM716","X.015.uned","control"
"108","X-015.LJM716","X.015.LJ16","treatment"
"109","X-015.LJM716 + trastuzumab","X.015.uned","control"
"110","X-015.LJM716 + trastuzumab","X.015.LJ16.trab","treatment"
"111","X-015.LLM871","X.015.uned","control"
"112","X-015.LLM871","X.015.LL71","treatment"
"113","X-015.trastuzumab","X.015.uned","control"
"114","X-015.trastuzumab","X.015.trab","treatment"
"115","X-017.BGJ398","X.017.uned","control"
"116","X-017.BGJ398","X.017.BG98","treatment"
"117","X-017.binimetinib","X.017.uned","control"
"118","X-017.binimetinib","X.017.biib","treatment"
"119","X-017.BKM120","X.017.uned","control"
"120","X-017.BKM120","X.017.BK20","treatment"
"121","X-017.BYL719","X.017.uned","control"
"122","X-017.BYL719","X.017.BY19","treatment"
"123","X-017.BYL719 + HSP990","X.017.uned","control"
"124","X-017.BYL719 + HSP990","X.017.BY19.HS90","treatment"
"125","X-017.BYL719 + LJM716","X.017.uned","control"
"126","X-017.BYL719 + LJM716","X.017.BY19.LJ16","treatment"
"127","X-017.CLR457","X.017.uned","control"
"128","X-017.CLR457","X.017.CL57","treatment"
"129","X-017.everolimus","X.017.uned","control"
"130","X-017.everolimus","X.017.evus","treatment"
"131","X-017.figitumumab","X.017.uned","control"
"132","X-017.figitumumab","X.017.fiab","treatment"
"133","X-017.HDM201","X.017.uned","control"
"134","X-017.HDM201","X.017.HD01","treatment"
"135","X-017.HSP990","X.017.uned","control"
"136","X-017.HSP990","X.017.HS90","treatment"
"137","X-017.INC280","X.017.uned","control"
"138","X-017.INC280","X.017.IN80","treatment"
"139","X-017.INC280 + trastuzumab","X.017.uned","control"
"140","X-017.INC280 + trastuzumab","X.017.IN80.trab","treatment"
"141","X-017.LEE011","X.017.uned","control"
"142","X-017.LEE011","X.017.LE11","treatment"
"143","X-017.LJM716","X.017.uned","control"
"144","X-017.LJM716","X.017.LJ16","treatment"
"145","X-017.LJM716 + trastuzumab","X.017.uned","control"
"146","X-017.LJM716 + trastuzumab","X.017.LJ16.trab","treatment"
"147","X-017.LLM871","X.017.uned","control"
"148","X-017.LLM871","X.017.LL71","treatment"
"149","X-017.trastuzumab","X.017.uned","control"
"150","X-017.trastuzumab","X.017.trab","treatment"
"151","X-020.BGJ398","X.020.uned","control"
"152","X-020.BGJ398","X.020.BG98","treatment"
"153","X-020.binimetinib","X.020.uned","control"
"154","X-020.binimetinib","X.020.biib","treatment"
"155","X-020.BKM120","X.020.uned","control"
"156","X-020.BKM120","X.020.BK20","treatment"
"157","X-020.BYL719","X.020.uned","control"
"158","X-020.BYL719","X.020.BY19","treatment"
"159","X-020.BYL719 + HSP990","X.020.uned","control"
"160","X-020.BYL719 + HSP990","X.020.BY19.HS90","treatment"
"161","X-020.BYL719 + LJM716","X.020.uned","control"
"162","X-020.BYL719 + LJM716","X.020.BY19.LJ16","treatment"
"163","X-020.CLR457","X.020.uned","control"
"164","X-020.CLR457","X.020.CL57","treatment"
"165","X-020.everolimus","X.020.uned","control"
"166","X-020.everolimus","X.020.evus","treatment"
"167","X-020.figitumumab","X.020.uned","control"
"168","X-020.figitumumab","X.020.fiab","treatment"
"169","X-020.HDM201","X.020.uned","control"
"170","X-020.HDM201","X.020.HD01","treatment"
"171","X-020.HSP990","X.020.uned","control"
"172","X-020.HSP990","X.020.HS90","treatment"
"173","X-020.INC280","X.020.uned","control"
"174","X-020.INC280","X.020.IN80","treatment"
"175","X-020.INC280 + trastuzumab","X.020.uned","control"
"176","X-020.INC280 + trastuzumab","X.020.IN80.trab","treatment"
"177","X-020.LEE011","X.020.uned","control"
"178","X-020.LEE011","X.020.LE11","treatment"
"179","X-020.LEE011 + everolimus","X.020.uned","control"
"180","X-020.LEE011 + everolimus","X.020.LE11.evus","treatment"
"181","X-020.LJM716","X.020.uned","control"
"182","X-020.LJM716","X.020.LJ16","treatment"
"183","X-020.LJM716 + trastuzumab","X.020.uned","control"
"184","X-020.LJM716 + trastuzumab","X.020.LJ16.trab","treatment"
"185","X-020.LLM871","X.020.uned","control"
"186","X-020.LLM871","X.020.LL71","treatment"
"187","X-020.trastuzumab","X.020.uned","control"
"188","X-020.trastuzumab","X.020.trab","treatment"
"189","X-023.BYL719","X.023.uned","control"
"190","X-023.BYL719","X.023.BY19","treatment"
"191","X-023.BYL719 + HSP990","X.023.uned","control"
"192","X-023.BYL719 + HSP990","X.023.BY19.HS90","treatment"
"193","X-023.BYL719 + LJM716","X.023.uned","control"
"194","X-023.BYL719 + LJM716","X.023.BY19.LJ16","treatment"
"195","X-023.everolimus","X.023.uned","control"
"196","X-023.everolimus","X.023.evus","treatment"
"197","X-023.HSP990","X.023.uned","control"
"198","X-023.HSP990","X.023.HS90","treatment"
"199","X-023.LEE011","X.023.uned","control"
"200","X-023.LEE011","X.023.LE11","treatment"
"201","X-023.LEE011 + everolimus","X.023.uned","control"
"202","X-023.LEE011 + everolimus","X.023.LE11.evus","treatment"
"203","X-023.LJM716","X.023.uned","control"
"204","X-023.LJM716","X.023.LJ16","treatment"
"205","X-024.BYL719","X.024.uned","control"
"206","X-024.BYL719","X.024.BY19","treatment"
"207","X-024.BYL719 + HSP990","X.024.uned","control"
"208","X-024.BYL719 + HSP990","X.024.BY19.HS90","treatment"
"209","X-024.BYL719 + LJM716","X.024.uned","control"
"210","X-024.BYL719 + LJM716","X.024.BY19.LJ16","treatment"
"211","X-024.everolimus","X.024.uned","control"
"212","X-024.everolimus","X.024.evus","treatment"
"213","X-024.HSP990","X.024.uned","control"
"214","X-024.HSP990","X.024.HS90","treatment"
"215","X-024.LEE011","X.024.uned","control"
"216","X-024.LEE011","X.024.LE11","treatment"
"217","X-024.LEE011 + everolimus","X.024.uned","control"
"218","X-024.LEE011 + everolimus","X.024.LE11.evus","treatment"
"219","X-024.LJM716","X.024.uned","control"
"220","X-024.LJM716","X.024.LJ16","treatment"
"221","X-025.BGJ398","X.025.uned","control"
"222","X-025.BGJ398","X.025.BG98","treatment"
"223","X-025.binimetinib","X.025.uned","control"
"224","X-025.binimetinib","X.025.biib","treatment"
"225","X-025.BKM120","X.025.uned","control"
"226","X-025.BKM120","X.025.BK20","treatment"
"227","X-025.BYL719","X.025.uned","control"
"228","X-025.BYL719","X.025.BY19","treatment"
"229","X-025.BYL719 + HSP990","X.025.uned","control"
"230","X-025.BYL719 + HSP990","X.025.BY19.HS90","treatment"
"231","X-025.BYL719 + LJM716","X.025.uned","control"
"232","X-025.BYL719 + LJM716","X.025.BY19.LJ16","treatment"
"233","X-025.CLR457","X.025.uned","control"
"234","X-025.CLR457","X.025.CL57","treatment"
"235","X-025.everolimus","X.025.uned","control"
"236","X-025.everolimus","X.025.evus","treatment"
"237","X-025.figitumumab","X.025.uned","control"
"238","X-025.figitumumab","X.025.fiab","treatment"
"239","X-025.HDM201","X.025.uned","control"
"240","X-025.HDM201","X.025.HD01","treatment"
"241","X-025.HSP990","X.025.uned","control"
"242","X-025.HSP990","X.025.HS90","treatment"
"243","X-025.INC280","X.025.uned","control"
"244","X-025.INC280","X.025.IN80","treatment"
"245","X-025.INC280 + trastuzumab","X.025.uned","control"
"246","X-025.INC280 + trastuzumab","X.025.IN80.trab","treatment"
"247","X-025.LEE011","X.025.uned","control"
"248","X-025.LEE011","X.025.LE11","treatment"
"249","X-025.LEE011 + everolimus","X.025.uned","control"
"250","X-025.LEE011 + everolimus","X.025.LE11.evus","treatment"
"251","X-025.LJM716","X.025.uned","control"
"252","X-025.LJM716","X.025.LJ16","treatment"
"253","X-025.LJM716 + trastuzumab","X.025.uned","control"
"254","X-025.LJM716 + trastuzumab","X.025.LJ16.trab","treatment"
"255","X-025.trastuzumab","X.025.uned","control"
"256","X-025.trastuzumab","X.025.trab","treatment"
"257","X-027.BKM120","X.027.BK20","treatment"
"258","X-027.BYL719","X.027.BY19","treatment"
"259","X-027.BYL719 + HSP990","X.027.BY19.HS90","treatment"
"260","X-027.CLR457","X.027.CL57","treatment"
"261","X-027.figitumumab","X.027.fiab","treatment"
"262","X-027.HDM201","X.027.HD01","treatment"
"263","X-027.LEE011","X.027.LE11","treatment"
"264","X-027.LJM716","X.027.LJ16","treatment"
"265","X-027.LLM871","X.027.LL71","treatment"
"266","X-027.trastuzumab","X.027.trab","treatment"
"267","X-028.BGJ398","X.028.BG98","treatment"
"268","X-028.binimetinib","X.028.biib","treatment"
"269","X-028.BKM120","X.028.BK20","treatment"
"270","X-028.BYL719","X.028.BY19","treatment"
"271","X-028.BYL719 + HSP990","X.028.BY19.HS90","treatment"
"272","X-028.BYL719 + LJM716","X.028.BY19.LJ16","treatment"
"273","X-028.CLR457","X.028.CL57","treatment"
"274","X-028.everolimus","X.028.evus","treatment"
"275","X-028.figitumumab","X.028.fiab","treatment"
"276","X-028.HDM201","X.028.HD01","treatment"
"277","X-028.HSP990","X.028.HS90","treatment"
"278","X-028.INC280","X.028.IN80","treatment"
"279","X-028.INC280 + trastuzumab","X.028.IN80.trab","treatment"
"280","X-028.LEE011","X.028.LE11","treatment"
"281","X-028.LEE011 + everolimus","X.028.LE11.evus","treatment"
"282","X-028.LJM716","X.028.LJ16","treatment"
"283","X-028.LJM716 + trastuzumab","X.028.LJ16.trab","treatment"
"284","X-028.LLM871","X.028.LL71","treatment"
"285","X-028.trastuzumab","X.028.trab","treatment"
"286","X-029.BGJ398","X.029.BG98","treatment"
"287","X-029.binimetinib","X.029.biib","treatment"
"288","X-029.BKM120","X.029.BK20","treatment"
"289","X-029.BYL719","X.029.BY19","treatment"
"290","X-029.BYL719 + HSP990","X.029.BY19.HS90","treatment"
"291","X-029.BYL719 + LJM716","X.029.BY19.LJ16","treatment"
"292","X-029.CLR457","X.029.CL57","treatment"
"293","X-029.everolimus","X.029.evus","treatment"
"294","X-029.figitumumab","X.029.fiab","treatment"
"295","X-029.HDM201","X.029.HD01","treatment"
"296","X-029.HSP990","X.029.HS90","treatment"
"297","X-029.INC280","X.029.IN80","treatment"
"298","X-029.INC280 + trastuzumab","X.029.IN80.trab","treatment"
"299","X-029.LEE011","X.029.LE11","treatment"
"300","X-029.LJM716 + trastuzumab","X.029.LJ16.trab","treatment"
"301","X-029.LLM871","X.029.LL71","treatment"
"302","X-029.trastuzumab","X.029.trab","treatment"
"303","X-031.BGJ398","X.031.uned","control"
"304","X-031.BGJ398","X.031.BG98","treatment"
"305","X-031.binimetinib","X.031.uned","control"
"306","X-031.binimetinib","X.031.biib","treatment"
"307","X-031.BKM120","X.031.uned","control"
"308","X-031.BKM120","X.031.BK20","treatment"
"309","X-031.BYL719","X.031.uned","control"
"310","X-031.BYL719","X.031.BY19","treatment"
"311","X-031.BYL719 + HSP990","X.031.uned","control"
"312","X-031.BYL719 + HSP990","X.031.BY19.HS90","treatment"
"313","X-031.CLR457","X.031.uned","control"
"314","X-031.CLR457","X.031.CL57","treatment"
"315","X-031.everolimus","X.031.uned","control"
"316","X-031.everolimus","X.031.evus","treatment"
"317","X-031.figitumumab","X.031.uned","control"
"318","X-031.figitumumab","X.031.fiab","treatment"
"319","X-031.HDM201","X.031.uned","control"
"320","X-031.HDM201","X.031.HD01","treatment"
"321","X-031.HSP990","X.031.uned","control"
"322","X-031.HSP990","X.031.HS90","treatment"
"323","X-031.INC280","X.031.uned","control"
"324","X-031.INC280","X.031.IN80","treatment"
"325","X-031.INC280 + trastuzumab","X.031.uned","control"
"326","X-031.INC280 + trastuzumab","X.031.IN80.trab","treatment"
"327","X-031.LEE011","X.031.uned","control"
"328","X-031.LEE011","X.031.LE11","treatment"
"329","X-031.LEE011 + everolimus","X.031.uned","control"
"330","X-031.LEE011 + everolimus","X.031.LE11.evus","treatment"
"331","X-031.LJM716","X.031.uned","control"
"332","X-031.LJM716","X.031.LJ16","treatment"
"333","X-031.LJM716 + trastuzumab","X.031.uned","control"
"334","X-031.LJM716 + trastuzumab","X.031.LJ16.trab","treatment"
"335","X-031.LLM871","X.031.uned","control"
"336","X-031.LLM871","X.031.LL71","treatment"
"337","X-031.trastuzumab","X.031.uned","control"
"338","X-031.trastuzumab","X.031.trab","treatment"
"339","X-034.BGJ398","X.034.BG98","treatment"
"340","X-034.binimetinib","X.034.biib","treatment"
"341","X-034.BKM120","X.034.BK20","treatment"
"342","X-034.BYL719","X.034.BY19","treatment"
"343","X-034.BYL719 + HSP990","X.034.BY19.HS90","treatment"
"344","X-034.BYL719 + LJM716","X.034.BY19.LJ16","treatment"
"345","X-034.CLR457","X.034.CL57","treatment"
"346","X-034.everolimus","X.034.evus","treatment"
"347","X-034.figitumumab","X.034.fiab","treatment"
"348","X-034.HDM201","X.034.HD01","treatment"
"349","X-034.HSP990","X.034.HS90","treatment"
"350","X-034.INC280","X.034.IN80","treatment"
"351","X-034.INC280 + trastuzumab","X.034.IN80.trab","treatment"
"352","X-034.LEE011","X.034.LE11","treatment"
"353","X-034.LEE011 + everolimus","X.034.LE11.evus","treatment"
"354","X-034.LJM716","X.034.LJ16","treatment"
"355","X-034.LJM716 + trastuzumab","X.034.LJ16.trab","treatment"
"356","X-034.LLM871","X.034.LL71","treatment"
"357","X-034.trastuzumab","X.034.trab","treatment"
"358","X-035.BGJ398","X.035.BG98","treatment"
"359","X-035.binimetinib","X.035.biib","treatment"
"360","X-035.BKM120","X.035.BK20","treatment"
"361","X-035.BYL719","X.035.BY19","treatment"
"362","X-035.BYL719 + HSP990","X.035.BY19.HS90","treatment"
"363","X-035.BYL719 + LJM716","X.035.BY19.LJ16","treatment"
"364","X-035.everolimus","X.035.evus","treatment"
"365","X-035.figitumumab","X.035.fiab","treatment"
"366","X-035.HDM201","X.035.HD01","treatment"
"367","X-035.HSP990","X.035.HS90","treatment"
"368","X-035.INC280 + trastuzumab","X.035.IN80.trab","treatment"
"369","X-035.LEE011","X.035.LE11","treatment"
"370","X-035.LEE011 + everolimus","X.035.LE11.evus","treatment"
"371","X-035.LJM716","X.035.LJ16","treatment"
"372","X-035.LJM716 + trastuzumab","X.035.LJ16.trab","treatment"
"373","X-035.LLM871","X.035.LL71","treatment"
"374","X-035.trastuzumab","X.035.trab","treatment"
"375","X-037.BGJ398","X.037.uned","control"
"376","X-037.BGJ398","X.037.BG98","treatment"
"377","X-037.binimetinib","X.037.uned","control"
"378","X-037.binimetinib","X.037.biib","treatment"
"379","X-037.BKM120","X.037.uned","control"
"380","X-037.BKM120","X.037.BK20","treatment"
"381","X-037.BYL719","X.037.uned","control"
"382","X-037.BYL719","X.037.BY19","treatment"
"383","X-037.BYL719 + HSP990","X.037.uned","control"
"384","X-037.BYL719 + HSP990","X.037.BY19.HS90","treatment"
"385","X-037.CLR457","X.037.uned","control"
"386","X-037.CLR457","X.037.CL57","treatment"
"387","X-037.everolimus","X.037.uned","control"
"388","X-037.everolimus","X.037.evus","treatment"
"389","X-037.figitumumab","X.037.uned","control"
"390","X-037.figitumumab","X.037.fiab","treatment"
"391","X-037.HDM201","X.037.uned","control"
"392","X-037.HDM201","X.037.HD01","treatment"
"393","X-037.HSP990","X.037.uned","control"
"394","X-037.HSP990","X.037.HS90","treatment"
"395","X-037.INC280","X.037.uned","control"
"396","X-037.INC280","X.037.IN80","treatment"
"397","X-037.INC280 + trastuzumab","X.037.uned","control"
"398","X-037.INC280 + trastuzumab","X.037.IN80.trab","treatment"
"399","X-037.LEE011","X.037.uned","control"
"400","X-037.LEE011","X.037.LE11","treatment"
"401","X-037.LEE011 + everolimus","X.037.uned","control"
"402","X-037.LEE011 + everolimus","X.037.LE11.evus","treatment"
"403","X-037.LJM716","X.037.uned","control"
"404","X-037.LJM716","X.037.LJ16","treatment"
"405","X-037.LJM716 + trastuzumab","X.037.uned","control"
"406","X-037.LJM716 + trastuzumab","X.037.LJ16.trab","treatment"
"407","X-037.LLM871","X.037.uned","control"
"408","X-037.LLM871","X.037.LL71","treatment"
"409","X-037.trastuzumab","X.037.uned","control"
"410","X-037.trastuzumab","X.037.trab","treatment"
"411","X-038.BGJ398","X.038.uned","control"
"412","X-038.BGJ398","X.038.BG98","treatment"
"413","X-038.binimetinib","X.038.uned","control"
"414","X-038.binimetinib","X.038.biib","treatment"
"415","X-038.BKM120","X.038.uned","control"
"416","X-038.BKM120","X.038.BK20","treatment"
"417","X-038.BYL719","X.038.uned","control"
"418","X-038.BYL719","X.038.BY19","treatment"
"419","X-038.BYL719 + HSP990","X.038.uned","control"
"420","X-038.BYL719 + HSP990","X.038.BY19.HS90","treatment"
"421","X-038.BYL719 + LJM716","X.038.uned","control"
"422","X-038.BYL719 + LJM716","X.038.BY19.LJ16","treatment"
"423","X-038.CLR457","X.038.uned","control"
"424","X-038.CLR457","X.038.CL57","treatment"
"425","X-038.everolimus","X.038.uned","control"
"426","X-038.everolimus","X.038.evus","treatment"
"427","X-038.figitumumab","X.038.uned","control"
"428","X-038.figitumumab","X.038.fiab","treatment"
"429","X-038.HDM201","X.038.uned","control"
"430","X-038.HDM201","X.038.HD01","treatment"
"431","X-038.HSP990","X.038.uned","control"
"432","X-038.HSP990","X.038.HS90","treatment"
"433","X-038.INC280","X.038.uned","control"
"434","X-038.INC280","X.038.IN80","treatment"
"435","X-038.INC280 + trastuzumab","X.038.uned","control"
"436","X-038.INC280 + trastuzumab","X.038.IN80.trab","treatment"
"437","X-038.LEE011","X.038.uned","control"
"438","X-038.LEE011","X.038.LE11","treatment"
"439","X-038.LEE011 + everolimus","X.038.uned","control"
"440","X-038.LEE011 + everolimus","X.038.LE11.evus","treatment"
"441","X-038.LJM716","X.038.uned","control"
"442","X-038.LJM716","X.038.LJ16","treatment"
"443","X-038.LJM716 + trastuzumab","X.038.uned","control"
"444","X-038.LJM716 + trastuzumab","X.038.LJ16.trab","treatment"
"445","X-038.LLM871","X.038.uned","control"
"446","X-038.LLM871","X.038.LL71","treatment"
"447","X-038.trastuzumab","X.038.uned","control"
"448","X-038.trastuzumab","X.038.trab","treatment"
"449","X-039.BYL719","X.039.uned","control"
"450","X-039.BYL719","X.039.BY19","treatment"
"451","X-039.BYL719 + HSP990","X.039.uned","control"
"452","X-039.BYL719 + HSP990","X.039.BY19.HS90","treatment"
"453","X-039.BYL719 + LJM716","X.039.uned","control"
"454","X-039.BYL719 + LJM716","X.039.BY19.LJ16","treatment"
"455","X-039.everolimus","X.039.uned","control"
"456","X-039.everolimus","X.039.evus","treatment"
"457","X-039.HSP990","X.039.uned","control"
"458","X-039.HSP990","X.039.HS90","treatment"
"459","X-039.LEE011","X.039.uned","control"
"460","X-039.LEE011","X.039.LE11","treatment"
"461","X-039.LEE011 + everolimus","X.039.uned","control"
"462","X-039.LEE011 + everolimus","X.039.LE11.evus","treatment"
"463","X-039.LJM716","X.039.uned","control"
"464","X-039.LJM716","X.039.LJ16","treatment"
"465","X-050.BYL719","X.050.uned","control"
"466","X-050.BYL719","X.050.BY19","treatment"
"467","X-050.BYL719 + HSP990","X.050.uned","control"
"468","X-050.BYL719 + HSP990","X.050.BY19.HS90","treatment"
"469","X-050.BYL719 + LJM716","X.050.uned","control"
"470","X-050.BYL719 + LJM716","X.050.BY19.LJ16","treatment"
"471","X-050.everolimus","X.050.uned","control"
"472","X-050.everolimus","X.050.evus","treatment"
"473","X-050.HSP990","X.050.uned","control"
"474","X-050.HSP990","X.050.HS90","treatment"
"475","X-050.LEE011","X.050.uned","control"
"476","X-050.LEE011","X.050.LE11","treatment"
"477","X-050.LEE011 + everolimus","X.050.uned","control"
"478","X-050.LEE011 + everolimus","X.050.LE11.evus","treatment"
"479","X-050.LJM716","X.050.uned","control"
"480","X-050.LJM716","X.050.LJ16","treatment"
"481","X-056.BGJ398","X.056.uned","control"
"482","X-056.BGJ398","X.056.BG98","treatment"
"483","X-056.binimetinib","X.056.uned","control"
"484","X-056.binimetinib","X.056.biib","treatment"
"485","X-056.BKM120","X.056.uned","control"
"486","X-056.BKM120","X.056.BK20","treatment"
"487","X-056.BYL719","X.056.uned","control"
"488","X-056.BYL719","X.056.BY19","treatment"
"489","X-056.BYL719 + HSP990","X.056.uned","control"
"490","X-056.BYL719 + HSP990","X.056.BY19.HS90","treatment"
"491","X-056.BYL719 + LJM716","X.056.uned","control"
"492","X-056.BYL719 + LJM716","X.056.BY19.LJ16","treatment"
"493","X-056.CLR457","X.056.uned","control"
"494","X-056.CLR457","X.056.CL57","treatment"
"495","X-056.everolimus","X.056.uned","control"
"496","X-056.everolimus","X.056.evus","treatment"
"497","X-056.figitumumab","X.056.uned","control"
"498","X-056.figitumumab","X.056.fiab","treatment"
"499","X-056.HDM201","X.056.uned","control"
"500","X-056.HDM201","X.056.HD01","treatment"
"501","X-056.HSP990","X.056.uned","control"
"502","X-056.HSP990","X.056.HS90","treatment"
"503","X-056.INC280","X.056.uned","control"
"504","X-056.INC280","X.056.IN80","treatment"
"505","X-056.INC280 + trastuzumab","X.056.uned","control"
"506","X-056.INC280 + trastuzumab","X.056.IN80.trab","treatment"
"507","X-056.LEE011","X.056.uned","control"
"508","X-056.LEE011","X.056.LE11","treatment"
"509","X-056.LEE011 + everolimus","X.056.uned","control"
"510","X-056.LEE011 + everolimus","X.056.LE11.evus","treatment"
"511","X-056.LJM716","X.056.uned","control"
"512","X-056.LJM716","X.056.LJ16","treatment"
"513","X-056.LJM716 + trastuzumab","X.056.uned","control"
"514","X-056.LJM716 + trastuzumab","X.056.LJ16.trab","treatment"
"515","X-056.LLM871","X.056.uned","control"
"516","X-056.LLM871","X.056.LL71","treatment"
"517","X-056.trastuzumab","X.056.uned","control"
"518","X-056.trastuzumab","X.056.trab","treatment"
"519","X-057.BGJ398","X.057.BG98","treatment"
"520","X-057.binimetinib","X.057.biib","treatment"
"521","X-057.BKM120","X.057.BK20","treatment"
"522","X-057.BYL719","X.057.BY19","treatment"
"523","X-057.BYL719 + HSP990","X.057.BY19.HS90","treatment"
"524","X-057.BYL719 + LJM716","X.057.BY19.LJ16","treatment"
"525","X-057.CLR457","X.057.CL57","treatment"
"526","X-057.everolimus","X.057.evus","treatment"
"527","X-057.figitumumab","X.057.fiab","treatment"
"528","X-057.HDM201","X.057.HD01","treatment"
"529","X-057.HSP990","X.057.HS90","treatment"
"530","X-057.INC280","X.057.IN80","treatment"
