"","X-1004","X-1008","X-1286","X-1298","X-1349","X-1371","X-1383","X-1407","X-1468","X-1600","X-1631","X-1828","X-1832","X-1916","X-1921","X-2127","X-2195","X-2344","X-2353","X-2487","X-2524","X-2640","X-2780","X-3077","X-3078","X-3201","X-3298","X-3450","X-3453","X-3468","X-3697","X-3873","X-4347","X-4567","X-4824","X-4888","X-4949","X-5249","X-5355","X-5502","X-5541","X-5975","X-6047"
"LEE011","SD","SD","SD","SD","","PD","SD","PD","SD","PD","PD","SD","PD","PD","SD","","SD","PD","SD","PD","PD","SD","PD","SD","SD","PD","PD","SD","","SD","PD","SD","SD","PD","SD","SD","SD","PR","SD","SD","","SD","PD"
"LEE011 + everolimus","PR","SD","SD","PR","","","SD","SD","SD","SD","SD","SD","PD","PD","SD","","PR","SD","SD","SD","SD","SD","PR","PR","SD","SD","SD","PR","","SD","SD","PR","PR","PR","PR","SD","SD","SD","PR","PR","","PR","SD"
"LFA102","PD","PD","PD","PD","","PD","SD","PD","PD","PD","PD","PD","PD","PD","PD","","SD","PD","SD","PD","SD","PD","PD","PD","SD","SD","SD","SD","","SD","SD","NA","SD","SD","PD","SD","PD","PD","PD","SD","","SD","PD"
"LFW527 + everolimus","SD","SD","SD","NA","NA","SD","PD","SD","SD","SD","","","PD","SD","SD","SD","","SD","SD","SD","SD","SD","SD","SD","SD","SD","","SD","PR","SD","","SD","SD","PR","","SD","","SD","PR","SD","PR","",""
"LJM716","SD","SD","SD","PD","","PD","SD","PD","SD","PD","PD","NA","PD","SD","PD","","PD","SD","SD","SD","PD","SD","SD","SD","PD","PD","SD","PR","","SD","SD","SD","PD","SD","SD","PD","SD","PD","SD","SD","","SD","PD"
"LJM716 + trastuzumab","SD","PR","SD","SD","","PD","PD","SD","SD","PD","PD","SD","PD","PR","PD","","PD","PR","SD","PD","PD","SD","PD","PR","SD","PD","PD","PR","","SD","SD","SD","SD","CR","SD","SD","SD","PD","PD","SD","","","PD"
"LKA136","SD","PD","SD","PD","","PD","SD","PD","PD","PD","PD","PD","PD","SD","PD","","SD","PD","SD","PD","PD","SD","PD","PD","PD","PD","SD","SD","","SD","SD","PD","PD","SD","PD","PD","PD","PD","PD","SD","","PD","PD"
"LLM871","SD","PD","SD","SD","","PD","PD","PD","SD","PD","CR","SD","PD","PD","PD","","SD","PD","SD","PD","SD","SD","PR","SD","PD","PD","SD","SD","","SD","SD","SD","SD","CR","PD","SD","PD","PD","SD","SD","","PR","SD"
"paclitaxel","SD","PR","PD","PD","","SD","SD","PD","SD","PD","PR","SD","SD","PD","PD","","PD","PD","SD","PD","PD","SD","SD","SD","PR","SD","CR","PD","","SD","SD","PR","SD","PR","PD","SD","PD","SD","PR","SD","","PR","SD"
"tamoxifen","PD","PD","PD","SD","","PD","PD","PD","PD","PD","PD","SD","PD","PD","SD","","SD","PD","PD","SD","PD","PD","SD","SD","PD","PD","PD","SD","","SD","SD","PD","PD","PD","PD","PD","PD","PD","PD","SD","","PD","PD"
"trastuzumab","SD","PD","SD","PD","","PD","PD","PD","SD","PD","PD","SD","PD","PD","PD","","PD","SD","PD","PD","PD","PD","SD","PD","PD","PD","SD","PD","","PD","SD","PD","PD","PD","PD","PD","PD","PD","PD","SD","","","PD"
"untreated","PD","PD","PD","PD","","PD","PD","PD","SD","NA","PD","PD","PD","PD","PD","","PD","PD","PD","PD","NA","SD","PD","SD","PD","PD","PD","SD","","PD","SD","SD","PD","PD","PD","PD","PD","PD","PD","SD","","PD","PD"
