"model.id","tissue","tissue.name","patient.id","drug","tested"
"X.020.fiab","X.020.fiab","GC","Gastric Cancer","X-020","figitumumab","TRUE"
"X.020.HD01","X.020.HD01","GC","Gastric Cancer","X-020","HDM201","TRUE"
"X.020.HS90","X.020.HS90","GC","Gastric Cancer","X-020","HSP990","TRUE"
"X.020.IN80","X.020.IN80","GC","Gastric Cancer","X-020","INC280","TRUE"
"X.020.IN80.trab","X.020.IN80.trab","GC","Gastric Cancer","X-020","INC280 + trastuzumab","TRUE"
"X.020.LE11","X.020.LE11","GC","Gastric Cancer","X-020","LEE011","TRUE"
"X.020.LE11.evus","X.020.LE11.evus","GC","Gastric Cancer","X-020","LEE011 + everolimus","TRUE"
"X.020.LJ16","X.020.LJ16","GC","Gastric Cancer","X-020","LJM716","TRUE"
"X.020.LJ16.trab","X.020.LJ16.trab","GC","Gastric Cancer","X-020","LJM716 + trastuzumab","TRUE"
"X.020.LL71","X.020.LL71","GC","Gastric Cancer","X-020","LLM871","TRUE"
"X.020.trab","X.020.trab","GC","Gastric Cancer","X-020","trastuzumab","TRUE"
"X.020.uned","X.020.uned","GC","Gastric Cancer","X-020","untreated","TRUE"
"X.023.BY19","X.023.BY19","GC","Gastric Cancer","X-023","BYL719","TRUE"
"X.023.BY19.HS90","X.023.BY19.HS90","GC","Gastric Cancer","X-023","BYL719 + HSP990","TRUE"
"X.023.BY19.LJ16","X.023.BY19.LJ16","GC","Gastric Cancer","X-023","BYL719 + LJM716","TRUE"
"X.023.evus","X.023.evus","GC","Gastric Cancer","X-023","everolimus","TRUE"
"X.023.HS90","X.023.HS90","GC","Gastric Cancer","X-023","HSP990","TRUE"
"X.023.LE11","X.023.LE11","GC","Gastric Cancer","X-023","LEE011","TRUE"
"X.023.LE11.evus","X.023.LE11.evus","GC","Gastric Cancer","X-023","LEE011 + everolimus","TRUE"
"X.023.LJ16","X.023.LJ16","GC","Gastric Cancer","X-023","LJM716","TRUE"
"X.023.uned","X.023.uned","GC","Gastric Cancer","X-023","untreated","TRUE"
"X.024.BY19","X.024.BY19","GC","Gastric Cancer","X-024","BYL719","TRUE"
"X.024.BY19.HS90","X.024.BY19.HS90","GC","Gastric Cancer","X-024","BYL719 + HSP990","TRUE"
"X.024.BY19.LJ16","X.024.BY19.LJ16","GC","Gastric Cancer","X-024","BYL719 + LJM716","TRUE"
"X.024.evus","X.024.evus","GC","Gastric Cancer","X-024","everolimus","TRUE"
"X.024.HS90","X.024.HS90","GC","Gastric Cancer","X-024","HSP990","TRUE"
"X.024.LE11","X.024.LE11","GC","Gastric Cancer","X-024","LEE011","TRUE"
"X.024.LE11.evus","X.024.LE11.evus","GC","Gastric Cancer","X-024","LEE011 + everolimus","TRUE"
"X.024.LJ16","X.024.LJ16","GC","Gastric Cancer","X-024","LJM716","TRUE"
"X.024.uned","X.024.uned","GC","Gastric Cancer","X-024","untreated","TRUE"
"X.025.BG98","X.025.BG98","GC","Gastric Cancer","X-025","BGJ398","TRUE"
"X.025.biib","X.025.biib","GC","Gastric Cancer","X-025","binimetinib","TRUE"
"X.025.BK20","X.025.BK20","GC","Gastric Cancer","X-025","BKM120","TRUE"
"X.025.BY19","X.025.BY19","GC","Gastric Cancer","X-025","BYL719","TRUE"
"X.025.BY19.HS90","X.025.BY19.HS90","GC","Gastric Cancer","X-025","BYL719 + HSP990","TRUE"
"X.025.BY19.LJ16","X.025.BY19.LJ16","GC","Gastric Cancer","X-025","BYL719 + LJM716","TRUE"
"X.025.CL57","X.025.CL57","GC","Gastric Cancer","X-025","CLR457","TRUE"
"X.025.evus","X.025.evus","GC","Gastric Cancer","X-025","everolimus","TRUE"
"X.025.fiab","X.025.fiab","GC","Gastric Cancer","X-025","figitumumab","TRUE"
"X.025.HD01","X.025.HD01","GC","Gastric Cancer","X-025","HDM201","TRUE"
"X.025.HS90","X.025.HS90","GC","Gastric Cancer","X-025","HSP990","TRUE"
"X.025.IN80","X.025.IN80","GC","Gastric Cancer","X-025","INC280","TRUE"
"X.025.IN80.trab","X.025.IN80.trab","GC","Gastric Cancer","X-025","INC280 + trastuzumab","TRUE"
"X.025.LE11","X.025.LE11","GC","Gastric Cancer","X-025","LEE011","TRUE"
"X.025.LE11.evus","X.025.LE11.evus","GC","Gastric Cancer","X-025","LEE011 + everolimus","TRUE"
"X.025.LJ16","X.025.LJ16","GC","Gastric Cancer","X-025","LJM716","TRUE"
"X.025.LJ16.trab","X.025.LJ16.trab","GC","Gastric Cancer","X-025","LJM716 + trastuzumab","TRUE"
"X.025.trab","X.025.trab","GC","Gastric Cancer","X-025","trastuzumab","TRUE"
"X.025.uned","X.025.uned","GC","Gastric Cancer","X-025","untreated","TRUE"
"X.027.BK20","X.027.BK20","GC","Gastric Cancer","X-027","BKM120","TRUE"
"X.027.BY19","X.027.BY19","GC","Gastric Cancer","X-027","BYL719","TRUE"
"X.027.BY19.HS90","X.027.BY19.HS90","GC","Gastric Cancer","X-027","BYL719 + HSP990","TRUE"
"X.027.CL57","X.027.CL57","GC","Gastric Cancer","X-027","CLR457","TRUE"
"X.027.fiab","X.027.fiab","GC","Gastric Cancer","X-027","figitumumab","TRUE"
"X.027.HD01","X.027.HD01","GC","Gastric Cancer","X-027","HDM201","TRUE"
"X.027.LE11","X.027.LE11","GC","Gastric Cancer","X-027","LEE011","TRUE"
"X.027.LJ16","X.027.LJ16","GC","Gastric Cancer","X-027","LJM716","TRUE"
"X.027.LL71","X.027.LL71","GC","Gastric Cancer","X-027","LLM871","TRUE"
"X.027.trab","X.027.trab","GC","Gastric Cancer","X-027","trastuzumab","TRUE"
"X.028.BG98","X.028.BG98","GC","Gastric Cancer","X-028","BGJ398","TRUE"
"X.028.biib","X.028.biib","GC","Gastric Cancer","X-028","binimetinib","TRUE"
"X.028.BK20","X.028.BK20","GC","Gastric Cancer","X-028","BKM120","TRUE"
"X.028.BY19","X.028.BY19","GC","Gastric Cancer","X-028","BYL719","TRUE"
"X.028.BY19.HS90","X.028.BY19.HS90","GC","Gastric Cancer","X-028","BYL719 + HSP990","TRUE"
"X.028.BY19.LJ16","X.028.BY19.LJ16","GC","Gastric Cancer","X-028","BYL719 + LJM716","TRUE"
"X.028.CL57","X.028.CL57","GC","Gastric Cancer","X-028","CLR457","TRUE"
"X.028.evus","X.028.evus","GC","Gastric Cancer","X-028","everolimus","TRUE"
"X.028.fiab","X.028.fiab","GC","Gastric Cancer","X-028","figitumumab","TRUE"
"X.028.HD01","X.028.HD01","GC","Gastric Cancer","X-028","HDM201","TRUE"
"X.028.HS90","X.028.HS90","GC","Gastric Cancer","X-028","HSP990","TRUE"
"X.028.IN80","X.028.IN80","GC","Gastric Cancer","X-028","INC280","TRUE"
"X.028.IN80.trab","X.028.IN80.trab","GC","Gastric Cancer","X-028","INC280 + trastuzumab","TRUE"
"X.028.LE11","X.028.LE11","GC","Gastric Cancer","X-028","LEE011","TRUE"
"X.028.LE11.evus","X.028.LE11.evus","GC","Gastric Cancer","X-028","LEE011 + everolimus","TRUE"
"X.028.LJ16","X.028.LJ16","GC","Gastric Cancer","X-028","LJM716","TRUE"
"X.028.LJ16.trab","X.028.LJ16.trab","GC","Gastric Cancer","X-028","LJM716 + trastuzumab","TRUE"
"X.028.LL71","X.028.LL71","GC","Gastric Cancer","X-028","LLM871","TRUE"
"X.028.trab","X.028.trab","GC","Gastric Cancer","X-028","trastuzumab","TRUE"
"X.029.BG98","X.029.BG98","GC","Gastric Cancer","X-029","BGJ398","TRUE"
"X.029.biib","X.029.biib","GC","Gastric Cancer","X-029","binimetinib","TRUE"
"X.029.BK20","X.029.BK20","GC","Gastric Cancer","X-029","BKM120","TRUE"
"X.029.BY19","X.029.BY19","GC","Gastric Cancer","X-029","BYL719","TRUE"
"X.029.BY19.HS90","X.029.BY19.HS90","GC","Gastric Cancer","X-029","BYL719 + HSP990","TRUE"
"X.029.BY19.LJ16","X.029.BY19.LJ16","GC","Gastric Cancer","X-029","BYL719 + LJM716","TRUE"
"X.029.CL57","X.029.CL57","GC","Gastric Cancer","X-029","CLR457","TRUE"
"X.029.evus","X.029.evus","GC","Gastric Cancer","X-029","everolimus","TRUE"
"X.029.fiab","X.029.fiab","GC","Gastric Cancer","X-029","figitumumab","TRUE"
"X.029.HD01","X.029.HD01","GC","Gastric Cancer","X-029","HDM201","TRUE"
"X.029.HS90","X.029.HS90","GC","Gastric Cancer","X-029","HSP990","TRUE"
"X.029.IN80","X.029.IN80","GC","Gastric Cancer","X-029","INC280","TRUE"
"X.029.IN80.trab","X.029.IN80.trab","GC","Gastric Cancer","X-029","INC280 + trastuzumab","TRUE"
"X.029.LE11","X.029.LE11","GC","Gastric Cancer","X-029","LEE011","TRUE"
"X.029.LJ16.trab","X.029.LJ16.trab","GC","Gastric Cancer","X-029","LJM716 + trastuzumab","TRUE"
"X.029.LL71","X.029.LL71","GC","Gastric Cancer","X-029","LLM871","TRUE"
"X.029.trab","X.029.trab","GC","Gastric Cancer","X-029","trastuzumab","TRUE"
"X.031.BG98","X.031.BG98","GC","Gastric Cancer","X-031","BGJ398","TRUE"
"X.031.biib","X.031.biib","GC","Gastric Cancer","X-031","binimetinib","TRUE"
"X.031.BK20","X.031.BK20","GC","Gastric Cancer","X-031","BKM120","TRUE"
"X.031.BY19","X.031.BY19","GC","Gastric Cancer","X-031","BYL719","TRUE"
"X.031.BY19.HS90","X.031.BY19.HS90","GC","Gastric Cancer","X-031","BYL719 + HSP990","TRUE"
"X.031.CL57","X.031.CL57","GC","Gastric Cancer","X-031","CLR457","TRUE"
"X.031.evus","X.031.evus","GC","Gastric Cancer","X-031","everolimus","TRUE"
"X.031.fiab","X.031.fiab","GC","Gastric Cancer","X-031","figitumumab","TRUE"
"X.031.HD01","X.031.HD01","GC","Gastric Cancer","X-031","HDM201","TRUE"
"X.031.HS90","X.031.HS90","GC","Gastric Cancer","X-031","HSP990","TRUE"
"X.031.IN80","X.031.IN80","GC","Gastric Cancer","X-031","INC280","TRUE"
"X.031.IN80.trab","X.031.IN80.trab","GC","Gastric Cancer","X-031","INC280 + trastuzumab","TRUE"
"X.031.LE11","X.031.LE11","GC","Gastric Cancer","X-031","LEE011","TRUE"
"X.031.LE11.evus","X.031.LE11.evus","GC","Gastric Cancer","X-031","LEE011 + everolimus","TRUE"
"X.031.LJ16","X.031.LJ16","GC","Gastric Cancer","X-031","LJM716","TRUE"
"X.031.LJ16.trab","X.031.LJ16.trab","GC","Gastric Cancer","X-031","LJM716 + trastuzumab","TRUE"
"X.031.LL71","X.031.LL71","GC","Gastric Cancer","X-031","LLM871","TRUE"
"X.031.trab","X.031.trab","GC","Gastric Cancer","X-031","trastuzumab","TRUE"
"X.031.uned","X.031.uned","GC","Gastric Cancer","X-031","untreated","TRUE"
"X.034.BG98","X.034.BG98","GC","Gastric Cancer","X-034","BGJ398","TRUE"
"X.034.biib","X.034.biib","GC","Gastric Cancer","X-034","binimetinib","TRUE"
"X.034.BK20","X.034.BK20","GC","Gastric Cancer","X-034","BKM120","TRUE"
"X.034.BY19","X.034.BY19","GC","Gastric Cancer","X-034","BYL719","TRUE"
"X.034.BY19.HS90","X.034.BY19.HS90","GC","Gastric Cancer","X-034","BYL719 + HSP990","TRUE"
"X.034.BY19.LJ16","X.034.BY19.LJ16","GC","Gastric Cancer","X-034","BYL719 + LJM716","TRUE"
"X.034.CL57","X.034.CL57","GC","Gastric Cancer","X-034","CLR457","TRUE"
"X.034.evus","X.034.evus","GC","Gastric Cancer","X-034","everolimus","TRUE"
"X.034.fiab","X.034.fiab","GC","Gastric Cancer","X-034","figitumumab","TRUE"
"X.034.HD01","X.034.HD01","GC","Gastric Cancer","X-034","HDM201","TRUE"
"X.034.HS90","X.034.HS90","GC","Gastric Cancer","X-034","HSP990","TRUE"
"X.034.IN80","X.034.IN80","GC","Gastric Cancer","X-034","INC280","TRUE"
"X.034.IN80.trab","X.034.IN80.trab","GC","Gastric Cancer","X-034","INC280 + trastuzumab","TRUE"
"X.034.LE11","X.034.LE11","GC","Gastric Cancer","X-034","LEE011","TRUE"
"X.034.LE11.evus","X.034.LE11.evus","GC","Gastric Cancer","X-034","LEE011 + everolimus","TRUE"
"X.034.LJ16","X.034.LJ16","GC","Gastric Cancer","X-034","LJM716","TRUE"
"X.034.LJ16.trab","X.034.LJ16.trab","GC","Gastric Cancer","X-034","LJM716 + trastuzumab","TRUE"
"X.034.LL71","X.034.LL71","GC","Gastric Cancer","X-034","LLM871","TRUE"
"X.034.trab","X.034.trab","GC","Gastric Cancer","X-034","trastuzumab","TRUE"
"X.035.BG98","X.035.BG98","GC","Gastric Cancer","X-035","BGJ398","TRUE"
"X.035.biib","X.035.biib","GC","Gastric Cancer","X-035","binimetinib","TRUE"
"X.035.BK20","X.035.BK20","GC","Gastric Cancer","X-035","BKM120","TRUE"
"X.035.BY19","X.035.BY19","GC","Gastric Cancer","X-035","BYL719","TRUE"
"X.035.BY19.HS90","X.035.BY19.HS90","GC","Gastric Cancer","X-035","BYL719 + HSP990","TRUE"
"X.035.BY19.LJ16","X.035.BY19.LJ16","GC","Gastric Cancer","X-035","BYL719 + LJM716","TRUE"
"X.035.evus","X.035.evus","GC","Gastric Cancer","X-035","everolimus","TRUE"
"X.035.fiab","X.035.fiab","GC","Gastric Cancer","X-035","figitumumab","TRUE"
"X.035.HD01","X.035.HD01","GC","Gastric Cancer","X-035","HDM201","TRUE"
"X.035.HS90","X.035.HS90","GC","Gastric Cancer","X-035","HSP990","TRUE"
"X.035.IN80.trab","X.035.IN80.trab","GC","Gastric Cancer","X-035","INC280 + trastuzumab","TRUE"
"X.035.LE11","X.035.LE11","GC","Gastric Cancer","X-035","LEE011","TRUE"
"X.035.LE11.evus","X.035.LE11.evus","GC","Gastric Cancer","X-035","LEE011 + everolimus","TRUE"
"X.035.LJ16","X.035.LJ16","GC","Gastric Cancer","X-035","LJM716","TRUE"
"X.035.LJ16.trab","X.035.LJ16.trab","GC","Gastric Cancer","X-035","LJM716 + trastuzumab","TRUE"
"X.035.LL71","X.035.LL71","GC","Gastric Cancer","X-035","LLM871","TRUE"
"X.035.trab","X.035.trab","GC","Gastric Cancer","X-035","trastuzumab","TRUE"
"X.037.BG98","X.037.BG98","GC","Gastric Cancer","X-037","BGJ398","TRUE"
"X.037.biib","X.037.biib","GC","Gastric Cancer","X-037","binimetinib","TRUE"
"X.037.BK20","X.037.BK20","GC","Gastric Cancer","X-037","BKM120","TRUE"
"X.037.BY19","X.037.BY19","GC","Gastric Cancer","X-037","BYL719","TRUE"
"X.037.BY19.HS90","X.037.BY19.HS90","GC","Gastric Cancer","X-037","BYL719 + HSP990","TRUE"
"X.037.CL57","X.037.CL57","GC","Gastric Cancer","X-037","CLR457","TRUE"
"X.037.evus","X.037.evus","GC","Gastric Cancer","X-037","everolimus","TRUE"
"X.037.fiab","X.037.fiab","GC","Gastric Cancer","X-037","figitumumab","TRUE"
"X.037.HD01","X.037.HD01","GC","Gastric Cancer","X-037","HDM201","TRUE"
"X.037.HS90","X.037.HS90","GC","Gastric Cancer","X-037","HSP990","TRUE"
"X.037.IN80","X.037.IN80","GC","Gastric Cancer","X-037","INC280","TRUE"
"X.037.IN80.trab","X.037.IN80.trab","GC","Gastric Cancer","X-037","INC280 + trastuzumab","TRUE"
"X.037.LE11","X.037.LE11","GC","Gastric Cancer","X-037","LEE011","TRUE"
"X.037.LE11.evus","X.037.LE11.evus","GC","Gastric Cancer","X-037","LEE011 + everolimus","TRUE"
"X.037.LJ16","X.037.LJ16","GC","Gastric Cancer","X-037","LJM716","TRUE"
"X.037.LJ16.trab","X.037.LJ16.trab","GC","Gastric Cancer","X-037","LJM716 + trastuzumab","TRUE"
"X.037.LL71","X.037.LL71","GC","Gastric Cancer","X-037","LLM871","TRUE"
"X.037.trab","X.037.trab","GC","Gastric Cancer","X-037","trastuzumab","TRUE"
"X.037.uned","X.037.uned","GC","Gastric Cancer","X-037","untreated","TRUE"
"X.038.BG98","X.038.BG98","GC","Gastric Cancer","X-038","BGJ398","TRUE"
"X.038.biib","X.038.biib","GC","Gastric Cancer","X-038","binimetinib","TRUE"
"X.038.BK20","X.038.BK20","GC","Gastric Cancer","X-038","BKM120","TRUE"
"X.038.BY19","X.038.BY19","GC","Gastric Cancer","X-038","BYL719","TRUE"
"X.038.BY19.HS90","X.038.BY19.HS90","GC","Gastric Cancer","X-038","BYL719 + HSP990","TRUE"
"X.038.BY19.LJ16","X.038.BY19.LJ16","GC","Gastric Cancer","X-038","BYL719 + LJM716","TRUE"
"X.038.CL57","X.038.CL57","GC","Gastric Cancer","X-038","CLR457","TRUE"
"X.038.evus","X.038.evus","GC","Gastric Cancer","X-038","everolimus","TRUE"
"X.038.fiab","X.038.fiab","GC","Gastric Cancer","X-038","figitumumab","TRUE"
"X.038.HD01","X.038.HD01","GC","Gastric Cancer","X-038","HDM201","TRUE"
"X.038.HS90","X.038.HS90","GC","Gastric Cancer","X-038","HSP990","TRUE"
"X.038.IN80","X.038.IN80","GC","Gastric Cancer","X-038","INC280","TRUE"
"X.038.IN80.trab","X.038.IN80.trab","GC","Gastric Cancer","X-038","INC280 + trastuzumab","TRUE"
"X.038.LE11","X.038.LE11","GC","Gastric Cancer","X-038","LEE011","TRUE"
"X.038.LE11.evus","X.038.LE11.evus","GC","Gastric Cancer","X-038","LEE011 + everolimus","TRUE"
"X.038.LJ16","X.038.LJ16","GC","Gastric Cancer","X-038","LJM716","TRUE"
"X.038.LJ16.trab","X.038.LJ16.trab","GC","Gastric Cancer","X-038","LJM716 + trastuzumab","TRUE"
"X.038.LL71","X.038.LL71","GC","Gastric Cancer","X-038","LLM871","TRUE"
"X.038.trab","X.038.trab","GC","Gastric Cancer","X-038","trastuzumab","TRUE"
"X.038.uned","X.038.uned","GC","Gastric Cancer","X-038","untreated","TRUE"
