id,drug_id,model_id,response_type,value
337,5,36,,SD
338,5,37,,PD
339,5,38,,SD
340,5,39,,SD
341,5,40,,SD
342,5,41,,
343,5,42,,PD
344,5,43,,PD
345,26,1,,SD
346,26,2,,PD
347,26,3,,PD
348,26,4,,PD
349,26,5,,
350,26,6,,PD
351,26,7,,SD
352,26,8,,PD
353,26,9,,SD
354,26,10,,PD
355,26,11,,PD
356,26,12,,PD
357,26,13,,PD
358,26,14,,PD
359,26,15,,PD
360,26,16,,
361,26,17,,SD
362,26,18,,PD
363,26,19,,PD
364,26,20,,PD
365,26,21,,PD
366,26,22,,PD
367,26,23,,SD
368,26,24,,SD
369,26,25,,SD
370,26,26,,PD
371,26,27,,PD
372,26,28,,PD
373,26,29,,
374,26,30,,SD
375,26,31,,PD
376,26,32,,PD
377,26,33,,SD
378,26,34,,SD
379,26,35,,SD
380,26,36,,SD
381,26,37,,PD
382,26,38,,PD
383,26,39,,PD
384,26,40,,SD
385,26,41,,
386,26,42,,SD
387,26,43,,PD
388,49,1,,SD
389,49,2,,SD
390,49,3,,SD
391,49,4,,SD
392,49,5,,
393,49,6,,PD
394,49,7,,PD
395,49,8,,PD
396,49,9,,PD
397,49,10,,PD
398,49,11,,
399,49,12,,PD
400,49,13,,PD
401,49,14,,NA
402,49,15,,PD
403,49,16,,
404,49,17,,SD
405,49,18,,PD
406,49,19,,SD
407,49,20,,PD
408,49,21,,PD
409,49,22,,SD
410,49,23,,PD
411,49,24,,SD
412,49,25,,PD
413,49,26,,PD
414,49,27,,PD
415,49,28,,SD
416,49,29,,
417,49,30,,SD
418,49,31,,SD
419,49,32,,SD
420,49,33,,PD
421,49,34,,SD
422,49,35,,PD
423,49,36,,SD
424,49,37,,PD
425,49,38,,PD
426,49,39,,PD
427,49,40,,SD
428,49,41,,
429,49,42,,PD
430,49,43,,PD
431,11,1,,SD
432,11,2,,SD
433,11,3,,SD
434,11,4,,SD
435,11,5,,
436,11,6,,PD
437,11,7,,SD
438,11,8,,PD
439,11,9,,SD
440,11,10,,PD
441,11,11,,PD
442,11,12,,SD
443,11,13,,PD
444,11,14,,PD
445,11,15,,SD
446,11,16,,
447,11,17,,SD
448,11,18,,PD
449,11,19,,SD
450,11,20,,PD
451,11,21,,PD
452,11,22,,SD
453,11,23,,PD
454,11,24,,SD
455,11,25,,SD
456,11,26,,PD
457,11,27,,PD
458,11,28,,SD
459,11,29,,
460,11,30,,SD
461,11,31,,PD
462,11,32,,SD
463,11,33,,SD
464,11,34,,PD
465,11,35,,SD
466,11,36,,SD
467,11,37,,SD
468,11,38,,PR
469,11,39,,SD
470,11,40,,SD
471,11,41,,
472,11,42,,SD
473,11,43,,PD
474,53,1,,PR
475,53,2,,SD
476,53,3,,SD
477,53,4,,PR
478,53,5,,
479,53,6,,
480,53,7,,SD
481,53,8,,SD
482,53,9,,SD
483,53,10,,SD
484,53,11,,SD
485,53,12,,SD
486,53,13,,PD
487,53,14,,PD
488,53,15,,SD
489,53,16,,
490,53,17,,PR
491,53,18,,SD
492,53,19,,SD
493,53,20,,SD
494,53,21,,SD
495,53,22,,SD
496,53,23,,PR
497,53,24,,PR
498,53,25,,SD
499,53,26,,SD
500,53,27,,SD
501,53,28,,PR
502,53,29,,
503,53,30,,SD
504,53,31,,SD
505,53,32,,PR
506,53,33,,PR
507,53,34,,PR
508,53,35,,PR
509,53,36,,SD
510,53,37,,SD
511,53,38,,SD
512,53,39,,PR
513,53,40,,PR
514,53,41,,
515,53,42,,PR
516,53,43,,SD
517,54,1,,PD
518,54,2,,PD
519,54,3,,PD
520,54,4,,PD
521,54,5,,
522,54,6,,PD
523,54,7,,SD
524,54,8,,PD
525,54,9,,PD
526,54,10,,PD
527,54,11,,PD
528,54,12,,PD
529,54,13,,PD
530,54,14,,PD
531,54,15,,PD
532,54,16,,
533,54,17,,SD
534,54,18,,PD
535,54,19,,SD
536,54,20,,PD
537,54,21,,SD
538,54,22,,PD
539,54,23,,PD
540,54,24,,PD
541,54,25,,SD
542,54,26,,SD
543,54,27,,SD
544,54,28,,SD
545,54,29,,
546,54,30,,SD
547,54,31,,SD
548,54,32,,NA
549,54,33,,SD
550,54,34,,SD
551,54,35,,PD
552,54,36,,SD
553,54,37,,PD
554,54,38,,PD
555,54,39,,PD
556,54,40,,SD
557,54,41,,
558,54,42,,SD
559,54,43,,PD
560,55,1,,SD
561,55,2,,SD
562,55,3,,SD
563,55,4,,NA
564,55,5,,NA
565,55,6,,SD
566,55,7,,PD
567,55,8,,SD
568,55,9,,SD
569,55,10,,SD
570,55,11,,
571,55,12,,
572,55,13,,PD
573,55,14,,SD
574,55,15,,SD
575,55,16,,SD
576,55,17,,
577,55,18,,SD
578,55,19,,SD
579,55,20,,SD
580,55,21,,SD
581,55,22,,SD
582,55,23,,SD
583,55,24,,SD
584,55,25,,SD
585,55,26,,SD
586,55,27,,
587,55,28,,SD
588,55,29,,PR
589,55,30,,SD
590,55,31,,
591,55,32,,SD
592,55,33,,SD
593,55,34,,PR
594,55,35,,
595,55,36,,SD
596,55,37,,
597,55,38,,SD
598,55,39,,PR
599,55,40,,SD
600,55,41,,PR
601,55,42,,
602,55,43,,
603,56,1,,SD
604,56,2,,SD
605,56,3,,SD
606,56,4,,PD
607,56,5,,
608,56,6,,PD
609,56,7,,SD
610,56,8,,PD
611,56,9,,SD
612,56,10,,PD
613,56,11,,PD
614,56,12,,NA
615,56,13,,PD
616,56,14,,SD
617,56,15,,PD
618,56,16,,
619,56,17,,PD
620,56,18,,SD
621,56,19,,SD
622,56,20,,SD
623,56,21,,PD
624,56,22,,SD
625,56,23,,SD
626,56,24,,SD
627,56,25,,PD
628,56,26,,PD
629,56,27,,SD
630,56,28,,PR
631,56,29,,
632,56,30,,SD
633,56,31,,SD
634,56,32,,SD
635,56,33,,PD
636,56,34,,SD
637,56,35,,SD
638,56,36,,PD
639,56,37,,SD
640,56,38,,PD
641,56,39,,SD
642,56,40,,SD
643,56,41,,
644,56,42,,SD
645,56,43,,PD
646,57,1,,SD
647,57,2,,PR
648,57,3,,SD
649,57,4,,SD
650,57,5,,
651,57,6,,PD
652,57,7,,PD
653,57,8,,SD
654,57,9,,SD
655,57,10,,PD
656,57,11,,PD
657,57,12,,SD
658,57,13,,PD
659,57,14,,PR
660,57,15,,PD
661,57,16,,
662,57,17,,PD
663,57,18,,PR
664,57,19,,SD
665,57,20,,PD
666,57,21,,PD
667,57,22,,SD
668,57,23,,PD
669,57,24,,PR
670,57,25,,SD
671,57,26,,PD
672,57,27,,PD
673,57,28,,PR
674,57,29,,
675,57,30,,SD
676,57,31,,SD
677,57,32,,SD
678,57,33,,SD
679,57,34,,CR
680,57,35,,SD
681,57,36,,SD
682,57,37,,SD
683,57,38,,PD
684,57,39,,PD
685,57,40,,SD
686,57,41,,
687,57,42,,
688,57,43,,PD
689,42,1,,SD
690,42,2,,PD
691,42,3,,SD
692,42,4,,PD
693,42,5,,
694,42,6,,PD
695,42,7,,SD
696,42,8,,PD
697,42,9,,PD
698,42,10,,PD
699,42,11,,PD
700,42,12,,PD
701,42,13,,PD
702,42,14,,SD
703,42,15,,PD
704,42,16,,
705,42,17,,SD
706,42,18,,PD
707,42,19,,SD
708,42,20,,PD
709,42,21,,PD
710,42,22,,SD
711,42,23,,PD
712,42,24,,PD
713,42,25,,PD
714,42,26,,PD
715,42,27,,SD
716,42,28,,SD
717,42,29,,
718,42,30,,SD
719,42,31,,SD
720,42,32,,PD
721,42,33,,PD
722,42,34,,SD
723,42,35,,PD
724,42,36,,PD
725,42,37,,PD
726,42,38,,PD
727,42,39,,PD
728,42,40,,SD
729,42,41,,
730,42,42,,PD
731,42,43,,PD
732,32,1,,SD
733,32,2,,PD
734,32,3,,SD
735,32,4,,SD
736,32,5,,
737,32,6,,PD
738,32,7,,PD
739,32,8,,PD
740,32,9,,SD
741,32,10,,PD
742,32,11,,CR
743,32,12,,SD
744,32,13,,PD
745,32,14,,PD
746,32,15,,PD
747,32,16,,
748,32,17,,SD
749,32,18,,PD
750,32,19,,SD
751,32,20,,PD
752,32,21,,SD
753,32,22,,SD
754,32,23,,PR
755,32,24,,SD
756,32,25,,PD
757,32,26,,PD
758,32,27,,SD
759,32,28,,SD
760,32,29,,
761,32,30,,SD
762,32,31,,SD
763,32,32,,SD
764,32,33,,SD
765,32,34,,CR
766,32,35,,PD
767,32,36,,SD
768,32,37,,PD
769,32,38,,PD
770,32,39,,SD
771,32,40,,SD
772,32,41,,
773,32,42,,PR
774,32,43,,SD
775,33,1,,SD
776,33,2,,PR
777,33,3,,PD
778,33,4,,PD
779,33,5,,
780,33,6,,SD
781,33,7,,SD
782,33,8,,PD
783,33,9,,SD
784,33,10,,PD
785,33,11,,PR
786,33,12,,SD
787,33,13,,SD
788,33,14,,PD
789,33,15,,PD
790,33,16,,
791,33,17,,PD
792,33,18,,PD
793,33,19,,SD
794,33,20,,PD
795,33,21,,PD
796,33,22,,SD
797,33,23,,SD
798,33,24,,SD
799,33,25,,PR
800,33,26,,SD
801,33,27,,CR
802,33,28,,PD
803,33,29,,
804,33,30,,SD
805,33,31,,SD
806,33,32,,PR
807,33,33,,SD
808,33,34,,PR
809,33,35,,PD
810,33,36,,SD
811,33,37,,PD
812,33,38,,SD
813,33,39,,PR
814,33,40,,SD
815,33,41,,
816,33,42,,PR
817,33,43,,SD
818,58,1,,PD
819,58,2,,PD
820,58,3,,PD
821,58,4,,SD
822,58,5,,
823,58,6,,PD
824,58,7,,PD
825,58,8,,PD
826,58,9,,PD
827,58,10,,PD
828,58,11,,PD
829,58,12,,SD
830,58,13,,PD
831,58,14,,PD
832,58,15,,SD
833,58,16,,
834,58,17,,SD
835,58,18,,PD
836,58,19,,PD
837,58,20,,SD
838,58,21,,PD
839,58,22,,PD
840,58,23,,SD
841,58,24,,SD
842,58,25,,PD
843,58,26,,PD
844,58,27,,PD
845,58,28,,SD
846,58,29,,
847,58,30,,SD
848,58,31,,SD
849,58,32,,PD
850,58,33,,PD
851,58,34,,PD
852,58,35,,PD
853,58,36,,PD
854,58,37,,PD
855,58,38,,PD
856,58,39,,PD
857,58,40,,SD
858,58,41,,
859,58,42,,PD
860,58,43,,PD
861,59,1,,SD
862,59,2,,PD
863,59,3,,SD
864,59,4,,PD
865,59,5,,
866,59,6,,PD
867,59,7,,PD
868,59,8,,PD
869,59,9,,SD
870,59,10,,PD
871,59,11,,PD
872,59,12,,SD
873,59,13,,PD
874,59,14,,PD
875,59,15,,PD
876,59,16,,
877,59,17,,PD
878,59,18,,SD
879,59,19,,PD
880,59,20,,PD
881,59,21,,PD
882,59,22,,PD
883,59,23,,SD
884,59,24,,PD
885,59,25,,PD
886,59,26,,PD
887,59,27,,SD
888,59,28,,PD
889,59,29,,
890,59,30,,PD
891,59,31,,SD
892,59,32,,PD
893,59,33,,PD
894,59,34,,PD
895,59,35,,PD
896,59,36,,PD
897,59,37,,PD
898,59,38,,PD
899,59,39,,PD
900,59,40,,SD
901,59,41,,
902,59,42,,
903,59,43,,PD
904,16,1,,PD
905,16,2,,PD
906,16,3,,PD
907,16,4,,PD
908,16,5,,
909,16,6,,PD
910,16,7,,PD
911,16,8,,PD
912,16,9,,SD
913,16,10,,NA
914,16,11,,PD
915,16,12,,PD
916,16,13,,PD
917,16,14,,PD
918,16,15,,PD
919,16,16,,
920,16,17,,PD
921,16,18,,PD
922,16,19,,PD
923,16,20,,PD
924,16,21,,NA
925,16,22,,SD
926,16,23,,PD
927,16,24,,SD
928,16,25,,PD
929,16,26,,PD
930,16,27,,PD
931,16,28,,SD
932,16,29,,
933,16,30,,PD
934,16,31,,SD
935,16,32,,SD
936,16,33,,PD
937,16,34,,PD
938,16,35,,PD
939,16,36,,PD
940,16,37,,PD
941,16,38,,PD
942,16,39,,PD
943,16,40,,SD
944,16,41,,
945,16,42,,PD
946,16,43,,PD
947,34,44,,PD
948,34,45,,
949,34,46,,
950,34,47,,PD
951,34,48,,SD
952,34,49,,SD
953,34,50,,SD
954,34,51,,SD
955,34,52,,
956,34,53,,
957,34,54,,
958,34,55,,PD
959,34,56,,SD
960,34,57,,SD
961,34,58,,
962,34,59,,PD
963,34,60,,
964,34,61,,
965,34,62,,SD
966,34,63,,SD
967,34,64,,SD
968,34,65,,SD
969,34,66,,SD
970,34,67,,
971,34,68,,SD
972,34,69,,PD
973,34,70,,PD
974,34,71,,SD
975,34,72,,SD
976,34,73,,SD
977,34,74,,SD
978,34,75,,SD
979,34,76,,
980,34,77,,SD
981,34,78,,SD
982,34,79,,PD
983,34,80,,
984,34,81,,SD
985,34,82,,PD
986,34,83,,PD
987,34,84,,PD
988,34,85,,PD
989,34,86,,SD
990,34,87,,SD
991,34,88,,PD
992,34,89,,
993,34,90,,PD
994,34,91,,SD
995,34,92,,
996,34,93,,
997,34,94,,SD
998,34,95,,SD
999,34,96,,
1000,34,97,,PD
1001,34,98,,SD
1002,34,99,,SD
1003,34,100,,PD
1004,34,101,,
1005,34,102,,PD
1006,1,44,,PD
1007,1,45,,
1008,1,46,,
1009,1,47,,NA
1010,1,48,,SD
1011,1,49,,PD
1012,1,50,,PD
1013,1,51,,SD
1014,1,52,,
1015,1,53,,
1016,1,54,,
1017,1,55,,NA
1018,1,56,,NA
1019,1,57,,SD
1020,1,58,,
1021,1,59,,PD
1022,1,60,,
1023,1,61,,
1024,1,62,,PR
1025,1,63,,SD
1026,1,64,,SD
1027,1,65,,SD
1028,1,66,,SD
1029,1,67,,
1030,1,68,,SD
1031,1,69,,SD
1032,1,70,,PD
1033,1,71,,SD
1034,1,72,,SD
1035,1,73,,PD
1036,1,74,,SD
1037,1,75,,SD
1038,1,76,,
1039,1,77,,SD
1040,1,78,,SD
1041,1,79,,PD
1042,1,80,,
1043,1,81,,SD
1044,1,82,,SD
1045,1,83,,PD
1046,1,84,,NA
1047,1,85,,SD
1048,1,86,,PD
1049,1,87,,SD
1050,1,88,,SD
1051,1,89,,
1052,1,90,,PD
1053,1,91,,SD
1054,1,92,,SD
1055,1,93,,
1056,1,94,,SD
1057,1,95,,SD
1058,1,96,,
1059,1,97,,SD
1060,1,98,,PD
1061,1,99,,SD
1062,1,100,,SD
1063,1,101,,
1064,1,102,,PD
1065,2,44,,SD
1066,2,45,,
1067,2,46,,
1068,2,47,,PD
1069,2,48,,SD
1070,2,49,,SD
1071,2,50,,SD
1072,2,51,,PR
1073,2,52,,
1074,2,53,,
1075,2,54,,
1076,2,55,,PD
1077,2,56,,NA
1078,2,57,,PD
1079,2,58,,
1080,2,59,,PD
1081,2,60,,
1082,2,61,,
1083,2,62,,PR
1084,2,63,,PD
1085,2,64,,SD
1086,2,65,,SD
1087,2,66,,SD
1088,2,67,,
1089,2,68,,SD
1090,2,69,,SD
1091,2,70,,PD
1092,2,71,,
1093,2,72,,SD
1094,2,73,,PD
1095,2,74,,SD
1096,2,75,,SD
1097,2,76,,
1098,2,77,,SD
1099,2,78,,PD
1100,2,79,,SD
1101,2,80,,
1102,2,81,,SD
1103,2,82,,SD
1104,2,83,,PD
1105,2,84,,SD
1106,2,85,,SD
1107,2,86,,SD
1108,2,87,,SD
1109,2,88,,
1110,2,89,,
1111,2,90,,PD
1112,2,91,,PD
1113,2,92,,PD
1114,2,93,,
1115,2,94,,SD
1116,2,95,,SD
1117,2,96,,
1118,2,97,,SD
1119,2,98,,PD
1120,2,99,,SD
1121,2,100,,SD
1122,2,101,,
1123,2,102,,SD
1124,35,44,,PD
1125,35,45,,
1126,35,46,,
1127,35,47,,PD
1128,35,48,,SD
1129,35,49,,PD
1130,35,50,,PD
1131,35,51,,SD
1132,35,52,,
1133,35,53,,
1134,35,54,,
1135,35,55,,SD
1136,35,56,,SD
1137,35,57,,
1138,35,58,,
1139,35,59,,PD
1140,35,60,,
1141,35,61,,
1142,35,62,,NA
1143,35,63,,PD
1144,35,64,,SD
1145,35,65,,PR
1146,35,66,,SD
1147,35,67,,
1148,35,68,,SD
1149,35,69,,SD
1150,35,70,,PD
1151,35,71,,SD
1152,35,72,,SD
1153,35,73,,PD
1154,35,74,,SD
1155,35,75,,PD
1156,35,76,,
1157,35,77,,SD
1158,35,78,,PR
1159,35,79,,SD
1160,35,80,,
1161,35,81,,SD
1162,35,82,,SD
1163,35,83,,PD
1164,35,84,,PD
1165,35,85,,SD
1166,35,86,,PD
1167,35,87,,SD
1168,35,88,,
1169,35,89,,
1170,35,90,,PD
1171,35,91,,PD
1172,35,92,,
1173,35,93,,
1174,35,94,,PD
1175,35,95,,SD
1176,35,96,,
1177,35,97,,PD
1178,35,98,,PD
1179,35,99,,SD
1180,35,100,,SD
1181,35,101,,
1182,35,102,,SD
1183,20,44,,PR
1184,20,45,,
1185,20,46,,
1186,20,47,,PD
1187,20,48,,SD
1188,20,49,,PD
1189,20,50,,PD
1190,20,51,,PD
1191,20,52,,
1192,20,53,,
1193,20,54,,
1194,20,55,,SD
1195,20,56,,PD
1196,20,57,,SD
1197,20,58,,
1198,20,59,,NA
1199,20,60,,
1200,20,61,,
1201,20,62,,SD
1202,20,63,,PD
1203,20,64,,SD
1204,20,65,,PR
1205,20,66,,SD
1206,20,67,,SD
1207,20,68,,SD
1208,20,69,,PD
1209,20,70,,PD
1210,20,71,,PD
1211,20,72,,PD
1212,20,73,,SD
1213,20,74,,SD
1214,20,75,,PR
1215,20,76,,
1216,20,77,,SD
1217,20,78,,SD
1218,20,79,,PD
1219,20,80,,
1220,20,81,,SD
1221,20,82,,SD
1222,20,83,,PD
1223,20,84,,SD
1224,20,85,,SD
1225,20,86,,SD
1226,20,87,,SD
1227,20,88,,
1228,20,89,,
1229,20,90,,SD
1230,20,91,,NA
1231,20,92,,SD
1232,20,93,,
1233,20,94,,SD
1234,20,95,,PD
1235,20,96,,
1236,20,97,,SD
1237,20,98,,SD
1238,20,99,,PD
1239,20,100,,SD
1240,20,101,,
1241,20,102,,PD
1242,36,44,,SD
1243,36,45,,
1244,36,46,,
1245,36,47,,PD
1246,36,48,,PR
1247,36,49,,SD
1248,36,50,,SD
1249,36,51,,PR
1250,36,52,,
1251,36,53,,
1252,36,54,,
1253,36,55,,SD
1254,36,56,,PD
1255,36,57,,SD
1256,36,58,,
1257,36,59,,PR
1258,36,60,,
1259,36,61,,
1260,36,62,,PR
1261,36,63,,PR
1262,36,64,,PR
1263,36,65,,PR
1264,36,66,,SD
1265,36,67,,SD
1266,36,68,,SD
1267,36,69,,PR
1268,36,70,,PD
1269,36,71,,SD
1270,36,72,,SD
1271,36,73,,SD
1272,36,74,,SD
1273,36,75,,SD
1274,36,76,,
1275,36,77,,SD
1276,36,78,,SD
1277,36,79,,SD
1278,36,80,,
1279,36,81,,SD
1280,36,82,,SD
1281,36,83,,SD
1282,36,84,,NA
1283,36,85,,SD
1284,36,86,,PD
1285,36,87,,SD
1286,36,88,,
1287,36,89,,
1288,36,90,,SD
1289,36,91,,PD
1290,36,92,,
1291,36,93,,
1292,36,94,,PD
1293,36,95,,SD
1294,36,96,,
1295,36,97,,SD
1296,36,98,,SD
1297,36,99,,PR
1298,36,100,,PR
1299,36,101,,
1300,36,102,,SD
1301,37,44,,PD
1302,37,45,,
1303,37,46,,
1304,37,47,,SD
1305,37,48,,PR
1306,37,49,,PD
1307,37,50,,PD
1308,37,51,,PD
1309,37,52,,
1310,37,53,,
1311,37,54,,
1312,37,55,,PD
1313,37,56,,PD
1314,37,57,,SD
1315,37,58,,
1316,37,59,,PD
1317,37,60,,
1318,37,61,,
1319,37,62,,SD
1320,37,63,,PR
1321,37,64,,SD
1322,37,65,,PR
1323,37,66,,SD
1324,37,67,,
1325,37,68,,PD
1326,37,69,,PD
1327,37,70,,PD
1328,37,71,,PD
1329,37,72,,SD
1330,37,73,,SD
1331,37,74,,SD
1332,37,75,,SD
1333,37,76,,
1334,37,77,,SD
1335,37,78,,SD
1336,37,79,,SD
1337,37,80,,
1338,37,81,,SD
1339,37,82,,CR
1340,37,83,,PD
1341,37,84,,SD
1342,37,85,,PD
1343,37,86,,SD
1344,37,87,,SD
1345,37,88,,
1346,37,89,,
1347,37,90,,PD
1348,37,91,,SD
1349,37,92,,
1350,37,93,,
1351,37,94,,PD
1352,37,95,,SD
1353,37,96,,
1354,37,97,,SD
1355,37,98,,SD
1356,37,99,,
1357,37,100,,SD
1358,37,101,,
1359,37,102,,PD
1360,38,44,,PR
1361,38,45,,
1362,38,46,,
1363,38,47,,PD
1364,38,48,,PR
1365,38,49,,PD
1366,38,50,,SD
1367,38,51,,SD
1368,38,52,,
1369,38,53,,
1370,38,54,,
1371,38,55,,PD
1372,38,56,,PD
1373,38,57,,SD
1374,38,58,,
1375,38,59,,PD
1376,38,60,,
1377,38,61,,
1378,38,62,,SD
1379,38,63,,PR
1380,38,64,,PD
1381,38,65,,PR
1382,38,66,,SD
1383,38,67,,
1384,38,68,,SD
1385,38,69,,PR
1386,38,70,,PD
1387,38,71,,SD
1388,38,72,,PD
1389,38,73,,PR
1390,38,74,,SD
1391,38,75,,SD
1392,38,76,,
1393,38,77,,SD
1394,38,78,,SD
1395,38,79,,PD
1396,38,80,,
1397,38,81,,SD
1398,38,82,,PR
1399,38,83,,PD
1400,38,84,,PD
1401,38,85,,PD
