drug_id,standard_name,targets,treatment_type,pubchemId,class,class_name,source
erlotinib,erlotinib,EGFR,single,,EGFR inhibitor,Growth factor receptor inhibitors,PubChem
LCL161 + paclitaxel,LCL161 + paclitaxel,"BIRC2,TUBB,Tubulin",combo,,combination,combination,
LGH447,LGH447,PIM,single,,pan-PIM protein kinase inhibitor,Kinase inhibitors,PubChem
WNT974,WNT974,PORCN,single,,porcupine (PORCN) inhibitor,Wnt signaling inhibitors,PubChem
BKM120 + encorafenib,BKM120 + encorafenib,"panPI3K,BRAF,BRAF,PIK3CA,PIK3CB,PIK3CG,PIK3CD",combo,,combination,combination,
dacarbazine,dacarbazine,chemotherapy,single,,Alkylating Drug,Chemotherapeutic agents,PubChem
encorafenib + binimetinib,encorafenib + binimetinib,"BRAF,MAP2K1,MAP2K2,MAPK",combo,,combination,combination,
LDE225,LDE225,SMO,single,,Smo antagonist,Smo antagonist,PubChem
LDK378,LDK378,ALK,single,,tyrosine kinase receptor inhibitor (TKI),Kinase inhibitors,PubChem
LEE011 + binimetinib,LEE011 + binimetinib,"CDK4,CDK6,MAP2K1,MAP2K2,CDK4/6,MAPK",combo,,combination,combination,
LEE011 + encorafenib,LEE011 + encorafenib,"CDK4/6,BRAF,BRAF,CDK4,CDK6",combo,,combination,combination,
LGW813,LGW813,IAP,single,,Inhibitor Of Apoptosis inhibitors,Inhibitor Of Apoptosis inhibitors,
TAS266,TAS266,DR5,single,,DR5 receptor agonist,Growth factor receptor inhibitors,PubChem
