id,model_id,biobase_id,mDataType
153,X.2838.BK20,X-2838,RNASeq_FPKM
154,X.2838.BK20.enib,X-2838,RNASeq_FPKM
155,X.2838.CG97,X-2838,RNASeq_FPKM
156,X.2838.CL57,X-2838,RNASeq_FPKM
157,X.2838.dane,X-2838,RNASeq_FPKM
158,X.2838.enib,X-2838,RNASeq_FPKM
159,X.2838.enib.biib,X-2838,RNASeq_FPKM
160,X.2838.LD25,X-2838,RNASeq_FPKM
161,X.2838.LD78,X-2838,RNASeq_FPKM
162,X.2838.LE11,X-2838,RNASeq_FPKM
163,X.2838.LE11.biib,X-2838,RNASeq_FPKM
164,X.2838.LE11.enib,X-2838,RNASeq_FPKM
165,X.2838.LG13,X-2838,RNASeq_FPKM
166,X.2838.TA66,X-2838,RNASeq_FPKM
167,X.2838.uned,X-2838,RNASeq_FPKM
168,X.2838.WN74,X-2838,RNASeq_FPKM
169,X.2921.biib,X-2921,RNASeq_FPKM
170,X.2921.BK20,X-2921,RNASeq_FPKM
171,X.2921.BK20.enib,X-2921,RNASeq_FPKM
172,X.2921.CG97,X-2921,RNASeq_FPKM
173,X.2921.CL57,X-2921,RNASeq_FPKM
174,X.2921.dane,X-2921,RNASeq_FPKM
175,X.2921.enib,X-2921,RNASeq_FPKM
176,X.2921.enib.biib,X-2921,RNASeq_FPKM
177,X.2921.LD25,X-2921,RNASeq_FPKM
178,X.2921.LD78,X-2921,RNASeq_FPKM
179,X.2921.LE11,X-2921,RNASeq_FPKM
180,X.2921.LE11.biib,X-2921,RNASeq_FPKM
181,X.2921.LE11.enib,X-2921,RNASeq_FPKM
182,X.2921.LG13,X-2921,RNASeq_FPKM
183,X.2921.TA66,X-2921,RNASeq_FPKM
184,X.2921.uned,X-2921,RNASeq_FPKM
185,X.2921.WN74,X-2921,RNASeq_FPKM
186,X.3127.biib,X-3127,RNASeq_FPKM
187,X.3127.BK20,X-3127,RNASeq_FPKM
188,X.3127.BK20.enib,X-3127,RNASeq_FPKM
189,X.3127.CG97,X-3127,RNASeq_FPKM
190,X.3127.CL57,X-3127,RNASeq_FPKM
191,X.3127.dane,X-3127,RNASeq_FPKM
192,X.3127.enib,X-3127,RNASeq_FPKM
193,X.3127.enib.biib,X-3127,RNASeq_FPKM
194,X.3127.LD25,X-3127,RNASeq_FPKM
195,X.3127.LD78,X-3127,RNASeq_FPKM
196,X.3127.LE11,X-3127,RNASeq_FPKM
197,X.3127.LE11.biib,X-3127,RNASeq_FPKM
198,X.3127.LE11.enib,X-3127,RNASeq_FPKM
199,X.3127.LG13,X-3127,RNASeq_FPKM
200,X.3127.TA66,X-3127,RNASeq_FPKM
201,X.3127.uned,X-3127,RNASeq_FPKM
202,X.3127.WN74,X-3127,RNASeq_FPKM
203,X.3211.biib,X-3211,RNASeq_FPKM
204,X.3211.BK20,X-3211,RNASeq_FPKM
205,X.3211.BK20.enib,X-3211,RNASeq_FPKM
206,X.3211.CG97,X-3211,RNASeq_FPKM
207,X.3211.CL57,X-3211,RNASeq_FPKM
208,X.3211.dane,X-3211,RNASeq_FPKM
209,X.3211.enib,X-3211,RNASeq_FPKM
210,X.3211.enib.biib,X-3211,RNASeq_FPKM
211,X.3211.LD25,X-3211,RNASeq_FPKM
212,X.3211.LD78,X-3211,RNASeq_FPKM
213,X.3211.LE11,X-3211,RNASeq_FPKM
214,X.3211.LE11.biib,X-3211,RNASeq_FPKM
215,X.3211.LE11.enib,X-3211,RNASeq_FPKM
216,X.3211.LG13,X-3211,RNASeq_FPKM
217,X.3211.TA66,X-3211,RNASeq_FPKM
218,X.3211.uned,X-3211,RNASeq_FPKM
219,X.3211.WN74,X-3211,RNASeq_FPKM
220,X.3483.biib,X-3483,RNASeq_FPKM
221,X.3483.BK20,X-3483,RNASeq_FPKM
222,X.3483.BK20.enib,X-3483,RNASeq_FPKM
223,X.3483.CG97,X-3483,RNASeq_FPKM
224,X.3483.dane,X-3483,RNASeq_FPKM
225,X.3483.enib,X-3483,RNASeq_FPKM
226,X.3483.enib.biib,X-3483,RNASeq_FPKM
227,X.3483.LD25,X-3483,RNASeq_FPKM
228,X.3483.LD78,X-3483,RNASeq_FPKM
229,X.3483.LE11,X-3483,RNASeq_FPKM
230,X.3483.LE11.enib,X-3483,RNASeq_FPKM
231,X.3483.LG13,X-3483,RNASeq_FPKM
232,X.3483.TA66,X-3483,RNASeq_FPKM
233,X.3483.uned,X-3483,RNASeq_FPKM
234,X.3483.WN74,X-3483,RNASeq_FPKM
235,X.3486.biib,X-3486,RNASeq_FPKM
236,X.3486.BK20,X-3486,RNASeq_FPKM
237,X.3486.BK20.enib,X-3486,RNASeq_FPKM
238,X.3486.CG97,X-3486,RNASeq_FPKM
239,X.3486.dane,X-3486,RNASeq_FPKM
240,X.3486.enib,X-3486,RNASeq_FPKM
241,X.3486.enib.biib,X-3486,RNASeq_FPKM
242,X.3486.LD25,X-3486,RNASeq_FPKM
243,X.3486.LD78,X-3486,RNASeq_FPKM
244,X.3486.LE11,X-3486,RNASeq_FPKM
245,X.3486.LE11.enib,X-3486,RNASeq_FPKM
246,X.3486.LG13,X-3486,RNASeq_FPKM
247,X.3486.TA66,X-3486,RNASeq_FPKM
248,X.3486.uned,X-3486,RNASeq_FPKM
249,X.3486.WN74,X-3486,RNASeq_FPKM
250,X.3503.biib,X-3503,RNASeq_FPKM
251,X.3503.BK20,X-3503,RNASeq_FPKM
252,X.3503.BK20.enib,X-3503,RNASeq_FPKM
253,X.3503.CG97,X-3503,RNASeq_FPKM
254,X.3503.dane,X-3503,RNASeq_FPKM
255,X.3503.enib,X-3503,RNASeq_FPKM
256,X.3503.enib.biib,X-3503,RNASeq_FPKM
257,X.3503.LD25,X-3503,RNASeq_FPKM
258,X.3503.LD78,X-3503,RNASeq_FPKM
259,X.3503.LE11,X-3503,RNASeq_FPKM
260,X.3503.LE11.enib,X-3503,RNASeq_FPKM
261,X.3503.LG13,X-3503,RNASeq_FPKM
262,X.3503.TA66,X-3503,RNASeq_FPKM
263,X.3503.uned,X-3503,RNASeq_FPKM
264,X.3503.WN74,X-3503,RNASeq_FPKM
265,X.3676.biib,X-3676,RNASeq_FPKM
266,X.3676.BK20,X-3676,RNASeq_FPKM
267,X.3676.BK20.enib,X-3676,RNASeq_FPKM
268,X.3676.CG97,X-3676,RNASeq_FPKM
269,X.3676.dane,X-3676,RNASeq_FPKM
270,X.3676.enib,X-3676,RNASeq_FPKM
271,X.3676.enib.biib,X-3676,RNASeq_FPKM
272,X.3676.LD25,X-3676,RNASeq_FPKM
273,X.3676.LD78,X-3676,RNASeq_FPKM
274,X.3676.LE11,X-3676,RNASeq_FPKM
275,X.3676.LE11.enib,X-3676,RNASeq_FPKM
276,X.3676.LG13,X-3676,RNASeq_FPKM
277,X.3676.TA66,X-3676,RNASeq_FPKM
278,X.3676.uned,X-3676,RNASeq_FPKM
279,X.3676.WN74,X-3676,RNASeq_FPKM
280,X.3746.biib,X-3746,RNASeq_FPKM
281,X.3746.BK20,X-3746,RNASeq_FPKM
282,X.3746.BK20.enib,X-3746,RNASeq_FPKM
283,X.3746.CG97,X-3746,RNASeq_FPKM
284,X.3746.dane,X-3746,RNASeq_FPKM
285,X.3746.enib,X-3746,RNASeq_FPKM
286,X.3746.enib.biib,X-3746,RNASeq_FPKM
287,X.3746.LD25,X-3746,RNASeq_FPKM
288,X.3746.LD78,X-3746,RNASeq_FPKM
289,X.3746.LE11,X-3746,RNASeq_FPKM
290,X.3746.LE11.enib,X-3746,RNASeq_FPKM
291,X.3746.LG13,X-3746,RNASeq_FPKM
292,X.3746.TA66,X-3746,RNASeq_FPKM
293,X.3746.uned,X-3746,RNASeq_FPKM
294,X.3746.WN74,X-3746,RNASeq_FPKM
295,X.3773.biib,X-3773,RNASeq_FPKM
296,X.3773.BK20,X-3773,RNASeq_FPKM
297,X.3773.BK20.enib,X-3773,RNASeq_FPKM
298,X.3773.CG97,X-3773,RNASeq_FPKM
299,X.3773.CL57,X-3773,RNASeq_FPKM
300,X.3773.dane,X-3773,RNASeq_FPKM
301,X.3773.enib,X-3773,RNASeq_FPKM
302,X.3773.enib.biib,X-3773,RNASeq_FPKM
303,X.3773.LD25,X-3773,RNASeq_FPKM
304,X.3773.LD78,X-3773,RNASeq_FPKM
305,X.3773.LE11,X-3773,RNASeq_FPKM
306,X.3773.LE11.biib,X-3773,RNASeq_FPKM
307,X.3773.LE11.enib,X-3773,RNASeq_FPKM
308,X.3773.LG13,X-3773,RNASeq_FPKM
309,X.3773.TA66,X-3773,RNASeq_FPKM
310,X.3773.uned,X-3773,RNASeq_FPKM
311,X.3773.WN74,X-3773,RNASeq_FPKM
312,X.3851.biib,X-3851,RNASeq_FPKM
313,X.3851.BK20,X-3851,RNASeq_FPKM
314,X.3851.BK20.enib,X-3851,RNASeq_FPKM
315,X.3851.CG97,X-3851,RNASeq_FPKM
316,X.3851.CL57,X-3851,RNASeq_FPKM
317,X.3851.dane,X-3851,RNASeq_FPKM
318,X.3851.enib,X-3851,RNASeq_FPKM
319,X.3851.enib.biib,X-3851,RNASeq_FPKM
320,X.3851.LD25,X-3851,RNASeq_FPKM
321,X.3851.LD78,X-3851,RNASeq_FPKM
322,X.3851.LE11,X-3851,RNASeq_FPKM
323,X.3851.LE11.biib,X-3851,RNASeq_FPKM
324,X.3851.LE11.enib,X-3851,RNASeq_FPKM
325,X.3851.LG13,X-3851,RNASeq_FPKM
326,X.3851.TA66,X-3851,RNASeq_FPKM
327,X.3851.uned,X-3851,RNASeq_FPKM
328,X.3851.WN74,X-3851,RNASeq_FPKM
329,X.3880.biib,X-3880,RNASeq_FPKM
330,X.3880.BK20,X-3880,RNASeq_FPKM
331,X.3880.BK20.enib,X-3880,RNASeq_FPKM
332,X.3880.CG97,X-3880,RNASeq_FPKM
333,X.3880.dane,X-3880,RNASeq_FPKM
334,X.3880.enib,X-3880,RNASeq_FPKM
335,X.3880.enib.biib,X-3880,RNASeq_FPKM
336,X.3880.LD25,X-3880,RNASeq_FPKM
337,X.3880.LD78,X-3880,RNASeq_FPKM
338,X.3880.LE11,X-3880,RNASeq_FPKM
339,X.3880.LE11.enib,X-3880,RNASeq_FPKM
340,X.3880.LG13,X-3880,RNASeq_FPKM
341,X.3880.TA66,X-3880,RNASeq_FPKM
342,X.3880.uned,X-3880,RNASeq_FPKM
343,X.3880.WN74,X-3880,RNASeq_FPKM
344,X.4157.biib,X-4157,RNASeq_FPKM
345,X.4157.BK20,X-4157,RNASeq_FPKM
346,X.4157.BK20.enib,X-4157,RNASeq_FPKM
347,X.4157.CG97,X-4157,RNASeq_FPKM
348,X.4157.CL57,X-4157,RNASeq_FPKM
349,X.4157.dane,X-4157,RNASeq_FPKM
350,X.4157.enib,X-4157,RNASeq_FPKM
351,X.4157.enib.biib,X-4157,RNASeq_FPKM
352,X.4157.LD25,X-4157,RNASeq_FPKM
353,X.4157.LD78,X-4157,RNASeq_FPKM
354,X.4157.LE11,X-4157,RNASeq_FPKM
355,X.4157.LE11.enib,X-4157,RNASeq_FPKM
356,X.4157.LG13,X-4157,RNASeq_FPKM
357,X.4157.TA66,X-4157,RNASeq_FPKM
358,X.4157.uned,X-4157,RNASeq_FPKM
359,X.4157.WN74,X-4157,RNASeq_FPKM
360,X.4339.biib,X-4339,RNASeq_FPKM
361,X.4339.BK20,X-4339,RNASeq_FPKM
362,X.4339.BK20.enib,X-4339,RNASeq_FPKM
363,X.4339.CG97,X-4339,RNASeq_FPKM
364,X.4339.CL57,X-4339,RNASeq_FPKM
365,X.4339.dane,X-4339,RNASeq_FPKM
366,X.4339.enib,X-4339,RNASeq_FPKM
367,X.4339.enib.biib,X-4339,RNASeq_FPKM
368,X.4339.LD25,X-4339,RNASeq_FPKM
369,X.4339.LD78,X-4339,RNASeq_FPKM
370,X.4339.LE11,X-4339,RNASeq_FPKM
371,X.4339.LE11.biib,X-4339,RNASeq_FPKM
372,X.4339.LE11.enib,X-4339,RNASeq_FPKM
373,X.4339.LG13,X-4339,RNASeq_FPKM
374,X.4339.TA66,X-4339,RNASeq_FPKM
375,X.4339.uned,X-4339,RNASeq_FPKM
376,X.4339.WN74,X-4339,RNASeq_FPKM
377,X.4426.biib,X-4426,RNASeq_FPKM
378,X.4426.BK20,X-4426,RNASeq_FPKM
379,X.4426.BK20.enib,X-4426,RNASeq_FPKM
380,X.4426.CG97,X-4426,RNASeq_FPKM
381,X.4426.dane,X-4426,RNASeq_FPKM
382,X.4426.enib,X-4426,RNASeq_FPKM
383,X.4426.enib.biib,X-4426,RNASeq_FPKM
384,X.4426.LD25,X-4426,RNASeq_FPKM
385,X.4426.LD78,X-4426,RNASeq_FPKM
386,X.4426.LE11,X-4426,RNASeq_FPKM
387,X.4426.LE11.enib,X-4426,RNASeq_FPKM
388,X.4426.LG13,X-4426,RNASeq_FPKM
389,X.4426.TA66,X-4426,RNASeq_FPKM
390,X.4426.uned,X-4426,RNASeq_FPKM
391,X.4426.WN74,X-4426,RNASeq_FPKM
392,X.4455.biib,X-4455,RNASeq_FPKM
393,X.4455.BK20,X-4455,RNASeq_FPKM
394,X.4455.BK20.enib,X-4455,RNASeq_FPKM
395,X.4455.CG97,X-4455,RNASeq_FPKM
396,X.4455.CL57,X-4455,RNASeq_FPKM
397,X.4455.dane,X-4455,RNASeq_FPKM
398,X.4455.enib,X-4455,RNASeq_FPKM
399,X.4455.enib.biib,X-4455,RNASeq_FPKM
400,X.4455.LD25,X-4455,RNASeq_FPKM
401,X.4455.LD78,X-4455,RNASeq_FPKM
402,X.4455.LE11,X-4455,RNASeq_FPKM
403,X.4455.LE11.enib,X-4455,RNASeq_FPKM
404,X.4455.LG13,X-4455,RNASeq_FPKM
405,X.4455.TA66,X-4455,RNASeq_FPKM
406,X.4455.uned,X-4455,RNASeq_FPKM
407,X.4455.WN74,X-4455,RNASeq_FPKM
408,X.4530.biib,X-4530,RNASeq_FPKM
409,X.4530.BK20,X-4530,RNASeq_FPKM
410,X.4530.BK20.enib,X-4530,RNASeq_FPKM
411,X.4530.CG97,X-4530,RNASeq_FPKM
412,X.4530.enib,X-4530,RNASeq_FPKM
413,X.4530.enib.biib,X-4530,RNASeq_FPKM
414,X.4530.LD25,X-4530,RNASeq_FPKM
415,X.4530.LD78,X-4530,RNASeq_FPKM
416,X.4530.LE11,X-4530,RNASeq_FPKM
417,X.4530.LE11.enib,X-4530,RNASeq_FPKM
418,X.4530.LG13,X-4530,RNASeq_FPKM
419,X.4530.TA66,X-4530,RNASeq_FPKM
420,X.4530.uned,X-4530,RNASeq_FPKM
421,X.4530.WN74,X-4530,RNASeq_FPKM
422,X.4538.biib,X-4538,RNASeq_FPKM
423,X.4538.BK20,X-4538,RNASeq_FPKM
424,X.4538.BK20.enib,X-4538,RNASeq_FPKM
425,X.4538.CG97,X-4538,RNASeq_FPKM
426,X.4538.dane,X-4538,RNASeq_FPKM
427,X.4538.enib,X-4538,RNASeq_FPKM
428,X.4538.enib.biib,X-4538,RNASeq_FPKM
429,X.4538.LD25,X-4538,RNASeq_FPKM
430,X.4538.LD78,X-4538,RNASeq_FPKM
431,X.4538.LE11,X-4538,RNASeq_FPKM
432,X.4538.LE11.enib,X-4538,RNASeq_FPKM
433,X.4538.LG13,X-4538,RNASeq_FPKM
434,X.4538.TA66,X-4538,RNASeq_FPKM
435,X.4538.uned,X-4538,RNASeq_FPKM
436,X.4538.WN74,X-4538,RNASeq_FPKM
437,X.4644.biib,X-4644,RNASeq_FPKM
438,X.4644.BK20,X-4644,RNASeq_FPKM
439,X.4644.BK20.enib,X-4644,RNASeq_FPKM
440,X.4644.CG97,X-4644,RNASeq_FPKM
441,X.4644.CL57,X-4644,RNASeq_FPKM
442,X.4644.dane,X-4644,RNASeq_FPKM
443,X.4644.enib,X-4644,RNASeq_FPKM
444,X.4644.enib.biib,X-4644,RNASeq_FPKM
445,X.4644.LD25,X-4644,RNASeq_FPKM
446,X.4644.LD78,X-4644,RNASeq_FPKM
447,X.4644.LE11,X-4644,RNASeq_FPKM
448,X.4644.LE11.enib,X-4644,RNASeq_FPKM
449,X.4644.LG13,X-4644,RNASeq_FPKM
450,X.4644.TA66,X-4644,RNASeq_FPKM
451,X.4644.uned,X-4644,RNASeq_FPKM
452,X.4644.WN74,X-4644,RNASeq_FPKM
453,X.4668.biib,X-4668,RNASeq_FPKM
454,X.4668.BK20,X-4668,RNASeq_FPKM
455,X.4668.BK20.enib,X-4668,RNASeq_FPKM
456,X.4668.CG97,X-4668,RNASeq_FPKM
457,X.4668.dane,X-4668,RNASeq_FPKM
458,X.4668.enib,X-4668,RNASeq_FPKM
459,X.4668.enib.biib,X-4668,RNASeq_FPKM
460,X.4668.LD25,X-4668,RNASeq_FPKM
461,X.4668.LD78,X-4668,RNASeq_FPKM
462,X.4668.LE11,X-4668,RNASeq_FPKM
463,X.4668.LE11.enib,X-4668,RNASeq_FPKM
464,X.4668.LG13,X-4668,RNASeq_FPKM
465,X.4668.TA66,X-4668,RNASeq_FPKM
466,X.4668.uned,X-4668,RNASeq_FPKM
467,X.4668.WN74,X-4668,RNASeq_FPKM
468,X.4832.biib,X-4832,RNASeq_FPKM
469,X.4832.BK20,X-4832,RNASeq_FPKM
470,X.4832.BK20.enib,X-4832,RNASeq_FPKM
471,X.4832.CG97,X-4832,RNASeq_FPKM
472,X.4832.dane,X-4832,RNASeq_FPKM
473,X.4832.enib,X-4832,RNASeq_FPKM
474,X.4832.enib.biib,X-4832,RNASeq_FPKM
475,X.4832.LD25,X-4832,RNASeq_FPKM
476,X.4832.LD78,X-4832,RNASeq_FPKM
477,X.4832.LE11,X-4832,RNASeq_FPKM
478,X.4832.LE11.enib,X-4832,RNASeq_FPKM
479,X.4832.LG13,X-4832,RNASeq_FPKM
480,X.4832.TA66,X-4832,RNASeq_FPKM
481,X.4832.uned,X-4832,RNASeq_FPKM
482,X.4832.WN74,X-4832,RNASeq_FPKM
483,X.4849.biib,X-4849,RNASeq_FPKM
484,X.4849.BK20,X-4849,RNASeq_FPKM
485,X.4849.BK20.enib,X-4849,RNASeq_FPKM
486,X.4849.CG97,X-4849,RNASeq_FPKM
487,X.4849.CL57,X-4849,RNASeq_FPKM
488,X.4849.dane,X-4849,RNASeq_FPKM
489,X.4849.enib,X-4849,RNASeq_FPKM
490,X.4849.enib.biib,X-4849,RNASeq_FPKM
491,X.4849.LD25,X-4849,RNASeq_FPKM
492,X.4849.LD78,X-4849,RNASeq_FPKM
493,X.4849.LE11,X-4849,RNASeq_FPKM
494,X.4849.LE11.biib,X-4849,RNASeq_FPKM
495,X.4849.LE11.enib,X-4849,RNASeq_FPKM
496,X.4849.LG13,X-4849,RNASeq_FPKM
497,X.4849.TA66,X-4849,RNASeq_FPKM
498,X.4849.uned,X-4849,RNASeq_FPKM
499,X.4849.WN74,X-4849,RNASeq_FPKM
500,X.5189.biib,X-5189,RNASeq_FPKM
501,X.5189.BK20,X-5189,RNASeq_FPKM
502,X.5189.BK20.enib,X-5189,RNASeq_FPKM
503,X.5189.CG97,X-5189,RNASeq_FPKM
504,X.5189.CL57,X-5189,RNASeq_FPKM
505,X.5189.dane,X-5189,RNASeq_FPKM
506,X.5189.enib,X-5189,RNASeq_FPKM
507,X.5189.enib.biib,X-5189,RNASeq_FPKM
508,X.5189.LD25,X-5189,RNASeq_FPKM
509,X.5189.LD78,X-5189,RNASeq_FPKM
510,X.5189.LE11,X-5189,RNASeq_FPKM
