model_id,tissue_id,tissue,patient_id,drug,tested,dataset
X.029.BY19,GC,Gastric Cancer,X-029,BYL719,TRUE,4
X.029.BY19.HS90,GC,Gastric Cancer,X-029,BYL719 + HSP990,TRUE,4
X.029.BY19.LJ16,GC,Gastric Cancer,X-029,BYL719 + LJM716,TRUE,4
X.029.CL57,GC,Gastric Cancer,X-029,CLR457,TRUE,4
X.029.evus,GC,Gastric Cancer,X-029,everolimus,TRUE,4
X.029.fiab,GC,Gastric Cancer,X-029,figitumumab,TRUE,4
X.029.HD01,GC,Gastric Cancer,X-029,HDM201,TRUE,4
X.029.HS90,GC,Gastric Cancer,X-029,HSP990,TRUE,4
X.029.IN80,GC,Gastric Cancer,X-029,INC280,TRUE,4
X.029.IN80.trab,GC,Gastric Cancer,X-029,INC280 + trastuzumab,TRUE,4
X.029.LE11,GC,Gastric Cancer,X-029,LEE011,TRUE,4
X.029.LJ16.trab,GC,Gastric Cancer,X-029,LJM716 + trastuzumab,TRUE,4
X.029.LL71,GC,Gastric Cancer,X-029,LLM871,TRUE,4
X.029.trab,GC,Gastric Cancer,X-029,trastuzumab,TRUE,4
X.031.BG98,GC,Gastric Cancer,X-031,BGJ398,TRUE,4
X.031.biib,GC,Gastric Cancer,X-031,binimetinib,TRUE,4
X.031.BK20,GC,Gastric Cancer,X-031,BKM120,TRUE,4
X.031.BY19,GC,Gastric Cancer,X-031,BYL719,TRUE,4
X.031.BY19.HS90,GC,Gastric Cancer,X-031,BYL719 + HSP990,TRUE,4
X.031.CL57,GC,Gastric Cancer,X-031,CLR457,TRUE,4
X.031.evus,GC,Gastric Cancer,X-031,everolimus,TRUE,4
X.031.fiab,GC,Gastric Cancer,X-031,figitumumab,TRUE,4
X.031.HD01,GC,Gastric Cancer,X-031,HDM201,TRUE,4
X.031.HS90,GC,Gastric Cancer,X-031,HSP990,TRUE,4
X.031.IN80,GC,Gastric Cancer,X-031,INC280,TRUE,4
X.031.IN80.trab,GC,Gastric Cancer,X-031,INC280 + trastuzumab,TRUE,4
X.031.LE11,GC,Gastric Cancer,X-031,LEE011,TRUE,4
X.031.LE11.evus,GC,Gastric Cancer,X-031,LEE011 + everolimus,TRUE,4
X.031.LJ16,GC,Gastric Cancer,X-031,LJM716,TRUE,4
X.031.LJ16.trab,GC,Gastric Cancer,X-031,LJM716 + trastuzumab,TRUE,4
X.031.LL71,GC,Gastric Cancer,X-031,LLM871,TRUE,4
X.031.trab,GC,Gastric Cancer,X-031,trastuzumab,TRUE,4
X.031.uned,GC,Gastric Cancer,X-031,untreated,TRUE,4
X.034.BG98,GC,Gastric Cancer,X-034,BGJ398,TRUE,4
X.034.biib,GC,Gastric Cancer,X-034,binimetinib,TRUE,4
X.034.BK20,GC,Gastric Cancer,X-034,BKM120,TRUE,4
X.034.BY19,GC,Gastric Cancer,X-034,BYL719,TRUE,4
X.034.BY19.HS90,GC,Gastric Cancer,X-034,BYL719 + HSP990,TRUE,4
X.034.BY19.LJ16,GC,Gastric Cancer,X-034,BYL719 + LJM716,TRUE,4
X.034.CL57,GC,Gastric Cancer,X-034,CLR457,TRUE,4
X.034.evus,GC,Gastric Cancer,X-034,everolimus,TRUE,4
X.034.fiab,GC,Gastric Cancer,X-034,figitumumab,TRUE,4
X.034.HD01,GC,Gastric Cancer,X-034,HDM201,TRUE,4
X.034.HS90,GC,Gastric Cancer,X-034,HSP990,TRUE,4
X.034.IN80,GC,Gastric Cancer,X-034,INC280,TRUE,4
X.034.IN80.trab,GC,Gastric Cancer,X-034,INC280 + trastuzumab,TRUE,4
X.034.LE11,GC,Gastric Cancer,X-034,LEE011,TRUE,4
X.034.LE11.evus,GC,Gastric Cancer,X-034,LEE011 + everolimus,TRUE,4
X.034.LJ16,GC,Gastric Cancer,X-034,LJM716,TRUE,4
X.034.LJ16.trab,GC,Gastric Cancer,X-034,LJM716 + trastuzumab,TRUE,4
X.034.LL71,GC,Gastric Cancer,X-034,LLM871,TRUE,4
X.034.trab,GC,Gastric Cancer,X-034,trastuzumab,TRUE,4
X.035.BG98,GC,Gastric Cancer,X-035,BGJ398,TRUE,4
X.035.biib,GC,Gastric Cancer,X-035,binimetinib,TRUE,4
X.035.BK20,GC,Gastric Cancer,X-035,BKM120,TRUE,4
X.035.BY19,GC,Gastric Cancer,X-035,BYL719,TRUE,4
X.035.BY19.HS90,GC,Gastric Cancer,X-035,BYL719 + HSP990,TRUE,4
X.035.BY19.LJ16,GC,Gastric Cancer,X-035,BYL719 + LJM716,TRUE,4
X.035.evus,GC,Gastric Cancer,X-035,everolimus,TRUE,4
X.035.fiab,GC,Gastric Cancer,X-035,figitumumab,TRUE,4
X.035.HD01,GC,Gastric Cancer,X-035,HDM201,TRUE,4
X.035.HS90,GC,Gastric Cancer,X-035,HSP990,TRUE,4
X.035.IN80.trab,GC,Gastric Cancer,X-035,INC280 + trastuzumab,TRUE,4
X.035.LE11,GC,Gastric Cancer,X-035,LEE011,TRUE,4
X.035.LE11.evus,GC,Gastric Cancer,X-035,LEE011 + everolimus,TRUE,4
X.035.LJ16,GC,Gastric Cancer,X-035,LJM716,TRUE,4
X.035.LJ16.trab,GC,Gastric Cancer,X-035,LJM716 + trastuzumab,TRUE,4
X.035.LL71,GC,Gastric Cancer,X-035,LLM871,TRUE,4
X.035.trab,GC,Gastric Cancer,X-035,trastuzumab,TRUE,4
X.037.BG98,GC,Gastric Cancer,X-037,BGJ398,TRUE,4
X.037.biib,GC,Gastric Cancer,X-037,binimetinib,TRUE,4
X.037.BK20,GC,Gastric Cancer,X-037,BKM120,TRUE,4
X.037.BY19,GC,Gastric Cancer,X-037,BYL719,TRUE,4
X.037.BY19.HS90,GC,Gastric Cancer,X-037,BYL719 + HSP990,TRUE,4
X.037.CL57,GC,Gastric Cancer,X-037,CLR457,TRUE,4
X.037.evus,GC,Gastric Cancer,X-037,everolimus,TRUE,4
X.037.fiab,GC,Gastric Cancer,X-037,figitumumab,TRUE,4
X.037.HD01,GC,Gastric Cancer,X-037,HDM201,TRUE,4
X.037.HS90,GC,Gastric Cancer,X-037,HSP990,TRUE,4
X.037.IN80,GC,Gastric Cancer,X-037,INC280,TRUE,4
X.037.IN80.trab,GC,Gastric Cancer,X-037,INC280 + trastuzumab,TRUE,4
X.037.LE11,GC,Gastric Cancer,X-037,LEE011,TRUE,4
X.037.LE11.evus,GC,Gastric Cancer,X-037,LEE011 + everolimus,TRUE,4
X.037.LJ16,GC,Gastric Cancer,X-037,LJM716,TRUE,4
X.037.LJ16.trab,GC,Gastric Cancer,X-037,LJM716 + trastuzumab,TRUE,4
X.037.LL71,GC,Gastric Cancer,X-037,LLM871,TRUE,4
X.037.trab,GC,Gastric Cancer,X-037,trastuzumab,TRUE,4
X.037.uned,GC,Gastric Cancer,X-037,untreated,TRUE,4
X.038.BG98,GC,Gastric Cancer,X-038,BGJ398,TRUE,4
X.038.biib,GC,Gastric Cancer,X-038,binimetinib,TRUE,4
X.038.BK20,GC,Gastric Cancer,X-038,BKM120,TRUE,4
X.038.BY19,GC,Gastric Cancer,X-038,BYL719,TRUE,4
X.038.BY19.HS90,GC,Gastric Cancer,X-038,BYL719 + HSP990,TRUE,4
X.038.BY19.LJ16,GC,Gastric Cancer,X-038,BYL719 + LJM716,TRUE,4
X.038.CL57,GC,Gastric Cancer,X-038,CLR457,TRUE,4
X.038.evus,GC,Gastric Cancer,X-038,everolimus,TRUE,4
X.038.fiab,GC,Gastric Cancer,X-038,figitumumab,TRUE,4
X.038.HD01,GC,Gastric Cancer,X-038,HDM201,TRUE,4
X.038.HS90,GC,Gastric Cancer,X-038,HSP990,TRUE,4
X.038.IN80,GC,Gastric Cancer,X-038,INC280,TRUE,4
X.038.IN80.trab,GC,Gastric Cancer,X-038,INC280 + trastuzumab,TRUE,4
X.038.LE11,GC,Gastric Cancer,X-038,LEE011,TRUE,4
X.038.LE11.evus,GC,Gastric Cancer,X-038,LEE011 + everolimus,TRUE,4
X.038.LJ16,GC,Gastric Cancer,X-038,LJM716,TRUE,4
X.038.LJ16.trab,GC,Gastric Cancer,X-038,LJM716 + trastuzumab,TRUE,4
X.038.LL71,GC,Gastric Cancer,X-038,LLM871,TRUE,4
X.038.trab,GC,Gastric Cancer,X-038,trastuzumab,TRUE,4
X.038.uned,GC,Gastric Cancer,X-038,untreated,TRUE,4
X.039.BY19,GC,Gastric Cancer,X-039,BYL719,TRUE,4
X.039.BY19.HS90,GC,Gastric Cancer,X-039,BYL719 + HSP990,TRUE,4
X.039.BY19.LJ16,GC,Gastric Cancer,X-039,BYL719 + LJM716,TRUE,4
X.039.evus,GC,Gastric Cancer,X-039,everolimus,TRUE,4
X.039.HS90,GC,Gastric Cancer,X-039,HSP990,TRUE,4
X.039.LE11,GC,Gastric Cancer,X-039,LEE011,TRUE,4
X.039.LE11.evus,GC,Gastric Cancer,X-039,LEE011 + everolimus,TRUE,4
X.039.LJ16,GC,Gastric Cancer,X-039,LJM716,TRUE,4
X.039.uned,GC,Gastric Cancer,X-039,untreated,TRUE,4
X.050.BY19,GC,Gastric Cancer,X-050,BYL719,TRUE,4
X.050.BY19.HS90,GC,Gastric Cancer,X-050,BYL719 + HSP990,TRUE,4
X.050.BY19.LJ16,GC,Gastric Cancer,X-050,BYL719 + LJM716,TRUE,4
X.050.evus,GC,Gastric Cancer,X-050,everolimus,TRUE,4
X.050.HS90,GC,Gastric Cancer,X-050,HSP990,TRUE,4
X.050.LE11,GC,Gastric Cancer,X-050,LEE011,TRUE,4
X.050.LE11.evus,GC,Gastric Cancer,X-050,LEE011 + everolimus,TRUE,4
X.050.LJ16,GC,Gastric Cancer,X-050,LJM716,TRUE,4
X.050.uned,GC,Gastric Cancer,X-050,untreated,TRUE,4
X.056.BG98,GC,Gastric Cancer,X-056,BGJ398,TRUE,4
X.056.biib,GC,Gastric Cancer,X-056,binimetinib,TRUE,4
X.056.BK20,GC,Gastric Cancer,X-056,BKM120,TRUE,4
X.056.BY19,GC,Gastric Cancer,X-056,BYL719,TRUE,4
X.056.BY19.HS90,GC,Gastric Cancer,X-056,BYL719 + HSP990,TRUE,4
X.056.BY19.LJ16,GC,Gastric Cancer,X-056,BYL719 + LJM716,TRUE,4
X.056.CL57,GC,Gastric Cancer,X-056,CLR457,TRUE,4
X.056.evus,GC,Gastric Cancer,X-056,everolimus,TRUE,4
X.056.fiab,GC,Gastric Cancer,X-056,figitumumab,TRUE,4
X.056.HD01,GC,Gastric Cancer,X-056,HDM201,TRUE,4
X.056.HS90,GC,Gastric Cancer,X-056,HSP990,TRUE,4
X.056.IN80,GC,Gastric Cancer,X-056,INC280,TRUE,4
X.056.IN80.trab,GC,Gastric Cancer,X-056,INC280 + trastuzumab,TRUE,4
X.056.LE11,GC,Gastric Cancer,X-056,LEE011,TRUE,4
X.056.LE11.evus,GC,Gastric Cancer,X-056,LEE011 + everolimus,TRUE,4
X.056.LJ16,GC,Gastric Cancer,X-056,LJM716,TRUE,4
X.056.LJ16.trab,GC,Gastric Cancer,X-056,LJM716 + trastuzumab,TRUE,4
X.056.LL71,GC,Gastric Cancer,X-056,LLM871,TRUE,4
X.056.trab,GC,Gastric Cancer,X-056,trastuzumab,TRUE,4
X.056.uned,GC,Gastric Cancer,X-056,untreated,TRUE,4
X.057.BG98,GC,Gastric Cancer,X-057,BGJ398,TRUE,4
X.057.biib,GC,Gastric Cancer,X-057,binimetinib,TRUE,4
X.057.BK20,GC,Gastric Cancer,X-057,BKM120,TRUE,4
X.057.BY19,GC,Gastric Cancer,X-057,BYL719,TRUE,4
X.057.BY19.HS90,GC,Gastric Cancer,X-057,BYL719 + HSP990,TRUE,4
X.057.BY19.LJ16,GC,Gastric Cancer,X-057,BYL719 + LJM716,TRUE,4
X.057.CL57,GC,Gastric Cancer,X-057,CLR457,TRUE,4
X.057.evus,GC,Gastric Cancer,X-057,everolimus,TRUE,4
X.057.fiab,GC,Gastric Cancer,X-057,figitumumab,TRUE,4
X.057.HD01,GC,Gastric Cancer,X-057,HDM201,TRUE,4
X.057.HS90,GC,Gastric Cancer,X-057,HSP990,TRUE,4
X.057.IN80,GC,Gastric Cancer,X-057,INC280,TRUE,4
X.057.IN80.trab,GC,Gastric Cancer,X-057,INC280 + trastuzumab,TRUE,4
X.057.LE11,GC,Gastric Cancer,X-057,LEE011,TRUE,4
X.057.LE11.evus,GC,Gastric Cancer,X-057,LEE011 + everolimus,TRUE,4
X.057.LJ16,GC,Gastric Cancer,X-057,LJM716,TRUE,4
X.057.LJ16.trab,GC,Gastric Cancer,X-057,LJM716 + trastuzumab,TRUE,4
X.057.LL71,GC,Gastric Cancer,X-057,LLM871,TRUE,4
X.057.trab,GC,Gastric Cancer,X-057,trastuzumab,TRUE,4
X.064.BG98,GC,Gastric Cancer,X-064,BGJ398,TRUE,4
X.064.biib,GC,Gastric Cancer,X-064,binimetinib,TRUE,4
X.064.BK20,GC,Gastric Cancer,X-064,BKM120,TRUE,4
X.064.BY19,GC,Gastric Cancer,X-064,BYL719,TRUE,4
X.064.BY19.HS90,GC,Gastric Cancer,X-064,BYL719 + HSP990,TRUE,4
X.064.BY19.LJ16,GC,Gastric Cancer,X-064,BYL719 + LJM716,TRUE,4
X.064.CL57,GC,Gastric Cancer,X-064,CLR457,TRUE,4
X.064.evus,GC,Gastric Cancer,X-064,everolimus,TRUE,4
X.064.fiab,GC,Gastric Cancer,X-064,figitumumab,TRUE,4
